dataset,workload,num_traces,permit_dtlb_real_demand_mpki,cppb_dtlb_real_demand_mpki,tlb_rescue_dtlb_real_demand_mpki,cppb_tlb_rescue_dtlb_real_demand_mpki,cppb_dtlb_real_demand_mpki_reduction_pct,tlb_rescue_dtlb_real_demand_mpki_reduction_pct,cppb_tlb_rescue_dtlb_real_demand_mpki_reduction_pct
spec06,403.gcc,1,14.797509852024902,14.784799704304007,15.154789848452101,15.191659848083402,0.085893828407590522,-2.4144602706806628,-2.6636238123846523
spec06,429.mcf,4,115.36560551997819,115.43117111033223,115.39159503138927,115.44971326020716,-0.056832874979084735,-0.022527954752149526,-0.072905386184962673
spec06,433.milc,3,3.4792599340037356,3.5386498953398697,4.520736440629844,4.5343198349172065,-1.7069710933552251,-29.933851634581266,-30.324262082349442
spec06,436.cactusADM,1,29.57188940856221,29.545789409084211,30.703379385932411,30.687469386250612,0.088259492376030479,-3.8262349819372377,-3.7724338890750664
spec06,450.soplex,1,12.55208,12.31427,12.9864,12.694269999999999,1.8945863952428588,-3.460143657465542,-1.1328003008266307
spec06,459.GemsFDTD,3,16.112919819305343,16.267209584080479,24.612612863561882,24.613462967390742,-0.95755310958773876,-52.750793397934089,-52.756069312159411
spec06,471.omnetpp,1,30.821809999999999,30.767520000000001,30.874649691253502,30.798509692014903,0.17614150499272174,-0.17143604237876975,0.075596819216960931
spec06,473.astar,2,40.130739524511114,39.90344451634526,41.802884519011613,41.602864518617309,0.56638629354693881,-4.1667435345396076,-3.6683226163999549
spec06,483.xalancbmk,1,8.9451199999999993,8.9389800000000008,8.9549000000000003,8.9413900000000002,0.068640778435602456,-0.10933335718248394,0.041698713935633958
spec17,602.gcc_s,1,4.8826799999999997,4.9478099999999996,5.2265100000000002,5.2024600000000003,-1.3338985966723227,-7.0418294870849829,-6.5492721210482996
spec17,605.mcf_s,5,70.945521684448778,70.885639673489067,71.404941993377236,71.343227994126067,0.084405624961159109,-0.64756773651177824,-0.56057986499302714
spec17,620.omnetpp_s,2,24.627204742521208,24.614209742572505,24.621809742517204,24.605689742606806,0.052766849037744201,0.021906668094928694,0.087362736207141634
