dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,dtlb_demand_miss,dtlb_demand_mpki,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,stlb_demand_access,stlb_demand_hit,stlb_demand_miss,stlb_demand_mpki,stlb_demand_miss_rate,stlb_raw_demand_miss,stlb_raw_demand_mpki,cp_pb_demand_hit,cp_pb_demand_hit_mpki,stlb_pb_demand_miss,stlb_pb_demand_mpki,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,100000002,144828757,0.69047099999999995,1478480,13.8002,1142036,841604,300432,3.0043199999999999,0.263067,1142036,841604,300432,3.0043199999999999,0.263067,265466,2.6546599999999998,9613,0.096129999999999993,255853,2.5585300000000002,265466,0.23244999999999999,48,4.2030200000000003e-05,34918,0.0305752,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,100000002,825075428,0.121201,14001807,138.77000000000001,10004177,9093783,910394,9.1039399999999997,0.091001399999999996,10004177,9093783,910394,9.1039399999999997,0.091001399999999996,908776,9.0877599999999994,528,0.00528,908248,9.0824800000000003,908776,0.090839699999999995,0,0,1618,0.00016173199999999999,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,100000000,836465612,0.119551,18379113,183.77799999999999,14594304,14310729,283575,2.83575,0.0194305,14594304,14310729,283575,2.83575,0.0194305,282489,2.8248899999999999,698,0.0069800000000000001,281791,2.8179099999999999,282489,0.019356100000000001,1,6.8519900000000002e-08,1085,7.4344099999999999e-05,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,100000002,128931248,0.77560700000000005,1245667,11.6044,520860,183750,337110,3.3711000000000002,0.64721799999999996,520860,183750,337110,3.3711000000000002,0.64721799999999996,296158,2.9615800000000001,3214,0.032140000000000002,292944,2.92944,296158,0.56859400000000004,0,0,40952,0.078623799999999994,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,100000002,632242649,0.158167,12545882,124.72499999999999,7956940,6903183,1053757,10.537599999999999,0.13243199999999999,7956940,6903183,1053757,10.537599999999999,0.13243199999999999,1050247,10.5025,1137,0.01137,1049110,10.491099999999999,1050247,0.131991,0,0,3510,0.00044112399999999999,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,100000003,71478163,1.39903,399520,0.01602,218159,2932,215227,2.1522700000000001,0.98655999999999999,218159,2932,215227,2.1522700000000001,0.98655999999999999,134,0.00134,44,0.00044000000000000002,90,0.00089999999999999998,134,0.00061423100000000002,0,0,215093,0.98594599999999999,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,100000004,55986939,1.78613,308547,0.13885,126061,536,125525,1.25525,0.99574799999999997,126061,536,125525,1.25525,0.99574799999999997,199,0.00199,132,0.00132,67,0.00067000000000000002,199,0.0015786000000000001,5,3.9663299999999997e-05,125321,0.99412999999999996,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,100000002,66210049,1.51034,353528,0.0092700000000000005,197447,328,197119,1.97119,0.99833899999999998,197447,328,197119,1.97119,0.99833899999999998,152,0.0015200000000000001,124,0.00124,28,0.00027999999999999998,152,0.00076982699999999995,1,5.0646499999999999e-06,196966,0.99756400000000001,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,100000002,52885317,1.8908799999999999,2954579,25.894200000000001,2768875,1856491,912384,9.1238399999999995,0.32951399999999997,2768875,1856491,912384,9.1238399999999995,0.32951399999999997,898121,8.9812100000000008,2026,0.02026,896095,8.9609500000000004,898121,0.32436300000000001,0,0,14263,0.0051511899999999999,0,0,0,0
spec06,450.soplex,450.soplex-247B,450.soplex-247B.champsimtrace.xz,100000000,164108768,0.609352,1231427,11.0245,805203,694532,110671,1.1067100000000001,0.13744500000000001,805203,694532,110671,1.1067100000000001,0.13744500000000001,74592,0.74592000000000003,10361,0.10360999999999999,64231,0.64231000000000005,74592,0.092637499999999998,0,0,36079,0.044807300000000001,0,0,0,0
