dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,stlb_demand_mpki,stlb_demand_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,403.gcc,1,0.69047099999999995,3.0043199999999999,0.263067,3.0043199999999999,0.263067,0.23244999999999999,4.2030200000000003e-05,0.0305752,0,0,0.88361426212920058,0.00015976993129892953,0.11622596793950045,0,0
spec06,429.mcf,4,0.20533087288980115,6.4620974999999996,0.222520475,6.4620974999999996,0.222520475,0.20269520000000002,1.7129975e-08,0.019825250024999998,0,0,0.96739562459260187,8.8160098739310591e-07,0.032603493806410776,0,0
spec06,433.milc,3,1.5569390290682905,1.7929033333333333,0.9935489999999999,1.7929033333333333,0.9935489999999999,0.00098755266666666658,1.4909316666666666e-05,0.99254666666666669,0,0,0.00099301594640164919,1.4968593444304434e-05,0.99899201546015404,0,0
spec06,436.cactusADM,1,1.8908799999999999,9.1238399999999995,0.32951399999999997,9.1238399999999995,0.32951399999999997,0.32436300000000001,0,0.0051511899999999999,0,0,0.98436732779180691,0,0.015632672208193043,0,0
spec06,450.soplex,1,0.609352,1.1067100000000001,0.13744500000000001,1.1067100000000001,0.13744500000000001,0.092637499999999998,0,0.044807300000000001,0,0,0.67399770490914512,0,0.32600229509085488,0,0
spec06,459.GemsFDTD,3,1.2501282049098132,3.2808733333333335,0.39640000000000003,3.2808733333333335,0.39640000000000003,0.035010399999999997,9.292393333333334e-07,0.36138899999999996,0,0,0.11674304206847019,2.7605142592597823e-06,0.88325419741727051,0,0
spec06,471.omnetpp,1,0.43816100000000002,6.1528499999999999,0.27183600000000002,6.1528499999999999,0.27183600000000002,0.17444299999999999,0.000225763,0.097167600000000007,0,0,0.64172050350650511,0.00083050943871539203,0.35744898705477951,0,0
spec06,473.astar,2,0.34940590915438169,10.854980000000001,0.328121,10.854980000000001,0.328121,0.25887830000000001,1.3104950000000001e-06,0.069241545000000002,0,0,0.53906902688199754,9.0384041793580922e-06,0.46092193471382309,0,0
spec06,483.xalancbmk,1,0.29646499999999998,3.4792000000000001,0.80731399999999998,3.4792000000000001,0.80731399999999998,0.78630999999999995,0.0122912,0.0087131099999999996,0,0,0.97398252471832603,0.015224764313635319,0.010792710968038629,0,0
spec17,602.gcc_s,1,0.73767799999999994,1.4448300000000001,0.94325400000000004,1.4448300000000001,0.94325400000000004,0.13884099999999999,0,0.80441300000000004,0,0,0.14719378750441228,0,0.85280621249558775,0,0
