dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,dtlb_demand_miss,dtlb_demand_mpki,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,stlb_demand_access,stlb_demand_hit,stlb_demand_miss,stlb_demand_mpki,stlb_demand_miss_rate,stlb_raw_demand_miss,stlb_raw_demand_mpki,cp_pb_demand_hit,cp_pb_demand_hit_mpki,stlb_pb_demand_miss,stlb_pb_demand_mpki,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,100000001,145097994,0.68918900000000005,1515479,13.7661,1143366,848799,294567,2.9456699999999998,0.257631,1143366,848799,294567,2.9456699999999998,0.257631,262264,2.6226400000000001,0,0,262264,2.6226400000000001,262264,0.229379,53,4.6354399999999998e-05,32250,0.028206200000000001,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,100000005,824512906,0.121284,13979001,138.726,9986983,9077619,909364,9.0936400000000006,0.091054899999999994,9986983,9077619,909364,9.0936400000000006,0.091054899999999994,908645,9.0864499999999992,0,0,908645,9.0864499999999992,908645,0.090982900000000005,0,0,719,7.1993699999999995e-05,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,100000000,835277522,0.11972099999999999,18379232,183.78,14594073,14311423,282650,2.8264999999999998,0.019367499999999999,14594073,14311423,282650,2.8264999999999998,0.019367499999999999,281955,2.81955,0,0,281955,2.81955,281955,0.019319800000000002,1,6.8520999999999995e-08,694,4.7553599999999998e-05,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,100000003,129000489,0.77519099999999996,1252616,11.717599999999999,530450,215441,315009,3.1500900000000001,0.59385200000000005,530450,215441,315009,3.1500900000000001,0.59385200000000005,293446,2.9344600000000001,0,0,293446,2.9344600000000001,293446,0.55320199999999997,0,0,21563,0.040650400000000003,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,100000002,632007230,0.15822600000000001,12545790,124.688,7958947,6907077,1051870,10.518700000000001,0.132162,7958947,6907077,1051870,10.518700000000001,0.132162,1050283,10.502800000000001,0,0,1050283,10.502800000000001,1050283,0.131963,0,0,1587,0.00019939799999999999,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,100000005,72798545,1.37365,462665,0.0099399999999999992,218194,38,218156,2.1815600000000002,0.99982599999999999,218194,38,218156,2.1815600000000002,0.99982599999999999,111,0.0011100000000000001,0,0,111,0.0011100000000000001,111,0.00050872199999999997,0,0,218045,0.99931700000000001,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,100000005,56282783,1.77674,459627,0.066049999999999998,126489,5398,121091,1.2109099999999999,0.95732399999999995,126489,5398,121091,1.2109099999999999,0.95732399999999995,110,0.0011000000000000001,0,0,110,0.0011000000000000001,110,0.00086964099999999999,5,3.9529100000000001e-05,120976,0.95641500000000002,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,100000005,67260213,1.4867600000000001,433929,0.01636,197864,1308,196556,1.96556,0.99338899999999997,197864,1308,196556,1.96556,0.99338899999999997,160,0.0016000000000000001,0,0,160,0.0016000000000000001,160,0.00080863599999999995,1,5.0539799999999997e-06,196395,0.99257600000000001,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,100000002,52824801,1.8930499999999999,3070338,26.1737,2850142,1922408,927734,9.2773400000000006,0.32550400000000002,2850142,1922408,927734,9.2773400000000006,0.32550400000000002,914032,9.1403199999999991,0,0,914032,9.1403199999999991,914032,0.32069700000000001,0,0,13702,0.0048074800000000003,0,0,0,0
spec06,450.soplex,450.soplex-247B,450.soplex-247B.champsimtrace.xz,100000000,164374081,0.60836800000000002,1298640,11.1585,808664,696154,112510,1.1251,0.139131,808664,696154,112510,1.1251,0.139131,75216,0.75216000000000005,0,0,75216,0.75216000000000005,75216,0.093012700000000004,0,0,37294,0.046117999999999999,0,0,0,0
