Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.6909,0.6865,0.6725,0.640932265113%,2.73605947955%
Core_0_L1D_demand_MPKI,23.0974,23.1109,24.7686,-0.0584139951278%,-6.74725256979%
Core_0_L2C_demand_MPKI,12.2867,12.7639,15.2668,-3.73866921552%,-19.5201351953%
Core_0_LLC_demand_MPKI,2.39773,3.09116,6.17056,-22.4326789943%,-61.1424246746%
Core_0_L1D_prefetch_requested,49883284,40761580,0,22.3781904431%,
Core_0_L1D_prefetch_issued,6778945,6340291,0,6.91851525427%,
Core_0_L1D_prefetch_useful,362652,326566,0,11.0501399411%,
Core_0_L1D_prefetch_useless,23742,10281,0,130.930843303%,
Core_0_L1D_prefetch_late,122862,93434,0,31.4960292827%,
Core_0_L1D_prefetch_accuracy,0.0534968,0.0515065,0,3.86417248308%,
Core_0_L1D_prefetch_coverage,0.135703,0.123809,0,9.60673295156%,
Core_0_vBerti_Requested,49883284,40761580,0,22.3781904431%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,10574930,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,39308354,40761580,0,-3.56518564786%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.211993,0,0,,
Core_0_vBerti_Issued,6778945,6340291,0,6.91851525427%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0804037,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.864104,0.844454,0,2.32694735296%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.948458,0,0,,
Core_0_DTLB_demand_mpki,13.8129,14.9855,14.798,-7.82489740082%,-6.65698067306%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,409348,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,310883,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,98465,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,45908,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.240541,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.98465,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,409348,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,409348,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,37494,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,15063,0,0,,
Core_0_DTLB_cross_page_prefetch_late,4216,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0915944,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0264269,0,0,,
Core_0_STLB_demand_access,1090267,1118793,1118751,-2.54971205576%,-2.54605359012%
Core_0_STLB_demand_hit,827459,831002,830957,-0.426352764494%,-0.420960410707%
Core_0_STLB_demand_miss,262808,287791,287794,-8.68095249678%,-8.68190441774%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.241049,0.257233,0.257246,-6.29157223218%,-6.29630781431%
Core_0_STLB_demand_mpki,2.62808,2.87791,2.87794,-8.68095249678%,-8.68190441774%
Core_0_STLB_vberti_prefetch_access,52557,0,0,,
Core_0_STLB_vberti_prefetch_hit,20892,0,0,,
Core_0_STLB_vberti_prefetch_miss,31665,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.602489,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.31665,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,52557,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,20892,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,31665,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.602489,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.31665,0,0,,
Core_0_STLB_cross_page_prefetch_issued,52557,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,52557,0,0,,
Core_0_STLB_cross_page_prefetch_useful,4530,0,0,,
Core_0_STLB_cross_page_prefetch_useless,27135,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,3803,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.140151,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,13590,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.42918,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0861921,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0169448,0,0,,
DRAM_read_traffic_MPKI,7.30761,7.00644,6.76799,4.29847397537%,7.97312052766%
cache_demand.count,238127,307821,616994,-22.6410803681%,-61.4052972962%
cache_prefetch.count,478589,377125,44529,26.9046072257%,974.780480137%
stlb_demand.count,11544,15698,15276,-26.4619696777%,-24.430479183%
stlb_prefetch.count,2501,0,0,,
stlb_miss_touch_dram.count,14026,15650,15242,-10.3769968051%,-7.97795564886%
stlb_miss_touch_dram.share,4.76,5.44,5.3,-12.5%,-10.1886792453%
