Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1197,0.1196,0.1193,0.0836120401338%,0.335289186924%
Core_0_L1D_demand_MPKI,181.563,181.567,181.575,-0.00220304350461%,-0.00660883932259%
Core_0_L2C_demand_MPKI,103.583,103.595,103.815,-0.0115835706356%,-0.223474449742%
Core_0_LLC_demand_MPKI,59.6392,59.7425,59.9972,-0.172908733314%,-0.596694512411%
Core_0_L1D_prefetch_requested,56582,48529,0,16.5942014053%,
Core_0_L1D_prefetch_issued,54933,48058,0,14.3056306962%,
Core_0_L1D_prefetch_useful,524,480,0,9.16666666667%,
Core_0_L1D_prefetch_useless,5549,5557,0,-0.143962569732%,
Core_0_L1D_prefetch_late,28,24,0,16.6666666667%,
Core_0_L1D_prefetch_accuracy,0.00953889,0.00998793,0,-4.49582646254%,
Core_0_L1D_prefetch_coverage,2.88597e-05,2.64359e-05,0,9.16859270916%,
Core_0_vBerti_Requested,56582,48529,0,16.5942014053%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,9228,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,47354,48529,0,-2.421232665%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.163091,0,0,,
Core_0_vBerti_Issued,54933,48058,0,14.3056306962%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.155371,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.0291435,0.00970554,0,200.276955224%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.0750975,0,0,,
Core_0_DTLB_demand_mpki,183.781,183.78,183.788,0.000544128849714%,-0.00380873615253%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,7121,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,5887,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,1234,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,133,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.17329,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.01234,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,7121,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,7121,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,26,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,1075,0,0,,
Core_0_DTLB_cross_page_prefetch_late,0,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00365117,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,1.41472e-06,0,0,,
Core_0_STLB_demand_access,14593133,14592891,14593109,0.00165834172269%,0.00016446118507%
Core_0_STLB_demand_hit,14311192,14310410,14310620,0.00546455342649%,0.00399703157515%
Core_0_STLB_demand_miss,281941,282481,282489,-0.191163299479%,-0.193989854472%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0193201,0.0193574,0.0193577,-0.192691167202%,-0.194237951823%
Core_0_STLB_demand_mpki,2.81941,2.82481,2.82489,-0.191163299479%,-0.193989854472%
Core_0_STLB_vberti_prefetch_access,1101,0,0,,
Core_0_STLB_vberti_prefetch_hit,410,0,0,,
Core_0_STLB_vberti_prefetch_miss,691,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.627611,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.00691,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,1101,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,410,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,691,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.627611,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.00691,0,0,,
Core_0_STLB_cross_page_prefetch_issued,1101,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,1101,0,0,,
Core_0_STLB_cross_page_prefetch_useful,680,0,0,,
Core_0_STLB_cross_page_prefetch_useless,11,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,4,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.363636,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,445,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.643994,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.61762,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00240605,0,0,,
DRAM_read_traffic_MPKI,60.7556,60.8336,60.857,-0.128218616028%,-0.166620109437%
cache_demand.count,5963915,5974254,5999723,-0.173059263968%,-0.596827553539%
cache_prefetch.count,25899,24428,826,6.02177828721%,3035.47215496%
stlb_demand.count,85172,84683,85152,0.577447657735%,0.0234874107478%
stlb_prefetch.count,576,0,0,,
stlb_miss_touch_dram.count,86335,85305,85772,1.20743215521%,0.656391363149%
stlb_miss_touch_dram.share,30.55,30.2,30.36,1.15894039735%,0.62582345191%
