Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.391,0.9298,0.8467,49.6020649602%,64.2848706744%
Core_0_L1D_demand_MPKI,11.6689,40.412,74.0329,-71.1251608433%,-84.2382238167%
Core_0_L2C_demand_MPKI,1.63024,10.9861,18.6904,-85.1608851185%,-91.2776612593%
Core_0_LLC_demand_MPKI,1.31969,8.95872,17.7048,-85.2692125661%,-92.546145678%
Core_0_L1D_prefetch_requested,65482673,44787631,0,46.2070476556%,
Core_0_L1D_prefetch_issued,10415207,14187370,0,-26.588176667%,
Core_0_L1D_prefetch_useful,1762088,991300,0,77.7552708565%,
Core_0_L1D_prefetch_useless,3173,25964,0,-87.7792327839%,
Core_0_L1D_prefetch_late,133029,59289,0,124.373829884%,
Core_0_L1D_prefetch_accuracy,0.169184,0.069872,0,142.13418823%,
Core_0_L1D_prefetch_coverage,0.601604,0.19698,0,205.413747589%,
Core_0_vBerti_Requested,65482673,44787631,0,46.2070476556%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,25014847,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,40467826,44787631,0,-9.64508482264%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.382007,0,0,,
Core_0_vBerti_Issued,10415207,14187370,0,-26.588176667%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.374007,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.840947,0.68323,0,23.0840273407%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.844278,0,0,,
Core_0_DTLB_demand_mpki,0.02002,11.2373,12.2958,-99.8218433254%,-99.8371801753%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,3528869,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,3139905,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,388964,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,170958,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.110223,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,3.88964,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,3528869,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,3528869,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,217939,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,67,0,0,,
Core_0_DTLB_cross_page_prefetch_late,280,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0617589,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.990898,0,0,,
Core_0_STLB_demand_access,166,218105,218105,-99.9238898696%,-99.9238898696%
Core_0_STLB_demand_hit,2,13,13,-84.6153846154%,-84.6153846154%
Core_0_STLB_demand_miss,164,218092,218092,-99.924802377%,-99.924802377%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.987952,0.99994,0.99994,-1.19887193232%,-1.19887193232%
Core_0_STLB_demand_mpki,0.00164,2.18092,2.18092,-99.924802377%,-99.924802377%
Core_0_STLB_vberti_prefetch_access,218006,0,0,,
Core_0_STLB_vberti_prefetch_hit,23,0,0,,
Core_0_STLB_vberti_prefetch_miss,217983,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.999894,0,0,,
Core_0_STLB_vberti_prefetch_mpki,2.17983,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,218006,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,23,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,217983,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.999894,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,2.17983,0,0,,
Core_0_STLB_cross_page_prefetch_issued,218006,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,218006,0,0,,
Core_0_STLB_cross_page_prefetch_useful,0,0,0,,
Core_0_STLB_cross_page_prefetch_useless,217983,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,42,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.000192676,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,42,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.000192676,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0,0,0,,
DRAM_read_traffic_MPKI,22.328,23.5956,21.9656,-5.37218803506%,1.64985249663%
cache_demand.count,131849,895221,1770477,-85.2719049263%,-92.5529108822%
cache_prefetch.count,2073502,1436889,398643,44.3049532706%,420.140075205%
stlb_demand.count,67,27447,27438,-99.7558931759%,-99.7558131059%
stlb_prefetch.count,27381,0,0,,
stlb_miss_touch_dram.count,27730,27321,27311,1.49701694667%,1.53418036689%
stlb_miss_touch_dram.share,12.71,12.53,12.52,1.43655227454%,1.51757188498%
