Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.89,1.878,1.871,0.638977635783%,1.01549973276%
Core_0_L1D_demand_MPKI,5.5902,5.59354,6.51518,-0.0597117388988%,-14.1973053699%
Core_0_L2C_demand_MPKI,0.71505,0.72718,1.62669,-1.66808768118%,-56.0426387326%
Core_0_LLC_demand_MPKI,0.65772,0.67124,1.43423,-2.01418270663%,-54.1412465225%
Core_0_L1D_prefetch_requested,5550112,5294122,0,4.83536269092%,
Core_0_L1D_prefetch_issued,1754738,1736191,0,1.06825804304%,
Core_0_L1D_prefetch_useful,181316,180997,0,0.176246015127%,
Core_0_L1D_prefetch_useless,11215,11255,0,-0.355397601066%,
Core_0_L1D_prefetch_late,2940,2436,0,20.6896551724%,
Core_0_L1D_prefetch_accuracy,0.103329,0.104249,0,-0.882502470048%,
Core_0_L1D_prefetch_coverage,0.24491,0.244475,0,0.177932303917%,
Core_0_vBerti_Requested,5550112,5294122,0,4.83536269092%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,270700,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,5279412,5294122,0,-0.277855327097%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0487738,0,0,,
Core_0_vBerti_Issued,1754738,1736191,0,1.06825804304%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0288106,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.683837,0.672053,0,1.75343313697%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.813243,0,0,,
Core_0_DTLB_demand_mpki,25.8973,25.8668,26.2386,0.117911763341%,-1.30075537567%
Core_0_DTLB_vberti_same_page_prefetch_mpki,3.44142,3.50761,0,-1.88703989326%,
Core_0_DTLB_vberti_cross_page_prefetch,43992,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,20677,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,23315,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,9048,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.529983,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.23315,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,43992,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,43992,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,1471,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,12796,0,0,,
Core_0_DTLB_cross_page_prefetch_late,111,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0334379,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00056769,0,0,,
Core_0_STLB_demand_access,2535060,2531783,2575499,0.12943447365%,-1.5701423297%
Core_0_STLB_demand_hit,1629397,1630092,1647546,-0.0426356303816%,-1.10157774047%
Core_0_STLB_demand_miss,905663,901691,927953,0.44050567212%,-2.40206131129%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.357255,0.356149,0.3603,0.310544182351%,-0.845129059117%
Core_0_STLB_demand_mpki,9.05663,9.01691,9.27953,0.440505672121%,-2.40206131129%
Core_0_STLB_vberti_prefetch_access,235516,224475,0,4.91858781602%,
Core_0_STLB_vberti_prefetch_hit,226492,222633,0,1.73334591009%,
Core_0_STLB_vberti_prefetch_miss,9024,1842,0,389.90228013%,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.0383159,0.00820581,0,366.936231767%,
Core_0_STLB_vberti_prefetch_mpki,0.09024,0.01842,0,389.90228013%,
Core_0_STLB_vberti_same_page_prefetch_mpki,0.01496,0.01842,0,-18.7839305103%,
Core_0_STLB_vberti_cross_page_prefetch,14267,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,6739,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,7528,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.527651,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.07528,0,0,,
Core_0_STLB_cross_page_prefetch_issued,14267,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,14267,0,0,,
Core_0_STLB_cross_page_prefetch_useful,1504,0,0,,
Core_0_STLB_cross_page_prefetch_useless,6024,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,505,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0838313,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,6101,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.810441,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.105418,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00165791,0,0,,
DRAM_read_traffic_MPKI,4.17465,4.153,4.20374,0.52130989646%,-0.69200283557%
cache_demand.count,65767,67114,143332,-2.00703280985%,-54.1156196802%
cache_prefetch.count,350671,347162,276017,1.01076730748%,27.0468847933%
stlb_demand.count,722,1024,1025,-29.4921875%,-29.5609756098%
stlb_prefetch.count,305,0,0,,
stlb_miss_touch_dram.count,937,931,933,0.644468313641%,0.42872454448%
stlb_miss_touch_dram.share,0.1,0.1,0.1,0%,0%
