Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.352,1.156,0.9596,16.955017301%,40.8920383493%
Core_0_L1D_demand_MPKI,1.12108,3.87458,9.14209,-71.0657671283%,-87.737158571%
Core_0_L2C_demand_MPKI,0.75025,1.81188,6.18546,-58.5927324105%,-87.8707484973%
Core_0_LLC_demand_MPKI,0.63685,1.46376,5.55993,-56.4921845111%,-88.5457191008%
Core_0_L1D_prefetch_requested,43852383,23414573,0,87.2867081539%,
Core_0_L1D_prefetch_issued,10543064,10752851,0,-1.95098955617%,
Core_0_L1D_prefetch_useful,800412,525621,0,52.2793039091%,
Core_0_L1D_prefetch_useless,197938,122261,0,61.8979069368%,
Core_0_L1D_prefetch_late,70,0,0,,
Core_0_L1D_prefetch_accuracy,0.0759183,0.048882,0,55.3093163128%,
Core_0_L1D_prefetch_coverage,0.877145,0.575658,0,52.3725892804%,
Core_0_vBerti_Requested,43852383,23414573,0,87.2867081539%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,20708945,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,23143438,23414573,0,-1.15797541984%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.472242,0,0,,
Core_0_vBerti_Issued,10543064,10752851,0,-1.95098955617%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.235362,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.759578,0.540762,0,40.4643817428%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.880176,0,0,,
Core_0_DTLB_demand_mpki,9.81931,9.00739,9.24363,9.0139318937%,6.22785637244%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.44177,0.47616,0,-7.22236223118%,
Core_0_DTLB_vberti_cross_page_prefetch,2357604,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,2028502,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,329102,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,86508,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.139592,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,3.29102,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,2357604,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,2357604,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,130626,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,111968,0,0,,
Core_0_DTLB_cross_page_prefetch_late,156,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0554063,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.117411,0,0,,
Core_0_STLB_demand_access,623394,623161,641514,0.0373900163842%,-2.82456813102%
Core_0_STLB_demand_hit,622868,515422,533766,20.8462192145%,16.6930827366%
Core_0_STLB_demand_miss,526,107739,107748,-99.5117831055%,-99.5118238854%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.000843768,0.172891,0.167959,-99.5119653423%,-99.4976345418%
Core_0_STLB_demand_mpki,0.00526,1.07739,1.07748,-99.5117831055%,-99.5118238854%
Core_0_STLB_vberti_prefetch_access,277729,38824,0,615.353904801%,
Core_0_STLB_vberti_prefetch_hit,170533,38822,0,339.268971202%,
Core_0_STLB_vberti_prefetch_miss,107196,2,0,5359700%,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.385973,5.15145e-05,0,749151.181706%,
Core_0_STLB_vberti_prefetch_mpki,1.07196,2e-05,0,5359700%,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,2e-05,0,-100%,
Core_0_STLB_vberti_cross_page_prefetch,242594,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,135398,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,107196,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.441874,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,1.07196,0,0,,
Core_0_STLB_cross_page_prefetch_issued,242594,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,242594,0,0,,
Core_0_STLB_cross_page_prefetch_useful,20664,0,0,,
Core_0_STLB_cross_page_prefetch_useless,86532,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,22,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.000205232,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0851794,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.975177,0,0,,
DRAM_read_traffic_MPKI,9.7682,11.0586,9.31439,-11.6687464959%,4.87213870151%
cache_demand.count,63685,146376,555993,-56.4921845111%,-88.5457191008%
cache_prefetch.count,899552,945848,361878,-4.89465537803%,148.578802801%
stlb_demand.count,87,13641,13568,-99.3622168463%,-99.3587853774%
stlb_prefetch.count,13496,0,0,,
stlb_miss_touch_dram.count,13476,13482,13488,-0.0445037828215%,-0.0889679715302%
stlb_miss_touch_dram.share,12.51,12.51,12.52,0%,-0.0798722044728%
