Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.4361,0.4098,0.4058,6.4177647633%,7.46673238048%
Core_0_L1D_demand_MPKI,29.7935,30.9549,31.4625,-3.75191003686%,-5.30472785062%
Core_0_L2C_demand_MPKI,17.3489,20.488,20.9393,-15.3216516986%,-17.1467049997%
Core_0_LLC_demand_MPKI,13.6049,16.2913,16.7578,-16.4897828903%,-18.8145221927%
Core_0_L1D_prefetch_requested,1758702,410267,0,328.67254739%,
Core_0_L1D_prefetch_issued,1666790,367623,0,353.39655027%,
Core_0_L1D_prefetch_useful,145165,25829,0,462.023307135%,
Core_0_L1D_prefetch_useless,105167,14279,0,636.515162126%,
Core_0_L1D_prefetch_late,669,823,0,-18.7120291616%,
Core_0_L1D_prefetch_accuracy,0.0870926,0.0702595,0,23.9584682498%,
Core_0_L1D_prefetch_coverage,0.0464601,0.00827504,0,461.448645565%,
Core_0_vBerti_Requested,1758702,410267,0,328.67254739%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,1401567,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,357135,410267,0,-12.9505907129%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.796933,0,0,,
Core_0_vBerti_Issued,1666790,367623,0,353.39655027%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.80715,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.0522613,0.103942,0,-49.7207096265%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.0401101,0,0,,
Core_0_DTLB_demand_mpki,27.8505,27.3734,27.3791,1.74293292028%,1.72175126282%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,1e-05,0,-100%,
Core_0_DTLB_vberti_cross_page_prefetch,1279675,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,982544,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,297131,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,44928,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.232193,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,2.97131,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1279675,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1279675,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,76114,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,176089,0,0,,
Core_0_DTLB_cross_page_prefetch_late,230,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0594792,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0266025,0,0,,
Core_0_STLB_demand_access,2009165,1929558,1929975,4.12565986615%,4.10316195806%
Core_0_STLB_demand_hit,1634853,1477503,1477922,10.6497245691%,10.6183546899%
Core_0_STLB_demand_miss,374312,452055,452053,-17.1976861223%,-17.1973197833%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.186302,0.234279,0.234227,-20.4785746909%,-20.4609203892%
Core_0_STLB_demand_mpki,3.74312,4.52055,4.52053,-17.1976861223%,-17.1973197833%
Core_0_STLB_vberti_prefetch_access,252203,0,0,,
Core_0_STLB_vberti_prefetch_hit,99236,0,0,,
Core_0_STLB_vberti_prefetch_miss,152967,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.606523,0,0,,
Core_0_STLB_vberti_prefetch_mpki,1.52967,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,252203,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,99236,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,152967,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.606523,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,1.52967,0,0,,
Core_0_STLB_cross_page_prefetch_issued,252203,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,252203,0,0,,
Core_0_STLB_cross_page_prefetch_useful,37562,0,0,,
Core_0_STLB_cross_page_prefetch_useless,115405,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,18896,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.163736,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,42753,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.279492,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.148936,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0911978,0,0,,
DRAM_read_traffic_MPKI,21.7217,18.3695,17.8311,18.2487275103%,21.8191810937%
cache_demand.count,1360488,1629129,1675778,-16.4898543946%,-18.8145446473%
cache_prefetch.count,756879,160598,60361,371.287936338%,1153.92057786%
stlb_demand.count,42466,47226,46971,-10.0791936645%,-9.591024249%
stlb_prefetch.count,12333,0,0,,
stlb_miss_touch_dram.count,54934,47293,47061,16.1567250967%,16.7293512675%
stlb_miss_touch_dram.share,10.42,10.46,10.41,-0.38240917782%,0.0960614793468%
