Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.2961,0.2961,0.2956,0%,0.169147496617%
Core_0_L1D_demand_MPKI,62.8307,62.8198,62.9687,0.0173512172914%,-0.219156501563%
Core_0_L2C_demand_MPKI,26.8922,26.9145,27.0467,-0.0828549666537%,-0.571234198627%
Core_0_LLC_demand_MPKI,22.0256,22.024,22.0896,0.00726480203414%,-0.289729103288%
Core_0_L1D_prefetch_requested,1454012,1289674,0,12.7426000679%,
Core_0_L1D_prefetch_issued,467472,433544,0,7.82573395088%,
Core_0_L1D_prefetch_useful,47004,46413,0,1.27335013897%,
Core_0_L1D_prefetch_useless,1071,1119,0,-4.28954423592%,
Core_0_L1D_prefetch_late,1456,1230,0,18.3739837398%,
Core_0_L1D_prefetch_accuracy,0.100549,0.107055,0,-6.07725001168%,
Core_0_L1D_prefetch_coverage,0.00742551,0.00733409,0,1.2465077467%,
Core_0_vBerti_Requested,1454012,1289674,0,12.7426000679%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,165219,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,1288793,1289674,0,-0.0683118369448%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.11363,0,0,,
Core_0_vBerti_Issued,467472,433544,0,7.82573395088%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0676554,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.678495,0.663834,0,2.20853406123%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.808575,0,0,,
Core_0_DTLB_demand_mpki,8.86423,8.9304,8.87882,-0.740952252979%,-0.1643236376%
Core_0_DTLB_vberti_same_page_prefetch_mpki,3e-05,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,26307,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,18221,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,8086,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,4082,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.307371,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.08086,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,26307,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,26307,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,2947,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,1057,0,0,,
Core_0_DTLB_cross_page_prefetch_late,98,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.112023,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00331358,0,0,,
Core_0_STLB_demand_access,426936,429851,429847,-0.678141960819%,-0.677217707696%
Core_0_STLB_demand_hit,82857,83023,83026,-0.199944593667%,-0.203550694963%
Core_0_STLB_demand_miss,344079,346828,346821,-0.792611899847%,-0.790609565165%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.805926,0.806856,0.806848,-0.115262202921%,-0.114271833109%
Core_0_STLB_demand_mpki,3.44079,3.46828,3.46821,-0.792611899847%,-0.790609565165%
Core_0_STLB_vberti_prefetch_access,4006,0,0,,
Core_0_STLB_vberti_prefetch_hit,259,0,0,,
Core_0_STLB_vberti_prefetch_miss,3747,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.935347,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.03747,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,4004,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,257,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,3747,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.935814,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.03747,0,0,,
Core_0_STLB_cross_page_prefetch_issued,4004,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,4004,0,0,,
Core_0_STLB_cross_page_prefetch_useful,87,0,0,,
Core_0_STLB_cross_page_prefetch_useless,3660,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,1239,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.338525,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,3361,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.896984,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0217283,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000252785,0,0,,
DRAM_read_traffic_MPKI,24.0342,23.9288,23.7156,0.440473404433%,1.34341952133%
cache_demand.count,2202448,2202284,2208921,0.00744681430733%,-0.293038999584%
cache_prefetch.count,122805,113163,85833,8.52045279818%,43.0743420363%
stlb_demand.count,77802,77431,76801,0.479136263254%,1.30336844572%
stlb_prefetch.count,362,0,0,,
stlb_miss_touch_dram.count,78167,77450,76820,0.925758553906%,1.75344962249%
stlb_miss_touch_dram.share,22.47,22.33,22.15,0.626959247649%,1.44469525959%
