Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.4135,0.413,0.4016,0.121065375303%,2.96314741036%
Core_0_L1D_demand_MPKI,35.2888,35.5228,37.9554,-0.658731856723%,-7.02561427359%
Core_0_L2C_demand_MPKI,21.531,21.5568,22.518,-0.119683812069%,-4.38316013856%
Core_0_LLC_demand_MPKI,15.5161,15.5234,16.1351,-0.0470257804347%,-3.83635676259%
Core_0_L1D_prefetch_requested,23880039,21803934,0,9.52169915759%,
Core_0_L1D_prefetch_issued,14913057,14195484,0,5.05493859878%,
Core_0_L1D_prefetch_useful,147886,130832,0,13.0350372997%,
Core_0_L1D_prefetch_useless,10467,9283,0,12.7544974685%,
Core_0_L1D_prefetch_late,146,125,0,16.8%,
Core_0_L1D_prefetch_accuracy,0.00991654,0.00921645,0,7.59609177069%,
Core_0_L1D_prefetch_coverage,0.0402217,0.0355221,0,13.2300736724%,
Core_0_vBerti_Requested,23880039,21803934,0,9.52169915759%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,2131303,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,21748736,21803934,0,-0.253156150629%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0892504,0,0,,
Core_0_vBerti_Issued,14913057,14195484,0,5.05493859878%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0720975,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.375501,0.348948,0,7.60944324083%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.495523,0,0,,
Core_0_DTLB_demand_mpki,22.7622,22.8776,23.4577,-0.504423540931%,-2.96491130844%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00024,0.0001,0,140%,
Core_0_DTLB_vberti_cross_page_prefetch,892292,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,883324,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,8968,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,2802,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0100505,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.08968,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,892292,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,892292,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,3393,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,2773,0,0,,
Core_0_DTLB_cross_page_prefetch_late,3,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00380257,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00148841,0,0,,
Core_0_STLB_demand_access,1622482,1622394,1622447,0.00542408317585%,0.0021572353365%
Core_0_STLB_demand_hit,816398,814687,814781,0.210019308029%,0.198458236017%
Core_0_STLB_demand_miss,806084,807707,807666,-0.200939201963%,-0.195873046532%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.496822,0.497849,0.497807,-0.206287448604%,-0.197867848383%
Core_0_STLB_demand_mpki,8.06084,8.07707,8.07666,-0.200939201963%,-0.195873046532%
Core_0_STLB_vberti_prefetch_access,6176,6,0,102833.333333%,
Core_0_STLB_vberti_prefetch_hit,4228,6,0,70366.6666667%,
Core_0_STLB_vberti_prefetch_miss,1948,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.315415,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.01948,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,6166,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,4218,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,1948,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.315926,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.01948,0,0,,
Core_0_STLB_cross_page_prefetch_issued,6166,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,6166,0,0,,
Core_0_STLB_cross_page_prefetch_useful,182,0,0,,
Core_0_STLB_cross_page_prefetch_useless,1766,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,577,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.326727,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,1588,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.815195,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0295167,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000225732,0,0,,
DRAM_read_traffic_MPKI,18.4851,18.4799,18.4821,0.0281386804041%,0.0162319216972%
cache_demand.count,1551613,1552343,1613511,-0.0470256895544%,-3.83623043165%
cache_prefetch.count,96913,95010,34350,2.0029470582%,182.133915575%
stlb_demand.count,199810,200634,200352,-0.410698087064%,-0.270523877975%
stlb_prefetch.count,177,0,0,,
stlb_miss_touch_dram.count,199535,200184,200068,-0.324201734404%,-0.266409420797%
stlb_miss_touch_dram.share,24.69,24.78,24.77,-0.363196125908%,-0.322971336294%
