Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.4678,0.4683,0.4685,-0.106769165065%,-0.149413020277%
Core_0_L1D_demand_MPKI,21.8613,21.8662,21.8787,-0.0224090148265%,-0.079529405312%
Core_0_L2C_demand_MPKI,14.1236,14.1497,14.1694,-0.184456207552%,-0.323231752932%
Core_0_LLC_demand_MPKI,10.5706,10.5984,10.6189,-0.262303743961%,-0.454849372346%
Core_0_L1D_prefetch_requested,48704,15345,0,217.393287716%,
Core_0_L1D_prefetch_issued,48697,15345,0,217.347670251%,
Core_0_L1D_prefetch_useful,1227,784,0,56.5051020408%,
Core_0_L1D_prefetch_useless,2130,1117,0,90.6893464637%,
Core_0_L1D_prefetch_late,49,58,0,-15.5172413793%,
Core_0_L1D_prefetch_accuracy,0.0251966,0.0510916,0,-50.6834783017%,
Core_0_L1D_prefetch_coverage,0.000560951,0.000358416,0,56.5083590018%,
Core_0_vBerti_Requested,48704,15345,0,217.393287716%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,34151,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,14553,15345,0,-5.16129032258%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.701195,0,0,,
Core_0_vBerti_Issued,48697,15345,0,217.347670251%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.701152,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.000143725,0,0,,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.000204972,0,0,,
Core_0_DTLB_demand_mpki,25.5643,25.4927,25.4967,0.280864718135%,0.265132350461%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,33647,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,15289,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,18358,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,512,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.545606,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.18358,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,33647,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,33647,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,2628,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,15218,0,0,,
Core_0_DTLB_cross_page_prefetch_late,9,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.078105,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00102694,0,0,,
Core_0_STLB_demand_access,2256894,2249860,2249935,0.312641675482%,0.309297824159%
Core_0_STLB_demand_hit,1773197,1763692,1763770,0.538926297789%,0.53448011929%
Core_0_STLB_demand_miss,483697,486168,486165,-0.508260518998%,-0.507646580893%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.21432,0.216088,0.21608,-0.818185183814%,-0.81451314328%
Core_0_STLB_demand_mpki,4.83697,4.86168,4.86165,-0.508260518998%,-0.507646580893%
Core_0_STLB_vberti_prefetch_access,17846,0,0,,
Core_0_STLB_vberti_prefetch_hit,3071,0,0,,
Core_0_STLB_vberti_prefetch_miss,14775,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.827917,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.14775,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,17846,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3071,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,14775,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.827917,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.14775,0,0,,
Core_0_STLB_cross_page_prefetch_issued,17846,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,17846,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2844,0,0,,
Core_0_STLB_cross_page_prefetch_useless,11931,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,6289,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.527114,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,10420,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.705245,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.159363,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00584534,0,0,,
DRAM_read_traffic_MPKI,11.5265,11.3269,11.2392,1.76217676505%,2.55623176027%
cache_demand.count,1057056,1059836,1061889,-0.26230473394%,-0.45513231609%
cache_prefetch.count,42190,20297,10090,107.863231019%,318.136769078%
stlb_demand.count,52935,52553,51944,0.726885239663%,1.90782381026%
stlb_prefetch.count,468,0,0,,
stlb_miss_touch_dram.count,53428,52576,51962,1.62051125989%,2.82129248297%
stlb_miss_touch_dram.share,10.72,10.81,10.69,-0.832562442183%,0.280636108513%
