Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.179,1.18,1.175,-0.0847457627119%,0.340425531915%
Core_0_L1D_demand_MPKI,43.9542,45.7734,55.0264,-3.97436065488%,-20.1216143524%
Core_0_L2C_demand_MPKI,2.88521,2.57332,2.84385,12.1201405189%,1.45436643986%
Core_0_LLC_demand_MPKI,1.27857,1.34543,1.6287,-4.96941498257%,-21.4975133542%
Core_0_L1D_prefetch_requested,57581883,28801221,0,99.9286176096%,
Core_0_L1D_prefetch_issued,13351927,11427376,0,16.8415828796%,
Core_0_L1D_prefetch_useful,337966,269725,0,25.3002131801%,
Core_0_L1D_prefetch_useless,35995,17271,0,108.412946558%,
Core_0_L1D_prefetch_late,4715,5359,0,-12.017167382%,
Core_0_L1D_prefetch_accuracy,0.0253122,0.0236034,0,7.23963496784%,
Core_0_L1D_prefetch_coverage,0.0714005,0.0556471,0,28.3094716526%,
Core_0_vBerti_Requested,57581883,28801221,0,99.9286176096%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,8816886,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,48764997,28801221,0,69.3157279686%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.153119,0,0,,
Core_0_vBerti_Issued,13351927,11427376,0,16.8415828796%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.106178,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.768123,0.603233,0,27.3343799162%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.839209,0,0,,
Core_0_DTLB_demand_mpki,34.1295,34.7372,34.7512,-1.7494213696%,-1.78900296968%
Core_0_DTLB_vberti_same_page_prefetch_mpki,5e-05,1e-05,0,400%,
Core_0_DTLB_vberti_cross_page_prefetch,1100441,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1015943,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,84498,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,17821,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0767856,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.84498,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1100441,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1100441,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,27433,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,39244,0,0,,
Core_0_DTLB_cross_page_prefetch_late,400,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0249291,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00797381,0,0,,
Core_0_STLB_demand_access,2314297,2330885,2330789,-0.711661021458%,-0.707571556241%
Core_0_STLB_demand_hit,2186084,2202361,2202278,-0.739070479363%,-0.735329508809%
Core_0_STLB_demand_miss,128213,128524,128511,-0.24197815194%,-0.231886764557%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0554004,0.0551396,0.0551363,0.472981305632%,0.478994782022%
Core_0_STLB_demand_mpki,1.28213,1.28524,1.28511,-0.24197815194%,-0.231886764557%
Core_0_STLB_vberti_prefetch_access,66681,1,0,6668000%,
Core_0_STLB_vberti_prefetch_hit,60989,1,0,6098800%,
Core_0_STLB_vberti_prefetch_miss,5692,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.0853616,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.05692,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,66677,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,60985,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,5692,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.0853668,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.05692,0,0,,
Core_0_STLB_cross_page_prefetch_issued,66677,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,66677,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2186,0,0,,
Core_0_STLB_cross_page_prefetch_useless,3506,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,208,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0593269,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,3555,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.624561,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0327849,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0167639,0,0,,
DRAM_read_traffic_MPKI,1.79723,1.74677,1.68471,2.88876039776%,6.67889429041%
cache_demand.count,127723,134385,162868,-4.95739851918%,-21.5788245696%
cache_prefetch.count,50230,38697,4039,29.8033439285%,1143.62465957%
stlb_demand.count,1564,1595,1564,-1.94357366771%,0%
stlb_prefetch.count,206,0,0,,
stlb_miss_touch_dram.count,1763,1590,1558,10.8805031447%,13.1578947368%
stlb_miss_touch_dram.share,1.32,1.24,1.21,6.45161290323%,9.09090909091%
