Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.165,0.8473,0.7245,37.4955741768%,60.8005521049%
Core_0_L1D_demand_MPKI,4.9427,13.4727,33.8219,-63.3132185828%,-85.3860959911%
Core_0_L2C_demand_MPKI,1.08193,5.1335,15.1401,-78.9241258401%,-92.8538781118%
Core_0_LLC_demand_MPKI,0.8997,4.37569,13.9902,-79.4386713867%,-93.5690697774%
Core_0_L1D_prefetch_requested,55950062,26893160,0,108.045696378%,
Core_0_L1D_prefetch_issued,9032414,10340370,0,-12.6490251316%,
Core_0_L1D_prefetch_useful,1613208,1054004,0,53.0552066216%,
Core_0_L1D_prefetch_useless,264070,204318,0,29.244608894%,
Core_0_L1D_prefetch_late,62595,3709,0,1587.65165813%,
Core_0_L1D_prefetch_accuracy,0.178602,0.101931,0,75.2185301822%,
Core_0_L1D_prefetch_coverage,0.765468,0.438935,0,74.3921081709%,
Core_0_vBerti_Requested,55950062,26893160,0,108.045696378%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,34290524,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,21659538,26893160,0,-19.4607922609%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.612877,0,0,,
Core_0_vBerti_Issued,9032414,10340370,0,-12.6490251316%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.409187,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.838563,0.615502,0,36.2404996247%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.892217,0,0,,
Core_0_DTLB_demand_mpki,3.07962,8.1818,8.28342,-62.3601163558%,-62.82187792%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.20701,0.18682,0,10.8071940906%,
Core_0_DTLB_vberti_cross_page_prefetch,3564543,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,2732777,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,831766,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,393260,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.233344,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,8.31766,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,3564543,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,3564543,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,324189,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,114317,0,0,,
Core_0_DTLB_cross_page_prefetch_late,3169,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0909483,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.512835,0,0,,
Core_0_STLB_demand_access,272004,449216,460189,-39.4491736715%,-40.8929809274%
Core_0_STLB_demand_hit,270742,109617,120592,146.989061916%,124.510746982%
Core_0_STLB_demand_miss,1262,339599,339597,-99.6283852426%,-99.628383054%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.00463964,0.755982,0.737951,-99.3862763928%,-99.371280749%
Core_0_STLB_demand_mpki,0.01262,3.39599,3.39597,-99.6283852426%,-99.628383054%
Core_0_STLB_vberti_prefetch_access,455794,15260,0,2886.85452163%,
Core_0_STLB_vberti_prefetch_hit,117542,15260,0,670.262123198%,
Core_0_STLB_vberti_prefetch_miss,338252,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.742116,0,0,,
Core_0_STLB_vberti_prefetch_mpki,3.38252,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,2e-05,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,438506,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,100256,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,338250,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.771369,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,3.3825,0,0,,
Core_0_STLB_cross_page_prefetch_issued,438506,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,438506,0,0,,
Core_0_STLB_cross_page_prefetch_useful,42922,0,0,,
Core_0_STLB_cross_page_prefetch_useless,295328,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,31,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.000104968,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,707,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.00209016,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0978824,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.971438,0,0,,
DRAM_read_traffic_MPKI,23.7562,26.6424,22.8222,-10.8331081284%,4.09250641919%
cache_demand.count,89970,437569,1399015,-79.4386713867%,-93.5690467936%
cache_prefetch.count,2246119,2186050,843972,2.7478328492%,166.136672781%
stlb_demand.count,87,40620,39238,-99.7858197932%,-99.7782761609%
stlb_prefetch.count,39443,0,0,,
stlb_miss_touch_dram.count,39514,40323,39016,-2.00629913449%,1.27639942588%
stlb_miss_touch_dram.share,11.64,11.87,11.49,-1.93765796125%,1.30548302872%
