Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.962,0.9585,0.9426,0.365153886281%,2.05813706769%
Core_0_L1D_demand_MPKI,5.31092,5.33002,6.40946,-0.358347623461%,-17.1393533933%
Core_0_L2C_demand_MPKI,3.89416,3.90466,4.03355,-0.268909456905%,-3.45576477297%
Core_0_LLC_demand_MPKI,3.88511,3.89614,4.02529,-0.283100709933%,-3.48248200751%
Core_0_L1D_prefetch_requested,8251230,8254854,0,-0.0439014427148%,
Core_0_L1D_prefetch_issued,8242046,8244283,0,-0.0271339545234%,
Core_0_L1D_prefetch_useful,10360,10245,0,1.12249877989%,
Core_0_L1D_prefetch_useless,4545,4393,0,3.46005007967%,
Core_0_L1D_prefetch_late,77,63,0,22.2222222222%,
Core_0_L1D_prefetch_accuracy,0.00125697,0.00124268,0,1.14993401358%,
Core_0_L1D_prefetch_coverage,0.0191337,0.0188588,0,1.4576749316%,
Core_0_vBerti_Requested,8251230,8254854,0,-0.0439014427148%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,138604,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,8112626,8254854,0,-1.72296202937%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.016798,0,0,,
Core_0_vBerti_Issued,8242046,8244283,0,-0.0271339545234%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0166555,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.00111305,0.00128058,0,-13.0823533087%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.00958847,0,0,,
Core_0_DTLB_demand_mpki,3.38725,3.45175,3.45276,-1.868617368%,-1.89732272153%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,129918,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,124212,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,5706,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,3189,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.04392,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.05706,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,129918,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,129918,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,2134,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,383,0,0,,
Core_0_DTLB_cross_page_prefetch_late,16,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0164257,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00626065,0,0,,
Core_0_STLB_demand_access,288640,290771,290773,-0.732879138566%,-0.733561919435%
Core_0_STLB_demand_hit,4670,4665,4668,0.10718113612%,0.0428449014567%
Core_0_STLB_demand_miss,283970,286106,286105,-0.746576443696%,-0.746229531116%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.983821,0.983956,0.983946,-0.0137201256967%,-0.0127039492005%
Core_0_STLB_demand_mpki,2.8397,2.86106,2.86105,-0.746576443696%,-0.746229531116%
Core_0_STLB_vberti_prefetch_access,2517,0,0,,
Core_0_STLB_vberti_prefetch_hit,157,0,0,,
Core_0_STLB_vberti_prefetch_miss,2360,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.937624,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.0236,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,2517,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,157,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,2360,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.937624,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.0236,0,0,,
Core_0_STLB_cross_page_prefetch_issued,2517,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,2517,0,0,,
Core_0_STLB_cross_page_prefetch_useful,9,0,0,,
Core_0_STLB_cross_page_prefetch_useless,2351,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,768,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.325424,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.00357569,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,3.16925e-05,0,0,,
DRAM_read_traffic_MPKI,6.45147,6.37705,6.08518,1.16699727931%,6.0193782271%
cache_demand.count,388511,389614,402529,-0.283100709933%,-3.48248200751%
cache_prefetch.count,94335,88858,45596,6.163766909%,106.893148522%
stlb_demand.count,162000,159233,160393,1.73770512394%,1.00191404862%
stlb_prefetch.count,301,0,0,,
stlb_miss_touch_dram.count,162245,159189,160342,1.91973063465%,1.18683813349%
stlb_miss_touch_dram.share,56.66,55.64,56.04,1.83321351546%,1.10635260528%
