Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1624,0.1622,0.1622,0.123304562269%,0.123304562269%
Core_0_L1D_demand_MPKI,58.4051,58.4307,59.9315,-0.0438125848227%,-2.54690771965%
Core_0_L2C_demand_MPKI,47.754,47.804,49.3759,-0.104593757845%,-3.28480088464%
Core_0_LLC_demand_MPKI,27.9014,27.9841,28.7263,-0.295524958816%,-2.87158457581%
Core_0_L1D_prefetch_requested,87702478,80716047,0,8.65556634606%,
Core_0_L1D_prefetch_issued,37314112,37795875,0,-1.2746443891%,
Core_0_L1D_prefetch_useful,298156,293810,0,1.47918722984%,
Core_0_L1D_prefetch_useless,5753,5242,0,9.74818771461%,
Core_0_L1D_prefetch_late,6,56,0,-89.2857142857%,
Core_0_L1D_prefetch_accuracy,0.00799044,0.0077736,0,2.78944118555%,
Core_0_L1D_prefetch_coverage,0.0485702,0.0478761,0,1.44978392141%,
Core_0_vBerti_Requested,87702478,80716047,0,8.65556634606%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,6428808,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,81273670,80716047,0,0.690845278882%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0733025,0,0,,
Core_0_vBerti_Issued,37314112,37795875,0,-1.2746443891%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0493735,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.574538,0.531743,0,8.04806081133%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.713426,0,0,,
Core_0_DTLB_demand_mpki,18.7626,18.9247,18.9512,-0.856552547729%,-0.995187639833%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.0011,0.00091,0,20.8791208791%,
Core_0_DTLB_vberti_cross_page_prefetch,1385776,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1372590,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,13186,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,6689,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.00951525,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.13186,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1385776,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1385776,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,5070,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,1427,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0036586,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00269491,0,0,,
Core_0_STLB_demand_access,1495620,1494966,1495626,0.0437468143088%,-0.000401169811169%
Core_0_STLB_demand_hit,652202,647328,647993,0.752941321865%,0.649544053717%
Core_0_STLB_demand_miss,843418,847638,847633,-0.497854036747%,-0.497267095547%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.563925,0.566995,0.566741,-0.541450982813%,-0.496875998031%
Core_0_STLB_demand_mpki,8.43418,8.47638,8.47633,-0.497854036747%,-0.497267095547%
Core_0_STLB_vberti_prefetch_access,6591,74,0,8806.75675676%,
Core_0_STLB_vberti_prefetch_hit,2227,74,0,2909.45945946%,
Core_0_STLB_vberti_prefetch_miss,4364,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.662115,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.04364,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,6497,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2133,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,4364,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.671695,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.04364,0,0,,
Core_0_STLB_cross_page_prefetch_issued,6497,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,6497,0,0,,
Core_0_STLB_cross_page_prefetch_useful,1551,0,0,,
Core_0_STLB_cross_page_prefetch_useless,2813,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,296,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.105226,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,4272,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.978918,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.238726,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00183557,0,0,,
DRAM_read_traffic_MPKI,30.3623,30.4126,29.8866,-0.165391975694%,1.59168322927%
cache_demand.count,2790144,2798410,2872634,-0.295382020505%,-2.87158057727%
cache_prefetch.count,165662,162132,36745,2.17723829966%,350.842291468%
stlb_demand.count,79968,80717,79281,-0.92793339693%,0.866538010368%
stlb_prefetch.count,460,0,0,,
stlb_miss_touch_dram.count,80463,80676,79250,-0.264019039119%,1.53059936909%
stlb_miss_touch_dram.share,9.49,9.52,9.35,-0.31512605042%,1.49732620321%
