Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.5907,0.5912,0.5601,-0.0845737483085%,5.46331012319%
Core_0_L1D_demand_MPKI,29.3934,29.56,32.5899,-0.563599458728%,-9.8082534773%
Core_0_L2C_demand_MPKI,24.9411,25.0102,25.6478,-0.276287274792%,-2.75540202279%
Core_0_LLC_demand_MPKI,24.6056,24.7042,25.2899,-0.399122416431%,-2.70582327332%
Core_0_L1D_prefetch_requested,7253851,7041597,0,3.01428781%,
Core_0_L1D_prefetch_issued,7173261,6942073,0,3.33024443851%,
Core_0_L1D_prefetch_useful,192561,188687,0,2.05313561613%,
Core_0_L1D_prefetch_useless,57393,55814,0,2.82903930913%,
Core_0_L1D_prefetch_late,1832,1807,0,1.38350857775%,
Core_0_L1D_prefetch_accuracy,0.0268443,0.0271802,0,-1.23582607928%,
Core_0_L1D_prefetch_coverage,0.0614836,0.0600018,0,2.46959257889%,
Core_0_vBerti_Requested,7253851,7041597,0,3.01428781%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,190591,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,7063260,7041597,0,0.307643280352%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0262745,0,0,,
Core_0_vBerti_Issued,7173261,6942073,0,3.33024443851%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0253823,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.01111,0.0141337,0,-21.3935487523%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.0446873,0,0,,
Core_0_DTLB_demand_mpki,22.3563,22.5506,22.6316,-0.861617872695%,-1.21644072889%
Core_0_DTLB_vberti_same_page_prefetch_mpki,5e-05,3e-05,0,66.6666666667%,
Core_0_DTLB_vberti_cross_page_prefetch,151299,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,125781,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,25518,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,14582,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.168659,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.25518,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,151299,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,151299,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,7277,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,3659,0,0,,
Core_0_DTLB_cross_page_prefetch_late,189,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0480968,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00324445,0,0,,
Core_0_STLB_demand_access,1960299,1967711,1969089,-0.376681331761%,-0.446399324764%
Core_0_STLB_demand_hit,62123,62253,63633,-0.208825277497%,-2.37298257194%
Core_0_STLB_demand_miss,1898176,1905458,1905456,-0.382165337677%,-0.382060777053%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.968309,0.968363,0.967684,-0.00557642123873%,0.0645871999537%
Core_0_STLB_demand_mpki,18.9818,19.0546,19.0546,-0.382059975019%,-0.382059975019%
Core_0_STLB_vberti_prefetch_access,10940,2,0,546900%,
Core_0_STLB_vberti_prefetch_hit,1048,2,0,52300%,
Core_0_STLB_vberti_prefetch_miss,9892,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.904205,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.09892,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,10936,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,1044,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,9892,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.904535,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.09892,0,0,,
Core_0_STLB_cross_page_prefetch_issued,10936,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,10936,0,0,,
Core_0_STLB_cross_page_prefetch_useful,268,0,0,,
Core_0_STLB_cross_page_prefetch_useless,9624,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,2200,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.228595,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,6902,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.697736,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0245062,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000141168,0,0,,
DRAM_read_traffic_MPKI,31.7464,31.4833,30.5858,0.83568113889%,3.79457133703%
cache_demand.count,2459777,2469737,2528399,-0.403281806929%,-2.71404948349%
cache_prefetch.count,522672,497611,324403,5.03626326588%,61.1181154305%
stlb_demand.count,191328,180987,205778,5.7136700426%,-7.02213064565%
stlb_prefetch.count,862,0,0,,
stlb_miss_touch_dram.count,186931,178035,200590,4.99677029798%,-6.80941223391%
stlb_miss_touch_dram.share,9.8,9.34,10.53,4.92505353319%,-6.93257359924%
