Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.3284,0.3283,0.3282,0.0304599451721%,0.0609384521633%
Core_0_L1D_demand_MPKI,54.2377,54.2341,54.3947,0.00663789018348%,-0.288631061482%
Core_0_L2C_demand_MPKI,11.3258,11.3284,11.3337,-0.0229511669786%,-0.0697036272356%
Core_0_LLC_demand_MPKI,11.3218,11.3245,11.3299,-0.0238421122345%,-0.0714922461805%
Core_0_L1D_prefetch_requested,2100173,1909848,0,9.96545274807%,
Core_0_L1D_prefetch_issued,2022030,1845662,0,9.55581249438%,
Core_0_L1D_prefetch_useful,16638,16380,0,1.57509157509%,
Core_0_L1D_prefetch_useless,619,519,0,19.267822736%,
Core_0_L1D_prefetch_late,0,0,0,,
Core_0_L1D_prefetch_accuracy,0.00822836,0.00887486,0,-7.2846219546%,
Core_0_L1D_prefetch_coverage,0.00305823,0.00301115,0,1.56352224233%,
Core_0_vBerti_Requested,2100173,1909848,0,9.96545274807%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,200883,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,1899290,1909848,0,-0.552818863072%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0956507,0,0,,
Core_0_vBerti_Issued,2022030,1845662,0,9.55581249438%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0940283,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.0372079,0.0336079,0,10.7117671738%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.0535386,0,0,,
Core_0_DTLB_demand_mpki,53.4104,53.4113,53.4114,-0.00168503668698%,-0.00187225948018%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,169873,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,169590,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,283,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,16,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.00166595,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.00283,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,169873,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,169873,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,260,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,7,0,0,,
Core_0_DTLB_cross_page_prefetch_late,0,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00153056,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,4.86773e-05,0,0,,
Core_0_STLB_demand_access,1100466,1100723,1100723,-0.0233482901693%,-0.0233482901693%
Core_0_STLB_demand_hit,19165,19168,19172,-0.0156510851419%,-0.0365115793866%
Core_0_STLB_demand_miss,1081301,1081555,1081551,-0.0234847048925%,-0.023114952508%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.982585,0.982586,0.982582,-0.000101772262165%,0.000305318029446%
Core_0_STLB_demand_mpki,10.813,10.8155,10.8155,-0.0231149738801%,-0.0231149738801%
Core_0_STLB_vberti_prefetch_access,267,0,0,,
Core_0_STLB_vberti_prefetch_hit,7,0,0,,
Core_0_STLB_vberti_prefetch_miss,260,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.973783,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.0026,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,267,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,7,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,260,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.973783,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.0026,0,0,,
Core_0_STLB_cross_page_prefetch_issued,267,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,267,0,0,,
Core_0_STLB_cross_page_prefetch_useful,5,0,0,,
Core_0_STLB_cross_page_prefetch_useless,255,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,16,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0627451,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,116,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.446154,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0187266,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,4.62404e-06,0,0,,
DRAM_read_traffic_MPKI,20.2521,20.2509,20.2513,0.00592566256313%,0.00395036368035%
cache_demand.count,1132184,1132450,1132991,-0.023488895757%,-0.0712273972167%
cache_prefetch.count,16641,16381,15860,1.58720468836%,4.92433795712%
stlb_demand.count,876338,876260,876277,0.00890146760094%,0.00696126909642%
stlb_prefetch.count,48,0,0,,
stlb_miss_touch_dram.count,870991,870866,870977,0.0143535285566%,0.00160739032144%
stlb_miss_touch_dram.share,80.53,80.52,80.53,0.0124192747144%,0%
