Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1736,0.1737,0.1738,-0.0575705238918%,-0.115074798619%
Core_0_L1D_demand_MPKI,58.8812,58.9427,61.4992,-0.104338620389%,-4.25696594427%
Core_0_L2C_demand_MPKI,47.8368,47.8896,49.6609,-0.110253583241%,-3.67311103907%
Core_0_LLC_demand_MPKI,18.1837,18.2014,19.245,-0.0972452668476%,-5.51467913744%
Core_0_L1D_prefetch_requested,126510247,116817082,0,8.29772909411%,
Core_0_L1D_prefetch_issued,53717650,54181406,0,-0.855932014758%,
Core_0_L1D_prefetch_useful,424180,418176,0,1.43575910621%,
Core_0_L1D_prefetch_useless,12263,9488,0,29.247470489%,
Core_0_L1D_prefetch_late,14,68,0,-79.4117647059%,
Core_0_L1D_prefetch_accuracy,0.00789647,0.00771807,0,2.31145869369%,
Core_0_L1D_prefetch_coverage,0.067199,0.0662463,0,1.43811805339%,
Core_0_vBerti_Requested,126510247,116817082,0,8.29772909411%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,8979969,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,117530278,116817082,0,0.610523724604%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0709821,0,0,,
Core_0_vBerti_Issued,53717650,54181406,0,-0.855932014758%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0477445,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.575389,0.536186,0,7.31145535318%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.714395,0,0,,
Core_0_DTLB_demand_mpki,17.393,17.6723,17.8228,-1.58043944478%,-2.41151783109%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,1878966,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1863424,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,15542,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,7243,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.00827157,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.15542,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1878966,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1878966,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,6991,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,1308,0,0,,
Core_0_DTLB_cross_page_prefetch_late,3,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00372066,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00400333,0,0,,
Core_0_STLB_demand_access,1342042,1344237,1344393,-0.163289657999%,-0.174874460072%
Core_0_STLB_demand_hit,487191,485374,485585,0.374350500851%,0.330735092723%
Core_0_STLB_demand_miss,854851,858863,858808,-0.467129216185%,-0.460754906801%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.636978,0.638922,0.638807,-0.304262492135%,-0.286314958978%
Core_0_STLB_demand_mpki,8.54851,8.58863,8.58808,-0.467129216185%,-0.460754906801%
Core_0_STLB_vberti_prefetch_access,8299,0,0,,
Core_0_STLB_vberti_prefetch_hit,3406,0,0,,
Core_0_STLB_vberti_prefetch_miss,4893,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.589589,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.04893,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,8299,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3406,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,4893,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.589589,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.04893,0,0,,
Core_0_STLB_cross_page_prefetch_issued,8299,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,8299,0,0,,
Core_0_STLB_cross_page_prefetch_useful,872,0,0,,
Core_0_STLB_cross_page_prefetch_useless,4021,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,487,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.121114,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,4777,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.976293,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.105073,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00101902,0,0,,
DRAM_read_traffic_MPKI,20.1849,20.1654,19.6551,0.0967002886132%,2.69548361494%
cache_demand.count,1818374,1820143,1924499,-0.0971901658276%,-5.51442219508%
cache_prefetch.count,187630,183496,28061,2.25291014518%,568.650440113%
stlb_demand.count,12195,12903,12946,-5.48709602418%,-5.80101961996%
stlb_prefetch.count,286,0,0,,
stlb_miss_touch_dram.count,12482,12898,12939,-3.22530624903%,-3.53195764742%
stlb_miss_touch_dram.share,1.45,1.5,1.51,-3.33333333333%,-3.97350993377%
