Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.201,0.1967,0.1858,2.1860701576%,8.18083961249%
Core_0_L1D_demand_MPKI,66.7653,66.9337,74.4711,-0.251592247254%,-10.3473696508%
Core_0_L2C_demand_MPKI,35.6435,35.7419,37.1038,-0.275307132525%,-3.93571547928%
Core_0_LLC_demand_MPKI,19.5249,19.8001,21.6832,-1.38989197024%,-9.95378910862%
Core_0_L1D_prefetch_requested,52743114,47302580,0,11.5015586888%,
Core_0_L1D_prefetch_issued,32066707,30289026,0,5.86905963896%,
Core_0_L1D_prefetch_useful,632229,622165,0,1.61757733077%,
Core_0_L1D_prefetch_useless,19741,18622,0,6.00902158737%,
Core_0_L1D_prefetch_late,869,822,0,5.71776155718%,
Core_0_L1D_prefetch_accuracy,0.0197161,0.0205409,0,-4.01540341465%,
Core_0_L1D_prefetch_coverage,0.0865029,0.085047,0,1.71187696215%,
Core_0_vBerti_Requested,52743114,47302580,0,11.5015586888%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,5592692,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,47150422,47302580,0,-0.321669557982%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.106036,0,0,,
Core_0_vBerti_Issued,32066707,30289026,0,5.86905963896%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0852066,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.392021,0.359675,0,8.99311878779%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.511452,0,0,,
Core_0_DTLB_demand_mpki,37.8692,38.3932,38.6246,-1.3648250211%,-1.95574840905%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.0002,6e-05,0,233.333333333%,
Core_0_DTLB_vberti_cross_page_prefetch,2082449,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1978564,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,103885,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,47091,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.049886,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.03885,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,2082449,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,2082449,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,34608,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,22186,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1661,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0166189,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00905607,0,0,,
Core_0_STLB_demand_access,3541881,3557133,3557532,-0.428772272501%,-0.439939823451%
Core_0_STLB_demand_hit,3303465,3285864,3286234,0.535658201313%,0.52433880241%
Core_0_STLB_demand_miss,238416,271269,271298,-12.110856751%,-12.1202515315%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0673134,0.0762606,0.0762602,-11.7324017907%,-11.7319388095%
Core_0_STLB_demand_mpki,2.38416,2.71269,2.71298,-12.110856751%,-12.1202515315%
Core_0_STLB_vberti_prefetch_access,56801,3,0,1893266.66667%,
Core_0_STLB_vberti_prefetch_hit,18168,3,0,605500%,
Core_0_STLB_vberti_prefetch_miss,38633,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.680146,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.38633,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,56794,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,18161,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,38633,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.68023,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.38633,0,0,,
Core_0_STLB_cross_page_prefetch_issued,56794,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,56794,0,0,,
Core_0_STLB_cross_page_prefetch_useful,3671,0,0,,
Core_0_STLB_cross_page_prefetch_useless,34962,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,63,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.00180196,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,22859,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.591681,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0646371,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.015164,0,0,,
DRAM_read_traffic_MPKI,36.3107,35.3985,31.0535,2.57694535079%,16.9294926498%
cache_demand.count,1952480,1980007,2168309,-1.39024761024%,-9.95379348608%
cache_prefetch.count,1657859,1538976,916119,7.72481182293%,80.9654640936%
stlb_demand.count,15638,20864,20924,-25.0479294479%,-25.2628560505%
stlb_prefetch.count,5091,0,0,,
stlb_miss_touch_dram.count,20508,20625,20716,-0.567272727273%,-1.00405483684%
stlb_miss_touch_dram.share,7.4,7.6,7.64,-2.63157894737%,-3.14136125654%
