Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1386,0.1386,0.1327,0%,4.44611906556%
Core_0_L1D_demand_MPKI,50.2091,50.3073,58.4651,-0.195200298963%,-14.121244982%
Core_0_L2C_demand_MPKI,43.7548,43.88,49.93,-0.285323609845%,-12.3677148007%
Core_0_LLC_demand_MPKI,43.6844,43.7555,48.1375,-0.162493857915%,-9.25079200208%
Core_0_L1D_prefetch_requested,224402307,209600084,0,7.06212646365%,
Core_0_L1D_prefetch_issued,86657121,90862614,0,-4.62840855536%,
Core_0_L1D_prefetch_useful,753249,744062,0,1.23470893555%,
Core_0_L1D_prefetch_useless,77988,75091,0,3.85798564409%,
Core_0_L1D_prefetch_late,540,670,0,-19.4029850746%,
Core_0_L1D_prefetch_accuracy,0.00869229,0.00818887,0,6.14761255216%,
Core_0_L1D_prefetch_coverage,0.130452,0.128847,0,1.24566346131%,
Core_0_vBerti_Requested,224402307,209600084,0,7.06212646365%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,14483391,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,209918916,209600084,0,0.152114442855%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0645421,0,0,,
Core_0_vBerti_Issued,86657121,90862614,0,-4.62840855536%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0292155,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.613831,0.566495,0,8.35594312395%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.825198,0,0,,
Core_0_DTLB_demand_mpki,48.523,49.3154,49.307,-1.60680030984%,-1.59003792565%
Core_0_DTLB_vberti_same_page_prefetch_mpki,6e-05,6e-05,0,0%,
Core_0_DTLB_vberti_cross_page_prefetch,1852451,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1798288,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,54163,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,32283,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0292386,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.54163,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1852451,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1852451,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,13500,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,8380,0,0,,
Core_0_DTLB_cross_page_prefetch_late,10,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00728764,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00277447,0,0,,
Core_0_STLB_demand_access,4394087,4407125,4406627,-0.295839124146%,-0.284571396671%
Core_0_STLB_demand_hit,108118,107986,107606,0.122238067898%,0.475809899076%
Core_0_STLB_demand_miss,4285969,4299139,4299021,-0.306340409091%,-0.303604006587%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.975395,0.975497,0.975581,-0.0104562084763%,-0.0190655619574%
Core_0_STLB_demand_mpki,42.8597,42.9914,42.9902,-0.306340337835%,-0.303557554978%
Core_0_STLB_vberti_prefetch_access,21883,5,0,437560%,
Core_0_STLB_vberti_prefetch_hit,6135,5,0,122600%,
Core_0_STLB_vberti_prefetch_miss,15748,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.719645,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.15748,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,21880,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,6132,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,15748,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.719744,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.15748,0,0,,
Core_0_STLB_cross_page_prefetch_issued,21880,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,21880,0,0,,
Core_0_STLB_cross_page_prefetch_useful,985,0,0,,
Core_0_STLB_cross_page_prefetch_useless,14763,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,285,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.019305,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,13649,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.866713,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0450183,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000229767,0,0,,
DRAM_read_traffic_MPKI,66.0098,65.9899,66.3005,0.0301561299532%,-0.438458231838%
cache_demand.count,4368436,4375548,4813753,-0.162539640749%,-9.25093165354%
cache_prefetch.count,770634,764446,360191,0.809475096998%,113.95148685%
stlb_demand.count,1460346,1458996,1456103,0.0925293832197%,0.291394221425%
stlb_prefetch.count,1561,0,0,,
stlb_miss_touch_dram.count,1383239,1382343,1380937,0.0648174874109%,0.1666984084%
stlb_miss_touch_dram.share,32.16,32.15,32.12,0.0311041990669%,0.124533001245%
