Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1494,0.1478,0.1385,1.08254397835%,7.87003610108%
Core_0_L1D_demand_MPKI,25.5088,25.7158,36.6355,-0.804952597236%,-30.3713611115%
Core_0_L2C_demand_MPKI,20.7245,21.0122,24.1727,-1.36920455735%,-14.2648524989%
Core_0_LLC_demand_MPKI,18.9664,19.2566,22.5038,-1.50701577641%,-15.7191229926%
Core_0_L1D_prefetch_requested,80152093,70454576,0,13.76421171%,
Core_0_L1D_prefetch_issued,32266260,30488292,0,5.83164186436%,
Core_0_L1D_prefetch_useful,766651,753954,0,1.6840549954%,
Core_0_L1D_prefetch_useless,92304,86697,0,6.46735181148%,
Core_0_L1D_prefetch_late,473,526,0,-10.0760456274%,
Core_0_L1D_prefetch_accuracy,0.0237601,0.0247293,0,-3.91923750369%,
Core_0_L1D_prefetch_coverage,0.231091,0.226717,0,1.92927746927%,
Core_0_vBerti_Requested,80152093,70454576,0,13.76421171%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,9697329,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,70454764,70454576,0,0.00026683859399%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.120987,0,0,,
Core_0_vBerti_Issued,32266260,30488292,0,5.83164186436%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0703831,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.597437,0.567263,0,5.31922582647%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.765812,0,0,,
Core_0_DTLB_demand_mpki,18.9934,19.4588,19.462,-2.39171994162%,-2.40776898572%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,1710773,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1649621,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,61152,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,19244,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0357452,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.61152,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1710773,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1710773,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,38940,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,2968,0,0,,
Core_0_DTLB_cross_page_prefetch_late,260,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0227616,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0200899,0,0,,
Core_0_STLB_demand_access,1898936,1937756,1937758,-2.00334820277%,-2.00344934713%
Core_0_STLB_demand_hit,118834,118646,118649,0.158454562311%,0.155922089525%
Core_0_STLB_demand_miss,1780102,1819110,1819109,-2.14434531172%,-2.14429151854%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.937421,0.938771,0.93877,-0.143805038716%,-0.143698669536%
Core_0_STLB_demand_mpki,17.801,18.1911,18.1911,-2.14445525559%,-2.14445525559%
Core_0_STLB_vberti_prefetch_access,41908,0,0,,
Core_0_STLB_vberti_prefetch_hit,401,0,0,,
Core_0_STLB_vberti_prefetch_miss,41507,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.990431,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.41507,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,41908,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,401,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,41507,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.990431,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.41507,0,0,,
Core_0_STLB_cross_page_prefetch_issued,41908,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,41908,0,0,,
Core_0_STLB_cross_page_prefetch_useful,313,0,0,,
Core_0_STLB_cross_page_prefetch_useless,41194,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,1189,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0288634,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,24105,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.580745,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.00746874,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000175802,0,0,,
DRAM_read_traffic_MPKI,43.8164,42.62,36.4918,2.8071328015%,20.0719065653%
cache_demand.count,1896639,1925661,2250379,-1.50711885425%,-15.7191299777%
cache_prefetch.count,2176535,2027234,1102698,7.3647640085%,97.3826922693%
stlb_demand.count,303381,309108,296100,-1.85275049497%,2.45896656535%
stlb_prefetch.count,5083,0,0,,
stlb_miss_touch_dram.count,308374,308963,295972,-0.190637713901%,4.19026124093%
stlb_miss_touch_dram.share,16.93,16.98,16.27,-0.294464075383%,4.0565457898%
