Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.5345,0.5192,0.4695,2.9468412943%,13.844515442%
Core_0_L1D_demand_MPKI,16.6277,17.8688,37.8652,-6.94562589542%,-56.0871195715%
Core_0_L2C_demand_MPKI,13.1063,13.7152,17.7228,-4.43959986001%,-26.0483670752%
Core_0_LLC_demand_MPKI,11.2996,11.9001,14.2471,-5.04617608255%,-20.6884208014%
Core_0_L1D_prefetch_requested,100688233,87765118,0,14.7246597447%,
Core_0_L1D_prefetch_issued,20344768,20160447,0,0.914270402834%,
Core_0_L1D_prefetch_useful,1447298,1388994,0,4.19757032788%,
Core_0_L1D_prefetch_useless,312290,288819,0,8.12654292135%,
Core_0_L1D_prefetch_late,10674,11533,0,-7.44819214428%,
Core_0_L1D_prefetch_accuracy,0.0711386,0.068897,0,3.25355240431%,
Core_0_L1D_prefetch_coverage,0.465358,0.437358,0,6.40207793158%,
Core_0_vBerti_Requested,100688233,87765118,0,14.7246597447%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,13135824,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,87552409,87765118,0,-0.242361663548%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.13046,0,0,,
Core_0_vBerti_Issued,20344768,20160447,0,0.914270402834%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0674784,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.797943,0.770291,0,3.5898121619%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.895489,0,0,,
Core_0_DTLB_demand_mpki,14.7766,15.7578,15.722,-6.2267575423%,-6.01322986897%
Core_0_DTLB_vberti_same_page_prefetch_mpki,8e-05,5e-05,0,60%,
Core_0_DTLB_vberti_cross_page_prefetch,1065597,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,970128,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,95469,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,64691,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.089592,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.95469,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1065597,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1065597,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,30006,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,772,0,0,,
Core_0_DTLB_cross_page_prefetch_late,698,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0281589,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0199022,0,0,,
Core_0_STLB_demand_access,1455095,1484222,1484276,-1.96244227616%,-1.96600901719%
Core_0_STLB_demand_hit,336949,337208,337244,-0.0768071931864%,-0.0874737578726%
Core_0_STLB_demand_miss,1118146,1147014,1147032,-2.51679578453%,-2.51832555674%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.768435,0.772805,0.772789,-0.565472531881%,-0.563413816708%
Core_0_STLB_demand_mpki,11.1815,11.4701,11.4703,-2.51610709584%,-2.51780685771%
Core_0_STLB_vberti_prefetch_access,30782,3,0,1025966.66667%,
Core_0_STLB_vberti_prefetch_hit,1536,3,0,51100%,
Core_0_STLB_vberti_prefetch_miss,29246,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.950101,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.29246,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,30778,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,1532,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,29246,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.950224,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.29246,0,0,,
Core_0_STLB_cross_page_prefetch_issued,30778,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,30778,0,0,,
Core_0_STLB_cross_page_prefetch_useful,795,0,0,,
Core_0_STLB_cross_page_prefetch_useless,28451,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,895,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0314576,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,21247,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.726493,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0258301,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000710493,0,0,,
DRAM_read_traffic_MPKI,30.9749,30.731,28.8322,0.793661123947%,7.43162158975%
cache_demand.count,1129909,1189885,1424706,-5.0404871059%,-20.6917778124%
cache_prefetch.count,1916350,1832304,1413591,4.58690261005%,35.5660866545%
stlb_demand.count,47615,50916,44922,-6.4832272763%,5.99483549263%
stlb_prefetch.count,3619,0,0,,
stlb_miss_touch_dram.count,51193,50867,44879,0.640887019089%,14.0689409301%
stlb_miss_touch_dram.share,4.46,4.43,3.91,0.677200902935%,14.0664961637%
