Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.9192,0.794,0.6894,15.7682619647%,33.3333333333%
Core_0_L1D_demand_MPKI,17.9618,18.9609,31.474,-5.26926464461%,-42.9313083815%
Core_0_L2C_demand_MPKI,10.3641,12.8992,19.7871,-19.6531567849%,-47.6219355034%
Core_0_LLC_demand_MPKI,6.88016,10.1397,15.2561,-32.146315966%,-54.902235827%
Core_0_L1D_prefetch_requested,84565949,71848653,0,17.7001174956%,
Core_0_L1D_prefetch_issued,19386610,19141305,0,1.28154794044%,
Core_0_L1D_prefetch_useful,1151043,1010165,0,13.9460385185%,
Core_0_L1D_prefetch_useless,392198,270750,0,44.8561403509%,
Core_0_L1D_prefetch_late,173993,86539,0,101.057326754%,
Core_0_L1D_prefetch_accuracy,0.0593731,0.0527741,0,12.5042397691%,
Core_0_L1D_prefetch_coverage,0.390552,0.347583,0,12.3622271515%,
Core_0_vBerti_Requested,84565949,71848653,0,17.7001174956%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,13692272,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,70873677,71848653,0,-1.35698577397%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.161912,0,0,,
Core_0_vBerti_Issued,19386610,19141305,0,1.28154794044%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.129473,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.770752,0.733589,0,5.06591565577%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.816682,0,0,,
Core_0_DTLB_demand_mpki,1.6719,6.09399,5.84346,-72.5647728336%,-71.3885266606%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,1936624,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1284029,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,652595,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,550597,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.336976,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,6.52595,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1936624,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1936624,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,101888,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,110,0,0,,
Core_0_DTLB_cross_page_prefetch_late,18797,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0526111,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.378656,0,0,,
Core_0_STLB_demand_access,45203,146866,146862,-69.2216033663%,-69.220765072%
Core_0_STLB_demand_hit,17703,17850,17844,-0.823529411765%,-0.790181573638%
Core_0_STLB_demand_miss,27500,129016,129018,-78.6848142866%,-78.6851447085%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.608367,0.878461,0.878498,-30.7462710354%,-30.7491878183%
Core_0_STLB_demand_mpki,0.275,1.29016,1.29018,-78.6848142866%,-78.6851447085%
Core_0_STLB_vberti_prefetch_access,101998,0,0,,
Core_0_STLB_vberti_prefetch_hit,431,0,0,,
Core_0_STLB_vberti_prefetch_miss,101567,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.995774,0,0,,
Core_0_STLB_vberti_prefetch_mpki,1.01567,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,101998,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,431,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,101567,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.995774,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,1.01567,0,0,,
Core_0_STLB_cross_page_prefetch_issued,101998,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,101998,0,0,,
Core_0_STLB_cross_page_prefetch_useful,464,0,0,,
Core_0_STLB_cross_page_prefetch_useless,101103,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,78,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.00077149,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,923,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.0090876,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.00454911,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0165928,0,0,,
DRAM_read_traffic_MPKI,43.1886,38.1252,31.9625,13.2809795096%,35.1227219398%
cache_demand.count,668658,1006588,1525609,-33.5718287919%,-56.1710765996%
cache_prefetch.count,3627391,2783366,1648090,30.3238955998%,120.096657343%
stlb_demand.count,10029,22569,22548,-55.5629403164%,-55.5215540181%
stlb_prefetch.count,12783,0,0,,
stlb_miss_touch_dram.count,22519,22309,22238,0.941324129275%,1.26360284198%
stlb_miss_touch_dram.share,17.45,17.29,17.24,0.925390399075%,1.2180974478%
