Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.928,0.8503,0.7055,9.1379513113%,31.5379163714%
Core_0_L1D_demand_MPKI,40.0614,50.8654,84.5877,-21.2403716475%,-52.6392135027%
Core_0_L2C_demand_MPKI,10.2155,14.5971,31.4887,-30.0169211693%,-67.558203419%
Core_0_LLC_demand_MPKI,9.44938,13.5772,30.4391,-30.4025866894%,-68.9564408935%
Core_0_L1D_prefetch_requested,39008357,40620705,0,-3.96927625948%,
Core_0_L1D_prefetch_issued,4850273,3915867,0,23.8620463872%,
Core_0_L1D_prefetch_useful,1556436,997686,0,56.004594632%,
Core_0_L1D_prefetch_useless,24972,35503,0,-29.6622820607%,
Core_0_L1D_prefetch_late,89215,78346,0,13.8730758431%,
Core_0_L1D_prefetch_accuracy,0.320897,0.25478,0,25.9506240678%,
Core_0_L1D_prefetch_coverage,0.279805,0.163979,0,70.6346544375%,
Core_0_vBerti_Requested,39008357,40620705,0,-3.96927625948%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,9628156,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,29380201,40620705,0,-27.6718584771%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.246823,0,0,,
Core_0_vBerti_Issued,4850273,3915867,0,23.8620463872%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.360169,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.875661,0.903599,0,-3.09185822472%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.818562,0,0,,
Core_0_DTLB_demand_mpki,14.5126,19.0313,19.0529,-23.7435172584%,-23.8299681413%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00151,0.00031,0,387.096774194%,
Core_0_DTLB_vberti_cross_page_prefetch,1520278,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1235662,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,284616,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,61271,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.187213,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,2.84616,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1520278,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1520278,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,150597,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,72748,0,0,,
Core_0_DTLB_cross_page_prefetch_late,562,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0990589,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.094014,0,0,,
Core_0_STLB_demand_access,747523,815863,814657,-8.37640633293%,-8.24076881436%
Core_0_STLB_demand_hit,612774,539949,538744,13.4873849197%,13.7412203199%
Core_0_STLB_demand_miss,134749,275914,275913,-51.1626811253%,-51.1625041227%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.180261,0.338187,0.338686,-46.6978328558%,-46.7763651288%
Core_0_STLB_demand_mpki,1.34749,2.75914,2.75913,-51.1626811253%,-51.1625041227%
Core_0_STLB_vberti_prefetch_access,223451,30,0,744736.666667%,
Core_0_STLB_vberti_prefetch_hit,82225,30,0,273983.333333%,
Core_0_STLB_vberti_prefetch_miss,141226,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.632022,0,0,,
Core_0_STLB_vberti_prefetch_mpki,1.41226,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,223345,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,82119,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,141226,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.632322,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,1.41226,0,0,,
Core_0_STLB_cross_page_prefetch_issued,223345,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,223345,0,0,,
Core_0_STLB_cross_page_prefetch_useful,77855,0,0,,
Core_0_STLB_cross_page_prefetch_useless,63371,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,5387,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0850073,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,19753,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.139868,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.348586,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.366197,0,0,,
DRAM_read_traffic_MPKI,33.1057,33.3606,32.0426,-0.764074986661%,3.31777071773%
cache_demand.count,940952,1352946,3043900,-30.4516218681%,-69.0872893328%
cache_prefetch.count,2335772,1949419,127390,19.8188793687%,1733.55993406%
stlb_demand.count,16780,33698,32967,-50.2047599264%,-49.1006157673%
stlb_prefetch.count,17071,0,0,,
stlb_miss_touch_dram.count,33503,33366,32611,0.410597614338%,2.73527337401%
stlb_miss_touch_dram.share,12.14,12.09,11.82,0.413564929694%,2.70727580372%
