Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.785,1.794,1.812,-0.501672240803%,-1.49006622517%
Core_0_L1D_demand_MPKI,18.3295,18.663,24.515,-1.78695815249%,-25.2314909239%
Core_0_L2C_demand_MPKI,17.3972,17.5481,18.2205,-0.859922156815%,-4.51853681293%
Core_0_LLC_demand_MPKI,9.23354,9.28032,9.4224,-0.504077445605%,-2.00437255901%
Core_0_L1D_prefetch_requested,33917365,29732007,0,14.0769440825%,
Core_0_L1D_prefetch_issued,9773837,9568462,0,2.14637420309%,
Core_0_L1D_prefetch_useful,232999,228035,0,2.17685881553%,
Core_0_L1D_prefetch_useless,9205,6980,0,31.8767908309%,
Core_0_L1D_prefetch_late,2814,4564,0,-38.3435582822%,
Core_0_L1D_prefetch_accuracy,0.0238391,0.0238319,0,0.0302116071316%,
Core_0_L1D_prefetch_coverage,0.11278,0.108882,0,3.58002240958%,
Core_0_vBerti_Requested,33917365,29732007,0,14.0769440825%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,3932533,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,29984832,29732007,0,0.850346227888%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.115945,0,0,,
Core_0_vBerti_Issued,9773837,9568462,0,2.14637420309%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0404134,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.711834,0.678176,0,4.96301844949%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.899557,0,0,,
Core_0_DTLB_demand_mpki,7.37116,7.78785,7.97122,-5.35051394159%,-7.52783137337%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,310947,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,240469,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,70478,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,12444,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.226656,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.70478,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,310947,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,310947,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,46586,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,11448,0,0,,
Core_0_DTLB_cross_page_prefetch_late,14284,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.14982,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0594435,0,0,,
Core_0_STLB_demand_access,521581,567450,567536,-8.08335536171%,-8.09728369654%
Core_0_STLB_demand_hit,23572,22470,22555,4.90431686693%,4.50897805365%
Core_0_STLB_demand_miss,498009,544980,544981,-8.61884839811%,-8.61901607579%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.954807,0.960402,0.960258,-0.58256854942%,-0.567659941391%
Core_0_STLB_demand_mpki,4.98009,5.4498,5.44981,-8.61884839811%,-8.61901607579%
Core_0_STLB_vberti_prefetch_access,58034,0,0,,
Core_0_STLB_vberti_prefetch_hit,1159,0,0,,
Core_0_STLB_vberti_prefetch_miss,56875,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.980029,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.56875,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,58034,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,1159,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,56875,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.980029,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.56875,0,0,,
Core_0_STLB_cross_page_prefetch_issued,58034,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,58034,0,0,,
Core_0_STLB_cross_page_prefetch_useful,937,0,0,,
Core_0_STLB_cross_page_prefetch_useless,55938,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,26558,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.474776,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,48962,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.86087,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0161457,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00187796,0,0,,
DRAM_read_traffic_MPKI,12.4854,11.9212,10.2911,4.73274502567%,21.322307625%
cache_demand.count,922278,927340,941895,-0.545862359005%,-2.08271622633%
cache_prefetch.count,296610,234750,57224,26.3514376997%,418.331469314%
stlb_demand.count,28139,30030,29992,-6.29703629704%,-6.17831421712%
stlb_prefetch.count,1511,0,0,,
stlb_miss_touch_dram.count,29695,30110,30048,-1.37827964132%,-1.17478700745%
stlb_miss_touch_dram.share,5.35,5.52,5.51,-3.07971014493%,-2.90381125227%
