Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.5594,0.5517,0.5262,1.39568606127%,6.30938806537%
Core_0_L1D_demand_MPKI,23.1078,23.6286,32.1119,-2.20410858028%,-28.0397609609%
Core_0_L2C_demand_MPKI,14.6453,15.7232,26.9937,-6.85547471253%,-45.7454887622%
Core_0_LLC_demand_MPKI,9.61245,10.7354,20.7973,-10.4602529948%,-53.7802984041%
Core_0_L1D_prefetch_requested,193858019,184121510,0,5.28808882786%,
Core_0_L1D_prefetch_issued,28115996,27554928,0,2.03618024333%,
Core_0_L1D_prefetch_useful,1313550,1210626,0,8.50171729337%,
Core_0_L1D_prefetch_useless,130145,126548,0,2.84239972184%,
Core_0_L1D_prefetch_late,114321,128450,0,-10.9996107435%,
Core_0_L1D_prefetch_accuracy,0.046719,0.043935,0,6.33663366337%,
Core_0_L1D_prefetch_coverage,0.362425,0.338781,0,6.97913991635%,
Core_0_vBerti_Requested,193858019,184121510,0,5.28808882786%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,25612307,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,168245712,184121510,0,-8.62245698506%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.132119,0,0,,
Core_0_vBerti_Issued,28115996,27554928,0,2.03618024333%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0697983,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.854966,0.850344,0,0.543544730133%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.923379,0,0,,
Core_0_DTLB_demand_mpki,6.30872,9.0796,9.23442,-30.5176439491%,-31.6825528837%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00268,0.00237,0,13.0801687764%,
Core_0_DTLB_vberti_cross_page_prefetch,1466868,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1337278,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,129590,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,84716,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0883447,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.2959,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1466868,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1466868,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,42359,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,2515,0,0,,
Core_0_DTLB_cross_page_prefetch_late,6043,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0288772,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.062919,0,0,,
Core_0_STLB_demand_access,492161,531584,532153,-7.41613743077%,-7.51513192634%
Core_0_STLB_demand_hit,418964,416395,416955,0.616962259393%,0.481826576009%
Core_0_STLB_demand_miss,73197,115189,115198,-36.4548698226%,-36.4598343721%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.148726,0.21669,0.216475,-31.3646222714%,-31.296454556%
Core_0_STLB_demand_mpki,0.73197,1.15189,1.15198,-36.4548698226%,-36.4598343721%
Core_0_STLB_vberti_prefetch_access,45052,160,0,28057.5%,
Core_0_STLB_vberti_prefetch_hit,2105,160,0,1215.625%,
Core_0_STLB_vberti_prefetch_miss,42947,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.953276,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.42947,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,44874,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,1927,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,42947,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.957058,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.42947,0,0,,
Core_0_STLB_cross_page_prefetch_issued,44874,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,44874,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2668,0,0,,
Core_0_STLB_cross_page_prefetch_useless,40279,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,397,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.00985625,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,6732,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.156751,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0594554,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0351677,0,0,,
DRAM_read_traffic_MPKI,35.5649,35.2729,32.6728,0.827830997735%,8.85170539409%
cache_demand.count,911430,1014910,1987821,-10.1959779685%,-54.1492921143%
cache_prefetch.count,2634102,2501252,1268526,5.31134008089%,107.650611812%
stlb_demand.count,5486,11128,10930,-50.7009345794%,-49.8078682525%
stlb_prefetch.count,5475,0,0,,
stlb_miss_touch_dram.count,10846,11000,10799,-1.4%,0.435225483841%
stlb_miss_touch_dram.share,9.34,9.55,9.37,-2.19895287958%,-0.320170757737%
