Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.4017,0.3928,0.3586,2.26578411405%,12.0189626325%
Core_0_L1D_demand_MPKI,26.7782,28.0475,59.4118,-4.52553703539%,-54.9278089538%
Core_0_L2C_demand_MPKI,18.7941,19.1212,23.1486,-1.71066669456%,-18.8110728079%
Core_0_LLC_demand_MPKI,15.4861,15.7931,18.9728,-1.94388688731%,-18.3773612751%
Core_0_L1D_prefetch_requested,73958083,65571301,0,12.7903242304%,
Core_0_L1D_prefetch_issued,23626329,22855265,0,3.37368216908%,
Core_0_L1D_prefetch_useful,1072852,1043248,0,2.83767618054%,
Core_0_L1D_prefetch_useless,272989,260727,0,4.70300352476%,
Core_0_L1D_prefetch_late,14578,12591,0,15.7811134938%,
Core_0_L1D_prefetch_accuracy,0.0454092,0.0456459,0,-0.518556978831%,
Core_0_L1D_prefetch_coverage,0.286043,0.271115,0,5.50615052653%,
Core_0_vBerti_Requested,73958083,65571301,0,12.7903242304%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,8621314,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,65336769,65571301,0,-0.357674769942%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.11657,0,0,,
Core_0_vBerti_Issued,23626329,22855265,0,3.37368216908%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0829117,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.680544,0.651444,0,4.4669994658%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.772784,0,0,,
Core_0_DTLB_demand_mpki,17.6457,18.8792,19.4847,-6.53364549345%,-9.43817456774%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00261,0.00211,0,23.6966824645%,
Core_0_DTLB_vberti_cross_page_prefetch,1521631,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1438762,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,82869,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,55141,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0544606,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.82869,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1521631,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1521631,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,25267,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,2461,0,0,,
Core_0_DTLB_cross_page_prefetch_late,530,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0166052,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0141169,0,0,,
Core_0_STLB_demand_access,1587483,1610438,1611032,-1.42538862098%,-1.46173384514%
Core_0_STLB_demand_hit,995774,994314,994937,0.14683490326%,0.0841259295815%
Core_0_STLB_demand_miss,591709,616124,616095,-3.96267634437%,-3.95815580389%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.372734,0.382582,0.382423,-2.5740886921%,-2.53358192368%
Core_0_STLB_demand_mpki,5.91709,6.16124,6.16095,-3.96267634437%,-3.95815580389%
Core_0_STLB_vberti_prefetch_access,27869,110,0,25235.4545455%,
Core_0_STLB_vberti_prefetch_hit,2839,108,0,2528.7037037%,
Core_0_STLB_vberti_prefetch_miss,25030,2,0,1251400%,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.898131,0.0181818,0,4839.72543973%,
Core_0_STLB_vberti_prefetch_mpki,0.2503,2e-05,0,1251400%,
Core_0_STLB_vberti_same_page_prefetch_mpki,6e-05,2e-05,0,200%,
Core_0_STLB_vberti_cross_page_prefetch,27728,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2704,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,25024,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.902481,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.25024,0,0,,
Core_0_STLB_cross_page_prefetch_issued,27728,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,27728,0,0,,
Core_0_STLB_cross_page_prefetch_useful,589,0,0,,
Core_0_STLB_cross_page_prefetch_useless,24435,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,341,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0139554,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,23941,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.956722,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0212421,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000994432,0,0,,
DRAM_read_traffic_MPKI,31.8448,31.6463,29.1085,0.627245523173%,9.40034697769%
cache_demand.count,1548523,1579262,1897277,-1.94641547761%,-18.3818177314%
cache_prefetch.count,1629746,1579099,1007917,3.20733532223%,61.6944649212%
stlb_demand.count,3003,6269,5651,-52.0976232254%,-46.8589630154%
stlb_prefetch.count,3210,1,0,320900%,
stlb_miss_touch_dram.count,6169,6224,5606,-0.883676092545%,10.0428112736%
stlb_miss_touch_dram.share,1,1.01,0.91,-0.990099009901%,9.89010989011%
