Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.4676,0.4643,0.467,0.71074736162%,0.128479657388%
Core_0_L1D_demand_MPKI,75.628,76.4254,91.0618,-1.0433703978%,-16.9487095577%
Core_0_L2C_demand_MPKI,53.6106,53.6991,54.0602,-0.164807231406%,-0.83166543964%
Core_0_LLC_demand_MPKI,23.9553,24.074,23.5442,-0.493063055579%,1.74607759023%
Core_0_L1D_prefetch_requested,75028212,65752142,0,14.1076316571%,
Core_0_L1D_prefetch_issued,15299768,15081276,0,1.44876335398%,
Core_0_L1D_prefetch_useful,829541,812991,0,2.03569289205%,
Core_0_L1D_prefetch_useless,736,708,0,3.95480225989%,
Core_0_L1D_prefetch_late,1316,2854,0,-53.889278206%,
Core_0_L1D_prefetch_accuracy,0.0542192,0.0539073,0,0.578585831604%,
Core_0_L1D_prefetch_coverage,0.098845,0.096149,0,2.80398132066%,
Core_0_vBerti_Requested,75028212,65752142,0,14.1076316571%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,9357180,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,65671032,65752142,0,-0.123357198006%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.124715,0,0,,
Core_0_vBerti_Issued,15299768,15081276,0,1.44876335398%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0491637,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.79608,0.770634,0,3.30195657082%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.919613,0,0,,
Core_0_DTLB_demand_mpki,76.8035,77.2003,78.6788,-0.513987639944%,-2.38348830943%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.02552,0.02386,0,6.95725062867%,
Core_0_DTLB_vberti_cross_page_prefetch,659310,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,579452,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,79858,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,35174,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.121124,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.79858,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,659310,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,659310,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,13628,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,31056,0,0,,
Core_0_DTLB_cross_page_prefetch_late,97,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0206701,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00177126,0,0,,
Core_0_STLB_demand_access,7231462,7230918,7249835,0.00752324946846%,-0.253426457292%
Core_0_STLB_demand_hit,7120687,7108896,7127789,0.165862603701%,-0.0996381907489%
Core_0_STLB_demand_miss,110775,122022,122046,-9.21719034273%,-9.23504252495%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0153185,0.016875,0.0168343,-9.2237037037%,-9.00423540034%
Core_0_STLB_demand_mpki,1.10775,1.22022,1.22046,-9.21719034273%,-9.23504252495%
Core_0_STLB_vberti_prefetch_access,46188,1405,0,3187.40213523%,
Core_0_STLB_vberti_prefetch_hit,30277,1405,0,2054.94661922%,
Core_0_STLB_vberti_prefetch_miss,15911,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.344483,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.15911,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,44684,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,28773,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,15911,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.356078,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.15911,0,0,,
Core_0_STLB_cross_page_prefetch_issued,44684,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,44684,0,0,,
Core_0_STLB_cross_page_prefetch_useful,6186,0,0,,
Core_0_STLB_cross_page_prefetch_useless,9725,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,738,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0758869,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,9364,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.588524,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.138439,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0528894,0,0,,
DRAM_read_traffic_MPKI,32.767,32.5045,31.7119,0.807580488855%,3.32714217691%
cache_demand.count,2395193,2407096,2354089,-0.494496272687%,1.74606822427%
cache_prefetch.count,872805,835631,809156,4.44861428071%,7.86609751395%
stlb_demand.count,6067,7720,7944,-21.4119170984%,-23.6278952669%
stlb_prefetch.count,2635,0,0,,
stlb_miss_touch_dram.count,8679,7697,7922,12.7582174873%,9.55566776067%
stlb_miss_touch_dram.share,6.85,6.31,6.49,8.55784469097%,5.5469953775%
