Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.4534,0.4503,0.4504,0.688429935599%,0.666074600355%
Core_0_L1D_demand_MPKI,67.9077,68.526,80.6898,-0.902285263987%,-15.8410356699%
Core_0_L2C_demand_MPKI,51.0967,51.1658,51.5928,-0.135051147446%,-0.961568280845%
Core_0_LLC_demand_MPKI,25.5304,25.7726,25.8008,-0.939757727199%,-1.04802951846%
Core_0_L1D_prefetch_requested,82522859,73024093,0,13.0077151386%,
Core_0_L1D_prefetch_issued,14937306,14827383,0,0.741351322752%,
Core_0_L1D_prefetch_useful,807921,792310,0,1.97031464957%,
Core_0_L1D_prefetch_useless,30969,24105,0,28.4754200373%,
Core_0_L1D_prefetch_late,6659,7364,0,-9.57360130364%,
Core_0_L1D_prefetch_accuracy,0.0540875,0.0534356,0,1.21997320139%,
Core_0_L1D_prefetch_coverage,0.106324,0.103639,0,2.59072356931%,
Core_0_vBerti_Requested,82522859,73024093,0,13.0077151386%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,10134908,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,72387951,73024093,0,-0.871139885298%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.122813,0,0,,
Core_0_vBerti_Issued,14937306,14827383,0,0.741351322752%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0545922,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.818992,0.796952,0,2.76553669481%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.919539,0,0,,
Core_0_DTLB_demand_mpki,70.7381,70.9317,71.8037,-0.272938615598%,-1.48404608676%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.02667,0.02613,0,2.06659012629%,
Core_0_DTLB_vberti_cross_page_prefetch,698209,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,601958,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,96251,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,26443,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.137854,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.96251,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,698209,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,698209,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,13774,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,56034,0,0,,
Core_0_DTLB_cross_page_prefetch_late,180,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0197276,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0019434,0,0,,
Core_0_STLB_demand_access,6748937,6739177,6742226,0.144824805759%,0.0995368591916%
Core_0_STLB_demand_hit,6441817,6423215,6426176,0.289605750391%,0.243395138882%
Core_0_STLB_demand_miss,307120,315962,316050,-2.79843778682%,-2.82550229394%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0455064,0.0468844,0.0468762,-2.939143937%,-2.92216519257%
Core_0_STLB_demand_mpki,3.0712,3.15962,3.1605,-2.79843778682%,-2.82550229394%
Core_0_STLB_vberti_prefetch_access,71815,1897,0,3685.71428571%,
Core_0_STLB_vberti_prefetch_hit,53556,1888,0,2736.65254237%,
Core_0_STLB_vberti_prefetch_miss,18259,9,0,202777.777778%,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.254251,0.00474433,0,5259.04964452%,
Core_0_STLB_vberti_prefetch_mpki,0.18259,9e-05,0,202777.777778%,
Core_0_STLB_vberti_same_page_prefetch_mpki,8e-05,9e-05,0,-11.1111111111%,
Core_0_STLB_vberti_cross_page_prefetch,69808,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,51557,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,18251,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.261446,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.18251,0,0,,
Core_0_STLB_cross_page_prefetch_issued,69808,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,69808,0,0,,
Core_0_STLB_cross_page_prefetch_useful,7611,0,0,,
Core_0_STLB_cross_page_prefetch_useless,10640,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,1882,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.17688,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,15976,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.875349,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.109028,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0241826,0,0,,
DRAM_read_traffic_MPKI,34.2364,33.9877,33.6297,0.731735304242%,1.80406010164%
cache_demand.count,2552595,2576863,2579628,-0.941765239363%,-1.04794179626%
cache_prefetch.count,862103,814762,775949,5.81040843829%,11.1030492983%
stlb_demand.count,5959,7141,7393,-16.5523035989%,-19.3967266333%
stlb_prefetch.count,2984,1,0,298300%,
stlb_miss_touch_dram.count,8930,7124,7375,25.3509264458%,21.0847457627%
stlb_miss_touch_dram.share,2.74,2.25,2.33,21.7777777778%,17.5965665236%
