Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.5901,0.5874,0.584,0.459652706844%,1.04452054795%
Core_0_L1D_demand_MPKI,79.8373,80.1688,87.7723,-0.413502509705%,-9.0404375868%
Core_0_L2C_demand_MPKI,62.7858,62.8032,62.9963,-0.0277055946194%,-0.33414660861%
Core_0_LLC_demand_MPKI,47.3099,47.5062,47.2578,-0.413209223217%,0.110246350867%
Core_0_L1D_prefetch_requested,53881528,45265402,0,19.0346834874%,
Core_0_L1D_prefetch_issued,12467737,11839547,0,5.30586178677%,
Core_0_L1D_prefetch_useful,534710,525904,0,1.67445008975%,
Core_0_L1D_prefetch_useless,2551,2155,0,18.3758700696%,
Core_0_L1D_prefetch_late,447,862,0,-48.1438515081%,
Core_0_L1D_prefetch_accuracy,0.0428875,0.0444193,0,-3.44850098943%,
Core_0_L1D_prefetch_coverage,0.0627709,0.0615612,0,1.96503641904%,
Core_0_vBerti_Requested,53881528,45265402,0,19.0346834874%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,8460640,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,45420888,45265402,0,0.343498551057%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.157023,0,0,,
Core_0_vBerti_Issued,12467737,11839547,0,5.30586178677%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0797364,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.768608,0.738442,0,4.08508725127%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.882499,0,0,,
Core_0_DTLB_demand_mpki,84.2996,84.2817,85.108,0.0212382996546%,-0.949851952813%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.0292,0.0274,0,6.56934306569%,
Core_0_DTLB_vberti_cross_page_prefetch,872717,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,613419,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,259298,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,63175,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.297116,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,2.59298,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,872717,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,872717,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,15490,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,180633,0,0,,
Core_0_DTLB_cross_page_prefetch_late,177,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0177492,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00183412,0,0,,
Core_0_STLB_demand_access,7929511,7910131,7925146,0.245002263553%,0.0550778496699%
Core_0_STLB_demand_hit,4941353,4913361,4928252,0.569711853047%,0.26583462047%
Core_0_STLB_demand_miss,2988158,2996770,2996894,-0.287376074907%,-0.291501801532%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.37684,0.378852,0.37815,-0.531078099099%,-0.346423376967%
Core_0_STLB_demand_mpki,29.8816,29.9677,29.9689,-0.287309336386%,-0.291301983056%
Core_0_STLB_vberti_prefetch_access,197672,1484,0,13220.2156334%,
Core_0_STLB_vberti_prefetch_hit,112076,1458,0,7586.96844993%,
Core_0_STLB_vberti_prefetch_miss,85596,26,0,329115.384615%,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.43302,0.0175202,0,2371.54712846%,
Core_0_STLB_vberti_prefetch_mpki,0.85596,0.00026,0,329115.384615%,
Core_0_STLB_vberti_same_page_prefetch_mpki,0.00031,0.00026,0,19.2307692308%,
Core_0_STLB_vberti_cross_page_prefetch,196123,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,110558,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,85565,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.436282,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.85565,0,0,,
Core_0_STLB_cross_page_prefetch_issued,196123,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,196123,0,0,,
Core_0_STLB_cross_page_prefetch_useful,22856,0,0,,
Core_0_STLB_cross_page_prefetch_useless,62709,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,41105,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.655488,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,81335,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.950564,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.116539,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0075908,0,0,,
DRAM_read_traffic_MPKI,55.2204,53.9271,53.1148,2.39823762079%,3.96424348769%
cache_demand.count,4729117,4748855,4724052,-0.415637032506%,0.107217278726%
cache_prefetch.count,769880,622200,566775,23.7351333976%,35.8352079749%
stlb_demand.count,19560,21649,20655,-9.6494064391%,-5.30137981118%
stlb_prefetch.count,3488,5,0,69660%,
stlb_miss_touch_dram.count,23095,21690,20693,6.47763946519%,11.6077900739%
stlb_miss_touch_dram.share,0.75,0.72,0.69,4.16666666667%,8.69565217391%
