Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.2737,0.2724,0.2712,0.477239353891%,0.921828908555%
Core_0_L1D_demand_MPKI,53.9602,54.7912,70.2202,-1.51666691001%,-23.1557301175%
Core_0_L2C_demand_MPKI,30.9301,31.2251,31.7733,-0.944752779014%,-2.65380051805%
Core_0_LLC_demand_MPKI,9.8459,9.99309,10.4568,-1.47291778619%,-5.842131436%
Core_0_L1D_prefetch_requested,125317693,110823487,0,13.0786409924%,
Core_0_L1D_prefetch_issued,42700219,41495812,0,2.9024784477%,
Core_0_L1D_prefetch_useful,1100060,1080296,0,1.82949858187%,
Core_0_L1D_prefetch_useless,47128,37232,0,26.5792866352%,
Core_0_L1D_prefetch_late,8957,6873,0,30.3215480867%,
Core_0_L1D_prefetch_accuracy,0.0257624,0.0260339,0,-1.04287102585%,
Core_0_L1D_prefetch_coverage,0.169342,0.164694,0,2.82220360183%,
Core_0_vBerti_Requested,125317693,110823487,0,13.0786409924%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,13899272,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,111418421,110823487,0,0.536830247906%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.110912,0,0,,
Core_0_vBerti_Issued,42700219,41495812,0,2.9024784477%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0626279,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.659264,0.625568,0,5.38646478081%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.8076,0,0,,
Core_0_DTLB_demand_mpki,50.9356,51.1681,51.5482,-0.454384665446%,-1.18840231085%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00724,0.00731,0,-0.957592339261%,
Core_0_DTLB_vberti_cross_page_prefetch,2027966,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1946828,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,81138,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,44138,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0400095,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.81138,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,2027966,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,2027966,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,17200,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,19800,0,0,,
Core_0_DTLB_cross_page_prefetch_late,207,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0084814,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00336545,0,0,,
Core_0_STLB_demand_access,4709903,4697478,4703941,0.264503633652%,0.126744786978%
Core_0_STLB_demand_hit,4583222,4553572,4560009,0.651137173191%,0.509056012828%
Core_0_STLB_demand_miss,126681,143906,143932,-11.9696190569%,-11.9855209404%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0268967,0.0306347,0.0305982,-12.2018495366%,-12.0971168239%
Core_0_STLB_demand_mpki,1.26681,1.43906,1.43932,-11.9696190569%,-11.9855209404%
Core_0_STLB_vberti_prefetch_access,37283,274,0,13506.9343066%,
Core_0_STLB_vberti_prefetch_hit,19714,274,0,7094.89051095%,
Core_0_STLB_vberti_prefetch_miss,17569,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.471234,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.17569,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,37000,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,19431,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,17569,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.474838,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.17569,0,0,,
Core_0_STLB_cross_page_prefetch_issued,37000,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,37000,0,0,,
Core_0_STLB_cross_page_prefetch_useful,8173,0,0,,
Core_0_STLB_cross_page_prefetch_useless,9396,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,52,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.00553427,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,10953,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.623428,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.220892,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0606063,0,0,,
DRAM_read_traffic_MPKI,21.212,21.1569,21.0842,0.26043512991%,0.606141091433%
cache_demand.count,984534,999234,1045616,-1.47112688319%,-5.84172392159%
cache_prefetch.count,1131971,1111304,1057637,1.85970715484%,7.02830933487%
stlb_demand.count,2314,5154,5165,-55.1028327513%,-55.1984511133%
stlb_prefetch.count,2380,0,0,,
stlb_miss_touch_dram.count,4658,5119,5130,-9.00566516898%,-9.2007797271%
stlb_miss_touch_dram.share,3.23,3.56,3.56,-9.26966292135%,-9.26966292135%
