Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.377,0.3769,0.378,0.0265322366675%,-0.26455026455%
Core_0_L1D_demand_MPKI,19.9929,19.9927,20.0575,0.00100036513327%,-0.322074037143%
Core_0_L2C_demand_MPKI,14.466,14.4746,14.7718,-0.0594144225056%,-2.07016071163%
Core_0_LLC_demand_MPKI,10.6515,10.6532,10.9286,-0.0159576465287%,-2.53554892667%
Core_0_L1D_prefetch_requested,490386,464134,0,5.65612517075%,
Core_0_L1D_prefetch_issued,490386,464134,0,5.65612517075%,
Core_0_L1D_prefetch_useful,30503,30451,0,0.170766148895%,
Core_0_L1D_prefetch_useless,17590,17181,0,2.38053663931%,
Core_0_L1D_prefetch_late,8,5,0,60%,
Core_0_L1D_prefetch_accuracy,0.062202,0.0656082,0,-5.19172908265%,
Core_0_L1D_prefetch_coverage,0.0150277,0.0150025,0,0.167972004666%,
Core_0_vBerti_Requested,490386,464134,0,5.65612517075%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,5730,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,484656,464134,0,4.42156790927%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0116847,0,0,,
Core_0_vBerti_Issued,490386,464134,0,5.65612517075%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0116847,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0,0,0,,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0,0,0,,
Core_0_DTLB_demand_mpki,15.4916,15.495,15.5,-0.0219425621168%,-0.0541935483871%
Core_0_DTLB_vberti_same_page_prefetch_mpki,2e-05,2e-05,0,0%,
Core_0_DTLB_vberti_cross_page_prefetch,5491,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,3325,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,2166,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,241,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.394464,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.02166,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,5491,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,5491,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,343,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,1582,0,0,,
Core_0_DTLB_cross_page_prefetch_late,0,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0624659,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.000221361,0,0,,
Core_0_STLB_demand_access,1324306,1323990,1323963,0.0238672497526%,0.0259070683999%
Core_0_STLB_demand_hit,804870,804096,804064,0.0962571633238%,0.100240776854%
Core_0_STLB_demand_miss,519436,519894,519899,-0.0880948808796%,-0.089055758907%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.392233,0.392672,0.392684,-0.111798141961%,-0.1148506178%
Core_0_STLB_demand_mpki,5.19436,5.19894,5.19899,-0.0880948808796%,-0.089055758907%
Core_0_STLB_vberti_prefetch_access,1927,2,0,96250%,
Core_0_STLB_vberti_prefetch_hit,919,2,0,45850%,
Core_0_STLB_vberti_prefetch_miss,1008,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.523093,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.01008,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,1925,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,917,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,1008,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.523636,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.01008,0,0,,
Core_0_STLB_cross_page_prefetch_issued,1925,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,1925,0,0,,
Core_0_STLB_cross_page_prefetch_useful,557,0,0,,
Core_0_STLB_cross_page_prefetch_useless,451,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,383,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.849224,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,927,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.919643,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.289351,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00107117,0,0,,
DRAM_read_traffic_MPKI,11.3911,11.3823,11.1751,0.0773130210941%,1.93286860968%
cache_demand.count,1065148,1065323,1092860,-0.0164269428145%,-2.53573193273%
cache_prefetch.count,48236,46751,262,3.17640264379%,18310.6870229%
stlb_demand.count,25649,26153,24390,-1.92712117157%,5.16195161952%
stlb_prefetch.count,77,0,0,,
stlb_miss_touch_dram.count,25730,26146,24383,-1.59106555496%,5.5243407292%
stlb_miss_touch_dram.share,4.94,5.03,4.69,-1.78926441352%,5.33049040512%
