Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.05081,0.05054,0.05002,0.534230312624%,1.5793682527%
Core_0_L1D_demand_MPKI,106.103,105.11,124.45,0.944724574256%,-14.7424668542%
Core_0_L2C_demand_MPKI,80.539,81.2556,84.9361,-0.881908446926%,-5.17695067233%
Core_0_LLC_demand_MPKI,74.8926,75.6194,76.3565,-0.961129022447%,-1.91719107083%
Core_0_L1D_prefetch_requested,99233542,102793585,0,-3.46329296716%,
Core_0_L1D_prefetch_issued,76930334,78791694,0,-2.36238098904%,
Core_0_L1D_prefetch_useful,2144477,2075932,0,3.30189042801%,
Core_0_L1D_prefetch_useless,635434,619899,0,2.50605340547%,
Core_0_L1D_prefetch_late,149710,106758,0,40.2330504506%,
Core_0_L1D_prefetch_accuracy,0.0278756,0.0263471,0,5.80139749726%,
Core_0_L1D_prefetch_coverage,0.168131,0.164928,0,1.94205956539%,
Core_0_vBerti_Requested,99233542,102793585,0,-3.46329296716%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,6446269,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,92787273,102793585,0,-9.73437398842%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0649606,0,0,,
Core_0_vBerti_Issued,76930334,78791694,0,-2.36238098904%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0570568,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.224755,0.233496,0,-3.7435330798%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.31908,0,0,,
Core_0_DTLB_demand_mpki,83.4563,85.2351,85.214,-2.08693366935%,-2.06268922947%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,3255715,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,3006729,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,248986,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,165917,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0764766,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,2.48986,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,3255715,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,3255715,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,45422,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,37647,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1969,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0139515,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00541315,0,0,,
Core_0_STLB_demand_access,8324924,8367838,8368108,-0.512844536426%,-0.516054525109%
Core_0_STLB_demand_hit,1172563,1173981,1174258,-0.120785600448%,-0.144346472411%
Core_0_STLB_demand_miss,7152361,7193857,7193850,-0.576825477626%,-0.576728733571%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.85915,0.859703,0.859675,-0.0643245399865%,-0.0610695902521%
Core_0_STLB_demand_mpki,71.5236,71.9386,71.9385,-0.57688084005%,-0.576742634333%
Core_0_STLB_vberti_prefetch_access,83069,0,0,,
Core_0_STLB_vberti_prefetch_hit,7162,0,0,,
Core_0_STLB_vberti_prefetch_miss,75907,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.913783,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.75907,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,83069,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,7162,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,75907,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.913783,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.75907,0,0,,
Core_0_STLB_cross_page_prefetch_issued,83069,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,83069,0,0,,
Core_0_STLB_cross_page_prefetch_useful,4154,0,0,,
Core_0_STLB_cross_page_prefetch_useless,71753,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,31859,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.444009,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,58951,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.776621,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0500066,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00058045,0,0,,
DRAM_read_traffic_MPKI,110.062,109.148,101.177,0.837395096566%,8.78164009607%
cache_demand.count,7489238,7561934,7635654,-0.961341371136%,-1.91753057433%
cache_prefetch.count,3438349,3273836,2410784,5.02508372441%,42.6236859047%
stlb_demand.count,75329,79073,71248,-4.7348652511%,5.72788008084%
stlb_prefetch.count,3235,0,0,,
stlb_miss_touch_dram.count,78517,79023,71196,-0.640319906863%,10.2828810607%
stlb_miss_touch_dram.share,1.09,1.1,0.99,-0.909090909091%,10.101010101%
