Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,1.01,0.9963,0.9925,1.37508782495%,1.76322418136%
Core_0_L1D_demand_MPKI,59.6005,60.3219,60.7288,-1.19591723735%,-1.85793231547%
Core_0_L2C_demand_MPKI,13.5456,13.5224,13.5403,0.171567177424%,0.0391424119111%
Core_0_LLC_demand_MPKI,0.94341,0.90676,0.95415,4.0418633376%,-1.12560918095%
Core_0_L1D_prefetch_requested,5038058,1316760,0,282.61019472%,
Core_0_L1D_prefetch_issued,3757847,743680,0,405.304297547%,
Core_0_L1D_prefetch_useful,69034,30659,0,125.167161356%,
Core_0_L1D_prefetch_useless,209682,164333,0,27.5957963404%,
Core_0_L1D_prefetch_late,12758,462,0,2661.47186147%,
Core_0_L1D_prefetch_accuracy,0.0183706,0.0412261,0,-55.4393939761%,
Core_0_L1D_prefetch_coverage,0.0114502,0.00505686,0,126.429048856%,
Core_0_vBerti_Requested,5038058,1316760,0,282.61019472%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,3684992,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,1353066,1316760,0,2.75722227285%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.731431,0,0,,
Core_0_vBerti_Issued,3757847,743680,0,405.304297547%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.812241,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.254108,0.43522,0,-41.6138964202%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.171701,0,0,,
Core_0_DTLB_demand_mpki,59.125,63.5595,63.518,-6.97692713127%,-6.91614975283%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,2617702,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1525408,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,1092294,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,338027,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.417272,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,10.9229,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,2617702,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,2617702,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,294602,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,459665,0,0,,
Core_0_DTLB_cross_page_prefetch_late,13054,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.112542,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0474621,0,0,,
Core_0_STLB_demand_access,4355660,4581496,4578741,-4.92930693381%,-4.87210348871%
Core_0_STLB_demand_hit,4191987,4417807,4415073,-5.11158590676%,-5.0528269861%
Core_0_STLB_demand_miss,163673,163689,163668,-0.00977463360397%,0.003054964929%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0375771,0.0357283,0.0357452,5.17460948324%,5.1248839005%
Core_0_STLB_demand_mpki,1.63673,1.63689,1.63668,-0.00977463360396%,0.00305496492901%
Core_0_STLB_vberti_prefetch_access,754267,0,0,,
Core_0_STLB_vberti_prefetch_hit,753891,0,0,,
Core_0_STLB_vberti_prefetch_miss,376,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.000498497,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.00376,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,754267,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,753891,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,376,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.000498497,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.00376,0,0,,
Core_0_STLB_cross_page_prefetch_issued,754267,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,754267,0,0,,
Core_0_STLB_cross_page_prefetch_useful,35,0,0,,
Core_0_STLB_cross_page_prefetch_useless,341,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,40,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.117302,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,371,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.986702,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,4.64027e-05,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000213795,0,0,,
DRAM_read_traffic_MPKI,1.08746,1.02613,1.04912,5.97682554842%,3.65449138325%
cache_demand.count,93644,89794,94354,4.28759159855%,-0.752485321237%
cache_prefetch.count,12461,10312,8200,20.8397982933%,51.9634146341%
stlb_demand.count,2599,2507,2358,3.66972477064%,10.2205258694%
stlb_prefetch.count,42,0,0,,
stlb_miss_touch_dram.count,2598,2477,2330,4.88494146145%,11.5021459227%
stlb_miss_touch_dram.share,1.58,1.51,1.42,4.6357615894%,11.2676056338%
