Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.3496,0.3501,0.3508,-0.142816338189%,-0.342075256556%
Core_0_L1D_demand_MPKI,41.1392,41.1543,42.477,-0.0366911841533%,-3.14946912447%
Core_0_L2C_demand_MPKI,18.7265,18.6918,19.0124,0.185642902235%,-1.50375544382%
Core_0_LLC_demand_MPKI,7.12375,7.11425,7.19886,0.133534806902%,-1.04335964305%
Core_0_L1D_prefetch_requested,75292126,69341111,0,8.58223197491%,
Core_0_L1D_prefetch_issued,31861606,31273603,0,1.88018950039%,
Core_0_L1D_prefetch_useful,224408,221913,0,1.1243144836%,
Core_0_L1D_prefetch_useless,17055,15153,0,12.5519699069%,
Core_0_L1D_prefetch_late,288,315,0,-8.57142857143%,
Core_0_L1D_prefetch_accuracy,0.00704321,0.00709586,0,-0.741981944401%,
Core_0_L1D_prefetch_coverage,0.0517269,0.0511634,0,1.10137324728%,
Core_0_vBerti_Requested,75292126,69341111,0,8.58223197491%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,5891322,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,69400804,69341111,0,0.0860860161297%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0782462,0,0,,
Core_0_vBerti_Issued,31861606,31273603,0,1.88018950039%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0345963,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.576827,0.548989,0,5.07077555288%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.812895,0,0,,
Core_0_DTLB_demand_mpki,25.3491,25.3928,25.7554,-0.17209602722%,-1.57753325516%
Core_0_DTLB_vberti_same_page_prefetch_mpki,4e-05,4e-05,0,0%,
Core_0_DTLB_vberti_cross_page_prefetch,828502,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,823239,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,5263,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,1930,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.00635243,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.05263,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,828502,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,828502,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,2567,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,766,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00309836,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00101164,0,0,,
Core_0_STLB_demand_access,1974555,1976398,1976408,-0.0932504485433%,-0.0937559451287%
Core_0_STLB_demand_hit,1529712,1530735,1530737,-0.0668306401827%,-0.0669612088817%
Core_0_STLB_demand_miss,444843,445663,445671,-0.183995530255%,-0.185787273572%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.225288,0.225493,0.225495,-0.0909119130084%,-0.0917980443025%
Core_0_STLB_demand_mpki,4.44843,4.45663,4.45671,-0.183995530255%,-0.185787273572%
Core_0_STLB_vberti_prefetch_access,3334,1,0,333300%,
Core_0_STLB_vberti_prefetch_hit,2088,1,0,208700%,
Core_0_STLB_vberti_prefetch_miss,1246,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.373725,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.01246,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,3333,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2087,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,1246,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.373837,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.01246,0,0,,
Core_0_STLB_cross_page_prefetch_issued,3333,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,3333,0,0,,
Core_0_STLB_cross_page_prefetch_useful,400,0,0,,
Core_0_STLB_cross_page_prefetch_useless,846,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,53,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0626478,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,1226,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.983949,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.120012,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000898386,0,0,,
DRAM_read_traffic_MPKI,7.46284,7.44519,7.40912,0.237065810275%,0.725052367893%
cache_demand.count,712375,711425,719886,0.133534806902%,-1.04335964305%
cache_prefetch.count,26324,25714,13395,2.37224858054%,96.5210899589%
stlb_demand.count,7493,7380,7631,1.53116531165%,-1.80841305202%
stlb_prefetch.count,92,0,0,,
stlb_miss_touch_dram.count,7565,7356,7601,2.84121805329%,-0.473621891856%
stlb_miss_touch_dram.share,1.7,1.65,1.71,3.0303030303%,-0.584795321637%
