Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.3331,0.3305,0.3263,0.786686838124%,2.08397180509%
Core_0_L1D_demand_MPKI,75.3959,77.5011,95.158,-2.71634854215%,-20.767670611%
Core_0_L2C_demand_MPKI,67.6069,67.8563,68.5858,-0.367541407356%,-1.42726336939%
Core_0_LLC_demand_MPKI,59.2685,59.3801,59.7376,-0.18794175153%,-0.785267570174%
Core_0_L1D_prefetch_requested,103826715,91506797,0,13.4633911402%,
Core_0_L1D_prefetch_issued,27474203,26410826,0,4.02629209704%,
Core_0_L1D_prefetch_useful,891549,869234,0,2.56720284756%,
Core_0_L1D_prefetch_useless,136309,130153,0,4.72981798345%,
Core_0_L1D_prefetch_late,249,5809,0,-95.7135479428%,
Core_0_L1D_prefetch_accuracy,0.0324504,0.032912,0,-1.40252795333%,
Core_0_L1D_prefetch_coverage,0.105745,0.100847,0,4.85686237568%,
Core_0_vBerti_Requested,103826715,91506797,0,13.4633911402%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,10930956,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,92895759,91506797,0,1.51787850251%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.105281,0,0,,
Core_0_vBerti_Issued,27474203,26410826,0,4.02629209704%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.045289,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.735384,0.711379,0,3.37443191323%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.886169,0,0,,
Core_0_DTLB_demand_mpki,75.7202,77.1786,77.3105,-1.88964298394%,-2.05702976957%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.0008,0.00042,0,90.4761904762%,
Core_0_DTLB_vberti_cross_page_prefetch,990708,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,883819,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,106889,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,45989,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.107892,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.06889,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,990708,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,990708,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,16852,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,44048,0,0,,
Core_0_DTLB_cross_page_prefetch_late,112,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0170101,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00222062,0,0,,
Core_0_STLB_demand_access,6987391,7004683,7005335,-0.246863419801%,-0.256147636052%
Core_0_STLB_demand_hit,594597,597925,598592,-0.556591545762%,-0.667399497487%
Core_0_STLB_demand_miss,6392794,6406758,6406743,-0.21795735066%,-0.217723732636%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.914904,0.914639,0.914552,0.0289731795823%,0.0384887901399%
Core_0_STLB_demand_mpki,63.9279,64.0676,64.0674,-0.218050933701%,-0.217739443149%
Core_0_STLB_vberti_prefetch_access,60955,22,0,276968.181818%,
Core_0_STLB_vberti_prefetch_hit,3861,22,0,17450%,
Core_0_STLB_vberti_prefetch_miss,57094,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.936658,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.57094,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,60900,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3806,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,57094,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.937504,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.57094,0,0,,
Core_0_STLB_cross_page_prefetch_issued,60900,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,60900,0,0,,
Core_0_STLB_cross_page_prefetch_useful,1390,0,0,,
Core_0_STLB_cross_page_prefetch_useless,55704,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,33735,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.605612,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,49967,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.875171,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0228243,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.000217385,0,0,,
DRAM_read_traffic_MPKI,72.0623,71.5002,69.7603,0.786151647128%,3.29987113014%
cache_demand.count,5926783,5937935,5973618,-0.187809398385%,-0.784030716393%
cache_prefetch.count,1149070,1071047,872393,7.28474100576%,31.7147203153%
stlb_demand.count,127995,141043,130022,-9.25107945804%,-1.55896694406%
stlb_prefetch.count,2385,0,0,,
stlb_miss_touch_dram.count,115290,125492,114382,-8.12960188697%,0.793831197216%
stlb_miss_touch_dram.share,1.79,1.96,1.79,-8.67346938776%,0%
