Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1688,0.1678,0.1676,0.595947556615%,0.715990453461%
Core_0_L1D_demand_MPKI,129.521,130.319,138.136,-0.612343556964%,-6.2366074014%
Core_0_L2C_demand_MPKI,81.7104,81.7869,82.2164,-0.0935357618396%,-0.615448985847%
Core_0_LLC_demand_MPKI,81.4878,81.5749,81.8491,-0.106773039256%,-0.441422080389%
Core_0_L1D_prefetch_requested,14761361,14238838,0,3.66970254174%,
Core_0_L1D_prefetch_issued,9990013,9612185,0,3.93071918612%,
Core_0_L1D_prefetch_useful,231173,221245,0,4.48733304707%,
Core_0_L1D_prefetch_useless,356662,336683,0,5.93406854519%,
Core_0_L1D_prefetch_late,3651,3235,0,12.8593508501%,
Core_0_L1D_prefetch_accuracy,0.0231404,0.0230171,0,0.535688683631%,
Core_0_L1D_prefetch_coverage,0.0175354,0.0166938,0,5.04139261283%,
Core_0_vBerti_Requested,14761361,14238838,0,3.66970254174%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,620978,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,14140383,14238838,0,-0.691453895325%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0420678,0,0,,
Core_0_vBerti_Issued,9990013,9612185,0,3.93071918612%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0405539,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.323232,0.324932,0,-0.523186389768%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.347587,0,0,,
Core_0_DTLB_demand_mpki,125.281,125.912,127.784,-0.501143655887%,-1.95877418143%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00051,0.00054,0,-5.55555555556%,
Core_0_DTLB_vberti_cross_page_prefetch,331558,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,251691,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,79867,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,54410,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.240884,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.79867,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,331558,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,331558,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,6332,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,19125,0,0,,
Core_0_DTLB_cross_page_prefetch_late,121,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0190977,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.000505167,0,0,,
Core_0_STLB_demand_access,7821086,7826946,7827828,-0.0748695595958%,-0.0861286170314%
Core_0_STLB_demand_hit,182696,182337,183228,0.19688817958%,-0.290348636671%
Core_0_STLB_demand_miss,7638390,7644609,7644600,-0.0813514464899%,-0.0812338121027%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.976641,0.976704,0.976593,-0.00645026538235%,0.00491504649326%
Core_0_STLB_demand_mpki,76.3839,76.4461,76.446,-0.0813645169603%,-0.0812338121027%
Core_0_STLB_vberti_prefetch_access,25486,34,0,74858.8235294%,
Core_0_STLB_vberti_prefetch_hit,6094,34,0,17823.5294118%,
Core_0_STLB_vberti_prefetch_miss,19392,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.760888,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.19392,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,25457,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,6065,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,19392,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.761755,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.19392,0,0,,
Core_0_STLB_cross_page_prefetch_issued,25457,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,25457,0,0,,
Core_0_STLB_cross_page_prefetch_useful,329,0,0,,
Core_0_STLB_cross_page_prefetch_useless,19063,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,2642,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.138593,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,17732,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.914398,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0129238,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,4.307e-05,0,0,,
DRAM_read_traffic_MPKI,105.469,105.727,101.071,-0.244024705137%,4.35139654302%
cache_demand.count,8148779,8157490,8184843,-0.106785297929%,-0.440619325258%
cache_prefetch.count,1495564,1447126,995806,3.34718607778%,50.1862812636%
stlb_demand.count,900165,968057,926430,-7.0132233949%,-2.83507658431%
stlb_prefetch.count,2418,0,0,,
stlb_miss_touch_dram.count,820473,887280,828474,-7.52941574249%,-0.965751490089%
stlb_miss_touch_dram.share,10.71,11.61,10.84,-7.7519379845%,-1.19926199262%
