Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.5889,0.589,0.5807,-0.0169779286927%,1.41208885827%
Core_0_L1D_demand_MPKI,8.1524,8.29122,14.4767,-1.67430124879%,-43.6860610498%
Core_0_L2C_demand_MPKI,7.45796,7.49256,8.1427,-0.461791430432%,-8.40925000307%
Core_0_LLC_demand_MPKI,7.17282,7.19939,7.78165,-0.36905904528%,-7.82391909171%
Core_0_L1D_prefetch_requested,142120350,124262752,0,14.3708373689%,
Core_0_L1D_prefetch_issued,40638525,38823448,0,4.6752081371%,
Core_0_L1D_prefetch_useful,309322,305408,0,1.28156433361%,
Core_0_L1D_prefetch_useless,23146,21602,0,7.14748634386%,
Core_0_L1D_prefetch_late,2244,2227,0,0.763358778626%,
Core_0_L1D_prefetch_accuracy,0.00761155,0.00786659,0,-3.24206549471%,
Core_0_L1D_prefetch_coverage,0.27506,0.269193,0,2.17947717808%,
Core_0_vBerti_Requested,142120350,124262752,0,14.3708373689%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,19771276,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,122349074,124262752,0,-1.54002544544%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.139116,0,0,,
Core_0_vBerti_Issued,40638525,38823448,0,4.6752081371%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0734168,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.714056,0.68757,0,3.85211687537%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.849097,0,0,,
Core_0_DTLB_demand_mpki,5.76856,6.11055,6.21662,-5.59671388009%,-7.20745356802%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00029,0.00032,0,-9.375%,
Core_0_DTLB_vberti_cross_page_prefetch,2199280,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,2114367,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,84913,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,43197,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0386095,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.84913,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,2199280,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,2199280,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,10877,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,30839,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1581,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00494571,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0185067,0,0,,
Core_0_STLB_demand_access,396070,406783,406925,-2.63359088261%,-2.66756773361%
Core_0_STLB_demand_hit,16133,18659,18799,-13.5377029852%,-14.1816054045%
Core_0_STLB_demand_miss,379937,388124,388126,-2.10937741547%,-2.10988184249%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.959267,0.95413,0.953802,0.538396235314%,0.572970071357%
Core_0_STLB_demand_mpki,3.79937,3.88124,3.88126,-2.10937741547%,-2.10988184249%
Core_0_STLB_vberti_prefetch_access,41734,22,0,189600%,
Core_0_STLB_vberti_prefetch_hit,2673,22,0,12050%,
Core_0_STLB_vberti_prefetch_miss,39061,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.935952,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.39061,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,41716,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2655,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,39061,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.936355,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.39061,0,0,,
Core_0_STLB_cross_page_prefetch_issued,41716,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,41716,0,0,,
Core_0_STLB_cross_page_prefetch_useful,861,0,0,,
Core_0_STLB_cross_page_prefetch_useless,38200,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,10917,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.285785,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,12145,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.310924,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0206396,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00226104,0,0,,
DRAM_read_traffic_MPKI,10.6875,10.1064,9.27657,5.74982189504%,15.2096087239%
cache_demand.count,714959,717641,776039,-0.37372446669%,-7.87073845515%
cache_prefetch.count,306871,248327,104389,23.5753663516%,193.968713179%
stlb_demand.count,44768,44669,47229,0.221630213347%,-5.21078151136%
stlb_prefetch.count,2157,0,0,,
stlb_miss_touch_dram.count,47647,45344,47504,5.07895201129%,0.301027281913%
stlb_miss_touch_dram.share,11.37,11.68,12.24,-2.65410958904%,-7.10784313725%
