Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1305,0.1304,0.1295,0.0766871165644%,0.772200772201%
Core_0_L1D_demand_MPKI,21.9287,21.9563,22.3994,-0.125704239785%,-2.1013955731%
Core_0_L2C_demand_MPKI,15.6118,15.6315,15.9193,-0.12602757253%,-1.93161759625%
Core_0_LLC_demand_MPKI,15.5395,15.5596,15.9056,-0.129180698733%,-2.30170505985%
Core_0_L1D_prefetch_requested,4160955,3580286,0,16.2185088007%,
Core_0_L1D_prefetch_issued,3903617,3381611,0,15.43660699%,
Core_0_L1D_prefetch_useful,37686,35490,0,6.18765849535%,
Core_0_L1D_prefetch_useless,4251,3684,0,15.3908794788%,
Core_0_L1D_prefetch_late,22,29,0,-24.1379310345%,
Core_0_L1D_prefetch_accuracy,0.00965412,0.010495,0,-8.01219628394%,
Core_0_L1D_prefetch_coverage,0.0168954,0.0159068,0,6.21495209596%,
Core_0_vBerti_Requested,4160955,3580286,0,16.2185088007%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,618216,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,3542739,3580286,0,-1.04871510265%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.148576,0,0,,
Core_0_vBerti_Issued,3903617,3381611,0,15.43660699%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.145465,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.0618459,0.0554914,0,11.4513239889%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.0814861,0,0,,
Core_0_DTLB_demand_mpki,16.3046,16.3216,16.3234,-0.104156455249%,-0.115172084247%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,401105,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,393299,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,7806,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,4398,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0194612,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.07806,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,401105,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,401105,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,1307,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,2101,0,0,,
Core_0_DTLB_cross_page_prefetch_late,109,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0032585,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00080097,0,0,,
Core_0_STLB_demand_access,1180741,1181736,1181735,-0.084198162703%,-0.084113612612%
Core_0_STLB_demand_hit,18046,17722,17721,1.82823609073%,1.83398228091%
Core_0_STLB_demand_miss,1162695,1164014,1164014,-0.11331478831%,-0.11331478831%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.984716,0.985003,0.985004,-0.0291369670955%,-0.0292384599453%
Core_0_STLB_demand_mpki,11.627,11.6401,11.6401,-0.112541988471%,-0.112541988471%
Core_0_STLB_vberti_prefetch_access,3408,0,0,,
Core_0_STLB_vberti_prefetch_hit,1480,0,0,,
Core_0_STLB_vberti_prefetch_miss,1928,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.565728,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.01928,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,3408,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,1480,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,1928,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.565728,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.01928,0,0,,
Core_0_STLB_cross_page_prefetch_issued,3408,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,3408,0,0,,
Core_0_STLB_cross_page_prefetch_useful,59,0,0,,
Core_0_STLB_cross_page_prefetch_useless,1869,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,186,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0995185,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,837,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.434129,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0173122,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,5.07416e-05,0,0,,
DRAM_read_traffic_MPKI,24.3664,24.3635,23.9714,0.0119030516962%,1.64779695804%
cache_demand.count,1553946,1555956,1590558,-0.129181030826%,-2.3018336961%
cache_prefetch.count,122984,120873,47314,1.74646116172%,159.931521326%
stlb_demand.count,759393,759522,759270,-0.0169843664831%,0.0161997708325%
stlb_prefetch.count,316,0,0,,
stlb_miss_touch_dram.count,759726,759653,759591,0.00960965072211%,0.0177727224256%
stlb_miss_touch_dram.share,65.23,65.26,65.26,-0.0459699662887%,-0.0459699662887%
