Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1548,0.1548,0.1549,0%,-0.0645577792124%
Core_0_L1D_demand_MPKI,59.8063,59.8037,60.1995,0.00434755709095%,-0.653161571109%
Core_0_L2C_demand_MPKI,56.3608,56.3762,56.4626,-0.027316491711%,-0.180296337753%
Core_0_LLC_demand_MPKI,42.6422,42.6436,42.645,-0.00328302488532%,-0.00656583421269%
Core_0_L1D_prefetch_requested,2447892,2148504,0,13.9347192279%,
Core_0_L1D_prefetch_issued,2171509,1963570,0,10.5898440086%,
Core_0_L1D_prefetch_useful,40432,40316,0,0.287726957039%,
Core_0_L1D_prefetch_useless,46425,39617,0,17.1845419895%,
Core_0_L1D_prefetch_late,0,0,0,,
Core_0_L1D_prefetch_accuracy,0.0186193,0.020532,0,-9.31570231833%,
Core_0_L1D_prefetch_coverage,0.00671509,0.00669625,0,0.281351502707%,
Core_0_vBerti_Requested,2447892,2148504,0,13.9347192279%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,309760,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,2138132,2148504,0,-0.482754511977%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.126542,0,0,,
Core_0_vBerti_Issued,2171509,1963570,0,10.5898440086%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.11152,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.112907,0.0860757,0,31.1717476593%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.218211,0,0,,
Core_0_DTLB_demand_mpki,40.1249,40.1317,40.1389,-0.0169442111847%,-0.0348788830785%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,203891,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,198021,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,5870,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,1482,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0287899,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.0587,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,203891,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,203891,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,826,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,3562,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00405118,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.000205815,0,0,,
Core_0_STLB_demand_access,3799896,3800680,3801321,-0.0206278876412%,-0.037486968346%
Core_0_STLB_demand_hit,124735,124589,125213,0.117185305284%,-0.381749498854%
Core_0_STLB_demand_miss,3675161,3676091,3676108,-0.0252986120311%,-0.025760940647%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.967174,0.967219,0.967061,-0.00465251406352%,0.0116848885437%
Core_0_STLB_demand_mpki,36.7516,36.7609,36.7611,-0.025298618913%,-0.0258425346358%
Core_0_STLB_vberti_prefetch_access,4388,0,0,,
Core_0_STLB_vberti_prefetch_hit,2490,0,0,,
Core_0_STLB_vberti_prefetch_miss,1898,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.432543,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.01898,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,4388,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2490,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,1898,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.432543,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.01898,0,0,,
Core_0_STLB_cross_page_prefetch_issued,4388,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,4388,0,0,,
Core_0_STLB_cross_page_prefetch_useful,150,0,0,,
Core_0_STLB_cross_page_prefetch_useless,1748,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,381,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.217963,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,1536,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.809273,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0341841,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,4.08129e-05,0,0,,
DRAM_read_traffic_MPKI,56.0362,56.007,55.9025,0.0521363401003%,0.239166405796%
cache_demand.count,4264225,4264359,4264501,-0.0031423245557%,-0.00647203506342%
cache_prefetch.count,165219,163213,155622,1.2290687629%,6.16686586729%
stlb_demand.count,1174168,1173132,1170123,0.0883106078429%,0.345690153941%
stlb_prefetch.count,7,0,0,,
stlb_miss_touch_dram.count,1180463,1179486,1176201,0.0828326915283%,0.362353033198%
stlb_miss_touch_dram.share,32.1,32.09,32,0.0311623558741%,0.3125%
