Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.4142,0.4122,0.4014,0.485201358564%,3.18883906328%
Core_0_L1D_demand_MPKI,28.7123,28.9466,35.0458,-0.809421486461%,-18.0720656969%
Core_0_L2C_demand_MPKI,16.0324,16.269,18.5288,-1.45429958817%,-13.4730797461%
Core_0_LLC_demand_MPKI,11.2459,11.3968,12.7842,-1.32405587533%,-12.0328217644%
Core_0_L1D_prefetch_requested,128911300,117191087,0,10.0009423072%,
Core_0_L1D_prefetch_issued,30035578,29754618,0,0.944256787299%,
Core_0_L1D_prefetch_useful,570812,543766,0,4.9738306551%,
Core_0_L1D_prefetch_useless,10031,8127,0,23.428079242%,
Core_0_L1D_prefetch_late,19631,15881,0,23.6131225993%,
Core_0_L1D_prefetch_accuracy,0.0190045,0.018275,0,3.99179206566%,
Core_0_L1D_prefetch_coverage,0.165835,0.158144,0,4.86328915419%,
Core_0_vBerti_Requested,128911300,117191087,0,10.0009423072%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,14781589,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,114129711,117191087,0,-2.61229422678%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.114665,0,0,,
Core_0_vBerti_Issued,30035578,29754618,0,0.944256787299%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0640427,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.767006,0.746102,0,2.80176168942%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.869868,0,0,,
Core_0_DTLB_demand_mpki,18.7306,18.9598,19.2195,-1.20887351132%,-2.5437706496%
Core_0_DTLB_vberti_same_page_prefetch_mpki,8e-05,7e-05,0,14.2857142857%,
Core_0_DTLB_vberti_cross_page_prefetch,1467179,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1450461,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,16718,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,6541,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0113947,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.16718,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1467179,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1467179,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,9738,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,439,0,0,,
Core_0_DTLB_cross_page_prefetch_late,114,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00663723,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00517208,0,0,,
Core_0_STLB_demand_access,1356672,1364682,1364626,-0.586949926796%,-0.58287032491%
Core_0_STLB_demand_hit,1083525,1086376,1086317,-0.262432159768%,-0.257015217473%
Core_0_STLB_demand_miss,273147,278306,278309,-1.8537149756%,-1.85477293224%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.201336,0.203935,0.203945,-1.27442567485%,-1.2792664689%
Core_0_STLB_demand_mpki,2.73147,2.78306,2.78309,-1.8537149756%,-1.85477293224%
Core_0_STLB_vberti_prefetch_access,10184,7,0,145385.714286%,
Core_0_STLB_vberti_prefetch_hit,4974,7,0,70957.1428571%,
Core_0_STLB_vberti_prefetch_miss,5210,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.511587,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.0521,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,10177,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,4967,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,5210,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.511939,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.0521,0,0,,
Core_0_STLB_cross_page_prefetch_issued,10177,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,10177,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2446,0,0,,
Core_0_STLB_cross_page_prefetch_useless,2764,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,440,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.15919,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,2700,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.518234,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.240346,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00887541,0,0,,
DRAM_read_traffic_MPKI,15.1244,15.1208,15.1245,0.023808264113%,-0.000661178881945%
cache_demand.count,1119840,1134314,1270448,-1.27601352007%,-11.8547158168%
cache_prefetch.count,388032,373214,237503,3.97037624526%,63.3798309916%
stlb_demand.count,3883,4552,4503,-14.6968365554%,-13.768598712%
stlb_prefetch.count,683,0,0,,
stlb_miss_touch_dram.count,4563,4549,4500,0.307759947241%,1.4%
stlb_miss_touch_dram.share,1.64,1.63,1.62,0.613496932515%,1.23456790123%
