Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.5159,0.5123,0.491,0.702713253953%,5.07128309572%
Core_0_L1D_demand_MPKI,22.3054,22.5687,29.6253,-1.16666002029%,-24.7082729964%
Core_0_L2C_demand_MPKI,11.2262,11.3858,13.7527,-1.40174603453%,-18.3709380703%
Core_0_LLC_demand_MPKI,6.75473,6.8705,8.28007,-1.68503020159%,-18.4218249363%
Core_0_L1D_prefetch_requested,147697384,133445199,0,10.6801781606%,
Core_0_L1D_prefetch_issued,37568463,37425964,0,0.380749043632%,
Core_0_L1D_prefetch_useful,654098,627839,0,4.18244167693%,
Core_0_L1D_prefetch_useless,15076,11000,0,37.0545454545%,
Core_0_L1D_prefetch_late,10048,10073,0,-0.248188225951%,
Core_0_L1D_prefetch_accuracy,0.0174108,0.0167755,0,3.78707043009%,
Core_0_L1D_prefetch_coverage,0.226752,0.217644,0,4.18481557038%,
Core_0_vBerti_Requested,147697384,133445199,0,10.6801781606%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,16368890,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,131328494,133445199,0,-1.58619794182%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.110827,0,0,,
Core_0_vBerti_Issued,37568463,37425964,0,0.380749043632%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0613552,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.745639,0.719541,0,3.62703445669%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.859183,0,0,,
Core_0_DTLB_demand_mpki,10.6786,10.8651,11.1596,-1.71650514031%,-4.3101903294%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00052,0.00045,0,15.5555555556%,
Core_0_DTLB_vberti_cross_page_prefetch,1765029,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,1747941,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,17088,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,6132,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.00968143,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.17088,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1765029,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1765029,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,10330,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,626,0,0,,
Core_0_DTLB_cross_page_prefetch_late,61,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0058526,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0095809,0,0,,
Core_0_STLB_demand_access,1024058,1032194,1032123,-0.788223919147%,-0.781399116191%
Core_0_STLB_demand_hit,926063,929332,929276,-0.351758036956%,-0.345753037849%
Core_0_STLB_demand_miss,97995,102862,102847,-4.73158211973%,-4.71768743862%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0956928,0.0996537,0.0996461,-3.97466426234%,-3.96734041774%
Core_0_STLB_demand_mpki,0.97995,1.02862,1.02847,-4.73158211973%,-4.71768743862%
Core_0_STLB_vberti_prefetch_access,10998,35,0,31322.8571429%,
Core_0_STLB_vberti_prefetch_hit,6070,35,0,17242.8571429%,
Core_0_STLB_vberti_prefetch_miss,4928,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.448081,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.04928,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,10956,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,6028,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,4928,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.449799,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.04928,0,0,,
Core_0_STLB_cross_page_prefetch_issued,10956,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,10956,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2562,0,0,,
Core_0_STLB_cross_page_prefetch_useless,2366,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,182,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.0769231,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,1912,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.387987,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.233844,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0254781,0,0,,
DRAM_read_traffic_MPKI,10.4323,10.4349,10.4257,-0.0249163863573%,0.0633051018157%
cache_demand.count,673850,685006,825114,-1.62859887359%,-18.3324970853%
cache_prefetch.count,367778,356901,215878,3.04762385087%,70.3638166001%
stlb_demand.count,955,1582,1579,-39.6333754741%,-39.5186827106%
stlb_prefetch.count,645,0,0,,
stlb_miss_touch_dram.count,1596,1578,1575,1.14068441065%,1.33333333333%
stlb_miss_touch_dram.share,1.55,1.53,1.53,1.30718954248%,1.30718954248%
