Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1973,0.1974,0.1969,-0.0506585612969%,0.203148806501%
Core_0_L1D_demand_MPKI,54.0911,54.1122,55.3812,-0.0389930551706%,-2.32949087416%
Core_0_L2C_demand_MPKI,43.4051,43.4149,43.7839,-0.0225728954806%,-0.86515819742%
Core_0_LLC_demand_MPKI,43.2954,43.3058,43.6244,-0.024015258926%,-0.754165100265%
Core_0_L1D_prefetch_requested,3957468,3826182,0,3.43125340091%,
Core_0_L1D_prefetch_issued,3957099,3825640,0,3.43626164511%,
Core_0_L1D_prefetch_useful,128737,126355,0,1.88516481342%,
Core_0_L1D_prefetch_useless,35944,35295,0,1.83878736365%,
Core_0_L1D_prefetch_late,49,45,0,8.88888888889%,
Core_0_L1D_prefetch_accuracy,0.0325332,0.0330285,0,-1.49961396975%,
Core_0_L1D_prefetch_coverage,0.0232468,0.0228178,0,1.8801111413%,
Core_0_vBerti_Requested,3957468,3826182,0,3.43125340091%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,122439,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,3835029,3826182,0,0.23122266531%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.0309387,0,0,,
Core_0_vBerti_Issued,3957099,3825640,0,3.43626164511%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.030934,0,0,,
Core_0_vBerti_PQ_Drop_Rate,9.32414e-05,0.000141656,0,-34.1775851358%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.00024502,0,0,,
Core_0_DTLB_demand_mpki,33.8716,33.8878,33.9243,-0.0478048147121%,-0.155345873017%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,98585,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,94545,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,4040,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,60,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0409799,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.0404,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,98585,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,98585,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,2029,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,1951,0,0,,
Core_0_DTLB_cross_page_prefetch_late,0,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0205812,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.000598668,0,0,,
Core_0_STLB_demand_access,944185,946235,946241,-0.21664808425%,-0.217280798444%
Core_0_STLB_demand_hit,10946,12346,12352,-11.3397051677%,-11.3827720207%
Core_0_STLB_demand_miss,933239,933889,933889,-0.0696014194406%,-0.0696014194406%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.988407,0.986953,0.986946,0.14732211159%,0.148032415147%
Core_0_STLB_demand_mpki,9.33239,9.33889,9.33889,-0.0696014194406%,-0.0696014194406%
Core_0_STLB_vberti_prefetch_access,3980,0,0,,
Core_0_STLB_vberti_prefetch_hit,3188,0,0,,
Core_0_STLB_vberti_prefetch_miss,792,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.198995,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.00792,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,3980,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3188,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,792,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.198995,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.00792,0,0,,
Core_0_STLB_cross_page_prefetch_issued,3980,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,3980,0,0,,
Core_0_STLB_cross_page_prefetch_useful,89,0,0,,
Core_0_STLB_cross_page_prefetch_useless,703,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,458,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.651494,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,185,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.233586,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0223618,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,9.53577e-05,0,0,,
DRAM_read_traffic_MPKI,53.1356,53.1215,52.9368,0.026542925181%,0.375542155929%
cache_demand.count,4329544,4330576,4362442,-0.0238305481765%,-0.75411890863%
cache_prefetch.count,384244,382617,331640,0.425229406953%,15.8617778314%
stlb_demand.count,599722,598961,599601,0.12705334738%,0.0201800864241%
stlb_prefetch.count,53,0,0,,
stlb_miss_touch_dram.count,856951,855433,841886,0.177453991137%,1.78943467405%
stlb_miss_touch_dram.share,91.75,91.6,90.15,0.163755458515%,1.77481974487%
