Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1447,0.1447,0.1448,0%,-0.0690607734807%
Core_0_L1D_demand_MPKI,60.7473,60.7386,61.0871,0.0143236755539%,-0.556254921252%
Core_0_L2C_demand_MPKI,57.787,57.7738,57.8285,0.0228477268243%,-0.0717639226333%
Core_0_LLC_demand_MPKI,44.4512,44.4739,44.4094,-0.051041172463%,0.0941242169451%
Core_0_L1D_prefetch_requested,2351648,2091296,0,12.449313727%,
Core_0_L1D_prefetch_issued,2059784,1894016,0,8.75219639116%,
Core_0_L1D_prefetch_useful,35229,35553,0,-0.911315500802%,
Core_0_L1D_prefetch_useless,44771,37446,0,19.5615018961%,
Core_0_L1D_prefetch_late,0,0,0,,
Core_0_L1D_prefetch_accuracy,0.0171032,0.0187712,0,-8.8859529492%,
Core_0_L1D_prefetch_coverage,0.00576583,0.00581938,0,-0.920201121082%,
Core_0_vBerti_Requested,2351648,2091296,0,12.449313727%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,281077,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,2070571,2091296,0,-0.991012271816%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.119523,0,0,,
Core_0_vBerti_Issued,2059784,1894016,0,8.75219639116%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.104626,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.12411,0.0943338,0,31.5647201745%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.233285,0,0,,
Core_0_DTLB_demand_mpki,41.8237,41.8317,41.836,-0.0191242526601%,-0.0294005163017%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,179412,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,173817,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,5595,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,1304,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0311852,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.05595,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,179412,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,179412,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,824,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,3467,0,0,,
Core_0_DTLB_cross_page_prefetch_late,0,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00459278,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.000196979,0,0,,
Core_0_STLB_demand_access,3980366,3981196,3981605,-0.0208480064785%,-0.0311181043825%
Core_0_STLB_demand_hit,122729,122682,123037,0.0383104285877%,-0.250331201183%
Core_0_STLB_demand_miss,3857637,3858514,3858568,-0.0227289573136%,-0.0241281221427%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.969166,0.969185,0.969099,-0.00196041003523%,0.00691363833828%
Core_0_STLB_demand_mpki,38.5764,38.5851,38.5857,-0.0225475636969%,-0.0241021932996%
Core_0_STLB_vberti_prefetch_access,4291,0,0,,
Core_0_STLB_vberti_prefetch_hit,2432,0,0,,
Core_0_STLB_vberti_prefetch_miss,1859,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.433232,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.01859,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,4291,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,2432,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,1859,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.433232,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.01859,0,0,,
Core_0_STLB_cross_page_prefetch_issued,4291,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,4291,0,0,,
Core_0_STLB_cross_page_prefetch_useful,142,0,0,,
Core_0_STLB_cross_page_prefetch_useless,1717,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,358,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.208503,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,1416,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.7617,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.0330925,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,3.68087e-05,0,0,,
DRAM_read_traffic_MPKI,60.6156,60.615,60.435,0.000989853996533%,0.298833457434%
cache_demand.count,4445119,4447394,4440941,-0.0511535519453%,0.09407916025%
cache_prefetch.count,134674,133816,125935,0.641178932265%,6.93929408028%
stlb_demand.count,1481768,1480288,1476626,0.0999805443265%,0.348226294268%
stlb_prefetch.count,0,0,0,,
stlb_miss_touch_dram.count,1483588,1482126,1478287,0.0986420857606%,0.358590720205%
stlb_miss_touch_dram.share,38.44,38.41,38.31,0.0781046602447%,0.339336987732%
