Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.3347,0.3339,0.3261,0.239592692423%,2.63722784422%
Core_0_L1D_demand_MPKI,33.6349,33.7375,38.7117,-0.304112634309%,-13.1143814402%
Core_0_L2C_demand_MPKI,19.7828,19.9574,21.8807,-0.874863459168%,-9.58790166677%
Core_0_LLC_demand_MPKI,16.4765,16.5953,18.0276,-0.715865335366%,-8.60402937718%
Core_0_L1D_prefetch_requested,124923106,114201147,0,9.38866139409%,
Core_0_L1D_prefetch_issued,22667117,22319158,0,1.55901490549%,
Core_0_L1D_prefetch_useful,453771,435652,0,4.15905355651%,
Core_0_L1D_prefetch_useless,7734,6304,0,22.6840101523%,
Core_0_L1D_prefetch_late,21665,18170,0,19.2350027518%,
Core_0_L1D_prefetch_accuracy,0.0200189,0.0195192,0,2.5600434444%,
Core_0_L1D_prefetch_coverage,0.118874,0.114362,0,3.94536646788%,
Core_0_vBerti_Requested,124923106,114201147,0,9.38866139409%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,14157531,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,110765575,114201147,0,-3.00835157111%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.11333,0,0,,
Core_0_vBerti_Issued,22667117,22319158,0,1.55901490549%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0590902,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.818551,0.804563,0,1.73858355405%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.905393,0,0,,
Core_0_DTLB_demand_mpki,26.3865,26.6368,26.8879,-0.939677438731%,-1.86477932453%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00051,0.00045,0,13.3333333333%,
Core_0_DTLB_vberti_cross_page_prefetch,1014406,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,999368,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,15038,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,7018,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.0148244,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,0.15038,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1014406,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1014406,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,7741,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,279,0,0,,
Core_0_DTLB_cross_page_prefetch_late,176,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.00763107,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.00292511,0,0,,
Core_0_STLB_demand_access,1570620,1577175,1577263,-0.415616529554%,-0.421172626252%
Core_0_STLB_demand_hit,717628,719411,719502,-0.247841637117%,-0.260457927845%
Core_0_STLB_demand_miss,852992,857764,857761,-0.556330179397%,-0.555982377376%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.543093,0.543861,0.543829,-0.141212552472%,-0.135336659134%
Core_0_STLB_demand_mpki,8.52992,8.57764,8.57761,-0.556330179397%,-0.555982377376%
Core_0_STLB_vberti_prefetch_access,8059,37,0,21681.0810811%,
Core_0_STLB_vberti_prefetch_hit,3270,37,0,8737.83783784%,
Core_0_STLB_vberti_prefetch_miss,4789,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.594242,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.04789,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,8020,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,3231,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,4789,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.597132,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.04789,0,0,,
Core_0_STLB_cross_page_prefetch_issued,8020,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,8020,0,0,,
Core_0_STLB_cross_page_prefetch_useful,2210,0,0,,
Core_0_STLB_cross_page_prefetch_useless,2579,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,884,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.342769,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,2680,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.559616,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.275561,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00258418,0,0,,
DRAM_read_traffic_MPKI,20.2473,20.2284,20.2288,0.0934329951949%,0.091453768884%
cache_demand.count,1638533,1650014,1789831,-0.695812277956%,-8.45320033009%
cache_prefetch.count,367183,353067,213091,3.99810800783%,72.3127677847%
stlb_demand.count,18380,19757,19955,-6.96968163183%,-7.89275870709%
stlb_prefetch.count,637,0,0,,
stlb_miss_touch_dram.count,19013,19753,19951,-3.74626638992%,-4.70151872087%
stlb_miss_touch_dram.share,2.22,2.3,2.33,-3.47826086957%,-4.72103004292%
