dataset,workload,trace_tag,num_traces,base_ipc,other_ipc,ipc_speedup,ipc_speedup_pct,base_stlb_mpki,other_stlb_mpki,stlb_mpki_norm,stlb_mpki_change_pct,base_stlb_miss_rate,other_stlb_miss_rate,stlb_miss_rate_norm,stlb_miss_rate_change_pct
spec06,403.gcc,403.gcc-17B,1,0.67247,0.690893,1.02739601767,2.73960176662,2.87794,2.94473,1.02320757208,2.32075720828,0.257246,0.257671,1.0016521151,0.165211509606
spec06,429.mcf,429.mcf-184B,1,0.121479,0.121238,0.998016118012,-0.198388198783,9.08905,9.09259,1.00038947965,0.0389479648588,0.0916888,0.090991,0.99238947396,-0.761052604026
spec06,429.mcf,429.mcf-192B,1,0.119334,0.119731,1.00332679706,0.3326797057,2.82489,2.82632,1.0005062144,0.0506214401269,0.0193577,0.019366,1.00042876995,0.0428769946843
spec06,429.mcf,429.mcf-22B,1,0.549101,0.776631,1.41436821277,41.436821277,3.14847,3.15207,1.00114341251,0.114341251465,0.646272,0.607815,0.940494095365,-5.95059046346
spec06,429.mcf,429.mcf-51B,1,0.158353,0.157671,0.995693166533,-0.4306833467,10.5042,10.5204,1.00154224025,0.154224024676,0.133178,0.132104,0.99193560498,-0.80643950202
spec06,433.milc,433.milc-127B,1,0.846662,1.39091,1.64281614151,64.2816141506,2.18092,2.18147,1.00025218715,0.0252187150377,0.99994,0.999885,0.9999449967,-0.0055003300198
spec06,433.milc,433.milc-274B,1,0.914522,1.80212,1.97055948353,97.0559483533,1.20896,1.21094,1.00163777131,0.163777130757,0.963154,0.96098,0.997742832403,-0.225716759729
spec06,433.milc,433.milc-337B,1,0.916637,1.51218,1.64970429952,64.9704299521,1.96182,1.96617,1.00221732881,0.221732880692,0.999913,0.996195,0.996281676506,-0.371832349414
spec06,436.cactusADM,436.cactusADM-1804B,1,1.87084,1.88976,1.01011310427,1.0113104274,9.27953,9.14687,0.985704017337,-1.42959826629,0.3603,0.330143,0.916300305301,-8.36996946989
spec06,450.soplex,450.soplex-247B,1,0.499256,0.608407,1.21862731745,21.8627317448,1.0598,1.12018,1.05697301378,5.69730137762,0.135715,0.139119,1.02508197325,2.50819732528
spec06,459.GemsFDTD,459.GemsFDTD-1169B,1,1.01816,1.1706,1.14972106545,14.9721065451,1.77703,1.77725,1.00012380207,0.0123802074247,0.130863,0.0747476,0.571189717491,-42.8810282509
spec06,459.GemsFDTD,459.GemsFDTD-1211B,1,0.959587,1.35238,1.40933547453,40.9335474532,1.07748,1.07722,0.999758696217,-0.0241303782901,0.167959,0.119542,0.711733220607,-28.8266779393
spec06,459.GemsFDTD,459.GemsFDTD-765B,1,0.938478,1.23373,1.31460726836,31.4607268364,2.26232,2.28738,1.01107712437,1.10771243679,0.687558,0.437776,0.636711375622,-36.3288624378
spec06,471.omnetpp,471.omnetpp-188B,1,0.405785,0.436082,1.07466269083,7.46626908338,4.52053,5.27279,1.1664096909,16.6409690899,0.234227,0.233168,0.995478744978,-0.452125502184
spec06,473.astar,473.astar-359B,1,0.19408,0.193965,0.999407460841,-0.059253915911,17.1202,17.2294,1.00637843016,0.637843015853,0.509725,0.50979,1.00012751974,0.0127519741037
spec06,473.astar,473.astar-42B,1,0.514657,0.621181,1.20698057153,20.6980571526,5.51531,9.04852,1.64061856904,64.0618569038,0.235975,0.296396,1.2560483102,25.6048310202
spec06,483.xalancbmk,483.xalancbmk-127B,1,0.295599,0.296097,1.00168471477,0.168471476561,3.46821,3.47826,1.00289774841,0.289774840624,0.806848,0.807129,1.00034826882,0.034826881891
spec17,602.gcc_s,602.gcc_s-2226B,1,0.184888,0.738955,3.99677101813,299.677101813,1.31377,1.40638,1.0704917908,7.04917908005,0.966555,0.934683,0.967025156354,-3.29748436457
spec17,605.mcf_s,605.mcf_s-1536B,1,0.497619,0.500166,1.0051183737,0.511837369554,22.3928,22.3951,1.00010271159,0.0102711585867,0.915536,0.915494,0.999954125234,-0.00458747662572
spec17,605.mcf_s,605.mcf_s-1644B,1,0.19356,0.202353,1.04542777433,4.54277743335,24.2155,24.2202,1.00019409056,0.019409056183,0.818086,0.816885,0.998531939185,-0.146806081512
spec17,605.mcf_s,605.mcf_s-472B,1,0.360793,0.625224,1.73291610425,73.2916104248,1.2982,1.30491,1.00516869512,0.516869511631,0.43286,0.368369,0.851011874509,-14.8988125491
spec17,605.mcf_s,605.mcf_s-782B,1,0.122122,0.152601,1.24957829056,24.9578290562,1.13178,1.1565,1.02184170068,2.18417006839,0.0132763,0.0134505,1.01312112561,1.31211256148
spec17,605.mcf_s,605.mcf_s-994B,1,0.401631,0.413501,1.02955449156,2.95544915607,8.07666,8.08032,1.00045315762,0.0453157617134,0.497807,0.496134,0.996639259793,-0.336074020655
spec17,620.omnetpp_s,620.omnetpp_s-141B,1,0.468462,0.467776,0.998535633627,-0.146436637337,4.86165,4.98472,1.02531445086,2.53144508552,0.21608,0.219134,1.0141336542,1.41336542021
spec17,620.omnetpp_s,620.omnetpp_s-874B,1,0.514108,0.513791,0.999383398041,-0.0616601959121,4.27509,4.40016,1.02925552445,2.92555244451,0.207637,0.209587,1.00939138978,0.93913897812
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,1,0.671747,0.677397,1.0084109047,0.841090470073,4.81178,4.81979,1.00166466464,0.166466463554,0.664528,0.664124,0.999392049695,-0.0607950304577
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,1,1.17496,1.17912,1.00354054606,0.354054606114,1.28511,1.33905,1.04197306067,4.19730606718,0.0551363,0.0562395,1.02000859688,2.00085968772
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,1,1.03486,1.03596,1.00106294571,0.106294571246,1.75719,1.81306,1.03179508192,3.17950819206,0.0575148,0.0581065,1.0102877868,1.02877867957
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,1,0.72448,1.16546,1.60868484982,60.8684849823,3.39597,3.39514,0.999755592658,-0.0244407341643,0.737951,0.466495,0.632149018024,-36.7850981976
gap,bc,bc.kron-2608B,1,0.451503,0.479991,1.06309592627,6.30959262729,18.1439,18.1595,1.0008597931,0.0859793098507,0.981609,0.981104,0.999485538539,-0.0514461460724
gap,bc,bc.kron-5154B,1,0.942585,0.961956,1.02055093175,2.05509317462,2.86105,2.8633,1.00078642456,0.0786424564408,0.983946,0.983421,0.999466434134,-0.053356586642
gap,bc,bc.road-131B,1,0.162232,0.162364,1.00081364959,0.0813649588244,8.47633,8.47782,1.00017578362,0.0175783623337,0.566741,0.564356,0.995791728497,-0.420827150321
gap,bc,bc.road-174B,1,0.23279,0.231886,0.996116671678,-0.388332832166,8.77576,8.77968,1.00044668496,0.0446684959479,0.505521,0.502959,0.994931961284,-0.506803871649
gap,bc,bc.road-79B,1,0.281413,0.280659,0.997320663935,-0.267933606479,7.37435,7.38034,1.00081227498,0.0812274980168,0.378261,0.377103,0.996938621745,-0.30613782547
gap,bc,bc.road-95B,1,0.214776,0.213869,0.995776995567,-0.422300443252,7.92473,7.92783,1.00039118052,0.0391180519715,0.5483,0.545814,0.995465985774,-0.453401422579
gap,bc,bc.twitter-1658B,1,0.396043,0.406106,1.02540885712,2.54088571191,9.87694,9.87976,1.00028551353,0.0285513529494,0.971454,0.971375,0.999918678599,-0.00813214007046
gap,bc,bc.twitter-2320B,1,0.5601,0.590709,1.05464916979,5.46491697911,19.0546,19.0807,1.00136974799,0.136974798736,0.967684,0.967954,1.0002790167,0.02790167038
gap,bc,bc.twitter-309B,1,0.201307,0.201302,0.999975162314,-0.00248376857238,42.7171,42.723,1.00013811799,0.0138117990219,0.988543,0.987661,0.99910777781,-0.0892222189626
gap,bc,bc.twitter-876B,1,0.177681,0.178739,1.00595449148,0.59544914763,66.4201,67.46,1.01565640521,1.56564052147,0.947395,0.947937,1.00057209506,0.0572095060666
gap,bc,bc.urand-3004B,1,0.328246,0.328411,1.00050267178,0.0502671776655,10.8155,10.8156,1.00000924599,0.000924598955199,0.982582,0.982583,1.00000101773,0.000101772676486
gap,bfs,bfs.kron-128B,1,0.457781,0.531369,1.16074935395,16.0749353949,1.09597,1.09597,1,0,0.930831,0.930436,0.999575647996,-0.0424352003747
gap,bfs,bfs.kron-542B,1,0.186341,0.202886,1.08878883338,8.87888333754,17.5749,17.6367,1.00351637847,0.351637847157,0.498021,0.498056,1.00007027816,0.00702781609612
gap,bfs,bfs.road-112B,1,0.19069,0.19063,0.999685353191,-0.0314646808957,7.89187,7.90594,1.00178284741,0.178284741132,0.608647,0.607256,0.997714603046,-0.228539695423
gap,bfs,bfs.road-128B,1,0.168263,0.168102,0.99904316457,-0.0956835430249,9.7341,9.74195,1.00080644333,0.0806443328094,0.638803,0.637227,0.997532885725,-0.246711427467
gap,bfs,bfs.road-140B,1,0.173848,0.173649,0.99885532189,-0.114467810961,8.58808,8.59744,1.00108988272,0.108988272117,0.638807,0.636687,0.996681313761,-0.331868623857
gap,bfs,bfs.road-19B,1,0.235392,0.23557,1.00075618543,0.0756185426863,2.2794,2.28996,1.0046327981,0.463279810476,0.177571,0.177948,1.00212309442,0.21230944242
gap,bfs,bfs.twitter-10B,1,0.300544,0.365355,1.21564562926,21.5645629259,2.77427,2.7745,1.00008290469,0.00829046920452,0.587278,0.586284,0.998307445537,-0.169255446313
gap,bfs,bfs.twitter-160B,1,0.185826,0.200985,1.08157631333,8.15763133254,2.71298,2.77049,1.02119809213,2.11980921348,0.0762602,0.0769862,1.00952003798,0.952003797525
gap,bfs,bfs.twitter-163B,1,0.276105,0.323116,1.17026493544,17.0264935441,3.09866,3.09893,1.00008713444,0.00871344387574,0.555445,0.554644,0.998557913025,-0.144208697531
