dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,100000002,145668332,0.686491,1118793,831002,287791,2.87791,0.257233,287740,0.257188,51,4.55848e-05,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,100000001,823603742,0.121418,9912845,9003935,908910,9.0891,0.0916901,908910,0.0916901,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,100000000,836430632,0.119556,14592891,14310410,282481,2.82481,0.0193574,282480,0.0193574,1,6.85265e-08,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,100000000,138865637,0.720121,488441,173610,314831,3.14831,0.644563,314831,0.644563,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,100000002,631686264,0.158306,7887159,6836713,1050446,10.5045,0.133184,1050446,0.133184,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,100000004,107553840,0.929767,218105,13,218092,2.18092,0.99994,218092,0.99994,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,100000005,92430163,1.0819,125521,4626,120895,1.20895,0.963146,120890,0.963106,5,3.9834e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,100000003,89261008,1.12031,196199,17,196182,1.96182,0.999913,196181,0.999908,1,5.09687e-06,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,100000002,53242301,1.87821,2756258,1852725,903533,9.03533,0.327811,901691,0.327143,0,0,1842,0.000668297,0,0,0,0
spec06,450.soplex,450.soplex-247B,100000000,168676576,0.592851,781047,675060,105987,1.05987,0.135699,105987,0.135699,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,100000000,92297293,1.08346,1358796,1180941,177855,1.77855,0.130892,177853,0.13089,2,1.47189e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,100000003,86528885,1.15568,661985,554244,107741,1.07741,0.162754,107739,0.162751,0,0,2,3.02122e-06,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,100000005,94326895,1.06014,326975,100731,226244,2.26244,0.691931,226243,0.691928,1,3.05834e-06,0,0,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,100000002,244019268,0.409804,1929558,1477503,452055,4.52055,0.234279,451503,0.233993,552,0.000286076,0,0,0,0,0,0
spec06,473.astar,473.astar-359B,100000002,515475924,0.193995,3359692,1647638,1712054,17.1205,0.509587,1712054,0.509587,0,0,0,0,0,0,0,0
spec06,473.astar,473.astar-42B,100000000,192352328,0.519879,2337233,1785715,551518,5.51518,0.23597,551510,0.235967,8,3.42285e-06,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,100000000,337754828,0.296073,429851,83023,346828,3.46828,0.806856,341527,0.794524,5301,0.0123322,0,0,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,100000000,209089566,0.478264,135948,4571,131377,1.31377,0.966377,131377,0.966377,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,100000003,200244534,0.499389,2445738,206430,2239308,22.3931,0.915596,2239308,0.915596,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,100000005,500759253,0.199697,2959311,537737,2421574,24.2157,0.81829,2421574,0.81829,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,100000002,176598191,0.566257,299072,169246,129826,1.29826,0.434096,129826,0.434096,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,100000001,704215234,0.142002,8522950,8409774,113176,1.13176,0.013279,113176,0.013279,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,100000001,242118196,0.413021,1622400,814693,807707,8.07707,0.497847,807707,0.497847,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,100000002,213523942,0.468332,2249860,1763692,486168,4.86168,0.216088,484487,0.215341,1681,0.000747158,0,0,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-874B,100000000,194352809,0.514528,2058853,1631342,427511,4.27511,0.207645,425384,0.206612,2127,0.0010331,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,100000004,148036075,0.675511,724110,242931,481179,4.81179,0.664511,476058,0.657439,5121,0.00707213,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,100000000,84752029,1.17991,2330886,2202362,128524,1.28524,0.0551395,126739,0.0543737,1785,0.000765803,0,0,0,0,0,0
