dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,100000002,148705539,0.67247,1118751,830957,287794,2.87794,0.257246,287743,0.2572,51,4.55866e-05,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,100000003,823187894,0.121479,9912929,9004024,908905,9.08905,0.0916888,908905,0.0916888,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,100000004,837983209,0.119334,14593109,14310620,282489,2.82489,0.0193577,282488,0.0193576,1,6.85255e-08,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,100000002,182115767,0.549101,487174,172327,314847,3.14847,0.646272,314847,0.646272,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,100000002,631499347,0.158353,7887350,6836928,1050422,10.5042,0.133178,1050422,0.133178,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,100000000,118110894,0.846662,218105,13,218092,2.18092,0.99994,218092,0.99994,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,100000001,109346709,0.914522,125521,4625,120896,1.20896,0.963154,120891,0.963114,5,3.9834e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,100000003,109094410,0.916637,196199,17,196182,1.96182,0.999913,196181,0.999908,1,5.09687e-06,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,100000002,53451979,1.87084,2575499,1647546,927953,9.27953,0.3603,927953,0.3603,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-247B,100000000,200298130,0.499256,780903,674923,105980,1.0598,0.135715,105980,0.135715,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,100000002,98216695,1.01816,1357934,1180231,177703,1.77703,0.130863,177701,0.130861,2,1.47283e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,100000003,104211489,0.959587,641514,533766,107748,1.07748,0.167959,107748,0.167959,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,100000005,106555538,0.938478,329037,102805,226232,2.26232,0.687558,226231,0.687555,1,3.03917e-06,0,0,0,0,0,0
