dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,403.gcc,1,0.67247,2.87794,0.257246,0.2572,4.55866e-05,0,0,0,0.999822789912,0.000177210087771,0,0,0
spec06,429.mcf,4,0.188423898063,6.3916525,0.222624125,0.2226241,1.7131375e-08,0,0,0,0.99999911501,8.84990212008e-07,0,0,0
spec06,433.milc,3,0.892004823953,1.7839,0.987669,0.987654,1.49769566667e-05,0,0,0,0.999984514944,1.54850563015e-05,0,0,0
spec06,436.cactusADM,1,1.87084,9.27953,0.3603,0.3603,0,0,0,0,1,0,0,0,0
spec06,450.soplex,1,0.499256,1.0598,0.135715,0.135715,0,0,0,0,1,0,0,0,0
spec06,459.GemsFDTD,3,0.971497068303,1.70561,0.328793333333,0.328791666667,1.504e-06,0,0,0,0.999994775008,5.22499173029e-06,0,0,0
spec06,471.omnetpp,1,0.405785,4.52053,0.234227,0.233941,0.000286014,0,0,0,0.998778904244,0.00122109575647,0,0,0
spec06,473.astar,2,0.316045298272,11.317755,0.37285,0.372848,1.711415e-06,0,0,0,0.999992747461,7.25253884188e-06,0,0,0
spec06,483.xalancbmk,1,0.295599,3.46821,0.806848,0.794515,0.0123323,0,0,0,0.984715458406,0.0152845415935,0,0,0
spec06,gmean_spec06,17,0.493808831696,4.69862705882,0.434112911765,0.433364729412,0.000748049107382,0,0,0,0.999013939846,0.000986060154139,0,0,0
spec17,602.gcc_s,1,0.184888,1.31377,0.966555,0.966555,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.279459167546,11.422988,0.53551306,0.53551306,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.490754584182,4.56837,0.2118585,0.2109685,0.000889874,0,0,0,0.995784524614,0.0042154753864,0,0,0
spec17,623.xalancbmk_s,3,0.934767216466,2.61802666667,0.2590597,0.2562656,0.002794195,0,0,0,0.988667147654,0.0113328523464,0,0,0
spec17,649.fotonik3d_s,1,0.72448,3.39597,0.737951,0.737951,0,0,0,0,1,0,0,0,0
spec17,gmean_spec17,12,0.434207352582,6.56795833333,0.465247283333,0.464400425,0.000846861083333,0,0,0,0.996464207682,0.00353579231766,0,0,0
gap,bc,11,0.309879358863,18.4036690909,0.802003272727,0.802003272727,0,0,0,0,1,0,0,0,0
gap,bfs,18,0.203353935367,9.84355388889,0.430427311111,0.4302402,0.000187179755556,0,0,0,0.999584332679,0.000415667321281,0,0,0
gap,cc,18,0.325066333242,12.6966483333,0.771845333333,0.771839666667,5.65694444444e-06,0,0,0,0.999992544746,7.45525356808e-06,0,0,0
gap,pr,8,0.0294937045098,146.5759375,0.905357875,0.905357875,0,0,0,0,1,0,0,0,0
gap,sssp,10,0.209859234481,53.080654,0.8255201,0.8254643,5.59497497e-05,0,0,0,0.999755862849,0.000244137151405,0,0,0
gap,tc,6,0.154089933375,14.4342183333,0.978281166667,0.978280833333,4.09576666667e-07,0,0,0,0.999999570586,4.29413815788e-07,0,0,0
gap,gmean_gap,71,0.192977177848,33.7772302817,0.730009783099,0.729953022535,5.68030360141e-05,0,0,0,0.999858307685,0.000141692314707,0,0,0
ligra,ligra_BC,1,0.526205,1.15198,0.216475,0.216472,3.75832e-06,0,0,0,0.999982638587,1.73614125245e-05,0,0,0
ligra,ligra_BFS,1,0.534416,1.04462,0.212995,0.212877,0.00011826,0,0,0,0.999444774176,0.000555225823745,0,0,0
ligra,ligra_BellmanFord,1,0.358564,6.16095,0.382423,0.382423,0,0,0,0,1,0,0,0,0
ligra,ligra_CF,1,1.03721,1.7573,0.510804,0.510804,0,0,0,0,1,0,0,0,0
ligra,ligra_Components,1,0.450421,3.1605,0.0468762,0.0468762,0,0,0,0,1,0,0,0,0
ligra,ligra_Components-Shortcut,1,0.466961,1.22046,0.0168343,0.0168343,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.583019361133,22.1737133333,0.566175333333,0.566169666667,5.47926666667e-06,0,0,0,0.999992687733,7.31226669299e-06,0,0,0
ligra,ligra_PageRankDelta,3,0.598356814594,3.5276,0.414685333333,0.414675666667,9.51797333333e-06,0,0,0,0.999975683394,2.43166057045e-05,0,0,0
ligra,ligra_Radii,3,0.268501324286,8.48613333333,0.329767733333,0.329766733333,8.5014e-07,0,0,0,0.999994374564,5.62543597129e-06,0,0,0
