trace_tag,dataset,workload,discard_stlb_demand_mpki,useful_vs_discard_miss_pct,demand_miss_reduction_pct,cross_pq_drop_rate_pct,trigger_translation_pct_of_requested,too_early_among_useless_pct,pollution_per_fill_pct,high_need_low_coverage_score
sssp.urand-3988B,gap,sssp,75.613,0.0033856616435879606,0.08860911332827864,36.445899999999995,3.1982616197211753,9.410612076522456,91.43976792712097,0.8218844605349396
sssp.urand-4819B,gap,sssp,72.4375,0.0035892996351476925,0.10473852435332899,35.633900000000004,3.0891740813018886,8.713828112275369,91.20402591145135,0.7969788708217597
sssp.urand-4669B,gap,sssp,73.4961,0.003768908491446074,0.10358375575949086,37.2869,3.251033217005714,11.067565449129958,91.12496136808488,0.7753503323866295
xs.XXL100nuclide-165B,xsbench,xsbench_XXL100nuclide,38.5532,0.002853198773020775,0.023110910061468277,24.1984,0.6315130278147186,23.08605341246291,78.05013927576601,0.7692643800131082
xs.XXL100nuclide-648B,xsbench,xsbench_XXL100nuclide,38.5851,0.003680173248043158,0.022728957313618663,23.3285,0.6613846027956752,20.85032032615026,76.16998386229156,0.749321182235261
sssp.urand-3381B,gap,sssp,76.4461,0.004303686427912795,0.0813514464899382,34.7587,3.1228159451703603,13.859308608298798,91.4397689768977,0.740800848912331
sssp.kron-246B,gap,sssp,74.7022,0.004912838612716113,0.10805567651728737,69.7257,1.377834283736816,19.321284169056916,86.16229866229867,0.7268811834836616
xs.XL100nuclide-829B,xsbench,xsbench_XL100nuclide,36.7065,0.00335090515303829,0.024546061324288614,20.3703,0.6624320334645868,21.277747698971304,80.45685279187818,0.7256327829967854
xs.XXL100nuclide-324B,xsbench,xsbench_XXL100nuclide,38.5244,0.0037119283987182166,0.022686891052305744,24.9351,0.6180930870371865,22.22877358490566,78.14029363784665,0.7207952311101402
xs.XL64nuclide-355B,xsbench,xsbench_XL64nuclide,36.7,0.0035422314368680355,0.02553131427957961,21.7367,0.6159010921936079,21.561969439728355,81.91881918819189,0.7114946474829125
