outcome,predictor,spearman_rho,p_value,n
demand_miss_reduction_pct,discard_stlb_demand_mpki,-0.39584667210679386,4.142566565873628e-08,179
demand_miss_reduction_pct,cross_requested_mpki,0.7951415479254283,2.6723867272950453e-40,179
demand_miss_reduction_pct,cross_pq_drop_rate_pct,0.5830382223324925,1.0978892342885739e-17,179
demand_miss_reduction_pct,reach_stlb_pct_of_requested,-0.1733807605890772,0.0202851112025217,179
demand_miss_reduction_pct,trigger_translation_pct_of_requested,0.008593398546267214,0.9091042413625157,179
demand_miss_reduction_pct,useful_pct_of_requested,-0.12579021794011572,0.09337850069295349,179
demand_miss_reduction_pct,fill_productivity_pct,-0.1573538582761058,0.03811506299045882,174
demand_miss_reduction_pct,useful_vs_discard_miss_pct,0.7198828193114679,7.064272066485208e-30,179
demand_miss_reduction_pct,too_early_among_useless_pct,-0.4390682180015562,1.3563840934030308e-09,174
demand_miss_reduction_pct,pollution_per_fill_pct,-0.640822944317587,1.6793490784318352e-21,174
permit_vs_discard_ipc_pct,discard_stlb_demand_mpki,-0.28871417737014826,8.874480895635597e-05,179
permit_vs_discard_ipc_pct,cross_requested_mpki,0.6573070818653336,1.6319484626185583e-23,179
permit_vs_discard_ipc_pct,cross_pq_drop_rate_pct,0.4826869509524514,7.781753511385772e-12,179
permit_vs_discard_ipc_pct,reach_stlb_pct_of_requested,-0.11814157177703843,0.1152393437818839,179
permit_vs_discard_ipc_pct,trigger_translation_pct_of_requested,0.03781376514176329,0.6152812725520064,179
permit_vs_discard_ipc_pct,useful_pct_of_requested,-0.1613490494238636,0.030948215155515102,179
permit_vs_discard_ipc_pct,fill_productivity_pct,-0.24580776216450126,0.0010778904087910934,174
permit_vs_discard_ipc_pct,useful_vs_discard_miss_pct,0.4933816504882369,2.2661718351218324e-12,179
permit_vs_discard_ipc_pct,too_early_among_useless_pct,-0.5008420401622183,1.949658620058757e-12,174
permit_vs_discard_ipc_pct,pollution_per_fill_pct,-0.49284813948743533,4.904370374868657e-12,174
