level,dataset,workload,label,aggregation,num_traces,stlb_coverage_pct_logged,stlb_coverage_pct_logged_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,1.69448,1
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,0.34652225000000003,4
workload,spec06,433.milc,433.milc,trace_equal_amean,3,21.634066666666666,3
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,0.165791,1
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,8.15787,1
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,64.82279333333334,3
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,9.119779999999999,1
workload,spec06,473.astar,473.astar,trace_equal_amean,2,12.036755000000001,2
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,0.0252785,1
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,2.48828,1
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,8.47911604,5
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,1.239192,2
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,1.0426486666666668,3
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,97.1438,1
workload,gap,bc,bc,trace_equal_amean,11,0.06843777127272727,11
workload,gap,bfs,bfs,trace_equal_amean,18,0.477058311111111,18
workload,gap,cc,cc,trace_equal_amean,18,0.5358961790000001,18
workload,gap,pr,pr,trace_equal_amean,8,0.0289931,8
workload,gap,sssp,sssp,trace_equal_amean,10,0.044522266,10
workload,gap,tc,tc,trace_equal_amean,6,0.04248639166666667,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,3.51677,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,2.69622,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,0.0994432,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,1.04311,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,2.41826,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,5.28894,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,0.47006966666666666,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,0.17010999999999998,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,2.8189836666666666,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,16.868783333333333,3
workload,qmm,qmm_int,int,trace_equal_amean,8,7.284828525,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,0.002809581210526316,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,0.18382069,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,1.284503,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.0038403674999999996,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,2.53652,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.44773146,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.0035430099999999996,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,2.54781,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.6995345933333333,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.3022662657142857,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,0.256123,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,0.13289027500000003,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.09082886333333334,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,0.25841800000000004,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,17.88196344117647,17
benchmark,spec17,,amean_spec17,trace_equal_amean,12,12.302832516666667,12
benchmark,gap,,amean_gap,trace_equal_amean,71,0.2805363678309859,71
benchmark,ligra,,amean_ligra,trace_equal_amean,15,1.6960155466666669,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,3.6312786747666665,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,0.18382069,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.49410639928571437,28
all,all,,amean_all,trace_equal_amean,179,3.468502500441341,179
