level,dataset,workload,label,aggregation,num_traces,stlb_late_among_useful_pct,stlb_late_among_useful_pct_n,stlb_cross_late,stlb_cross_late_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,0.0,1,0.0,1
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,0.0,4,0.0,4
workload,spec06,433.milc,433.milc,trace_equal_amean,3,0.0,2,0.0,3
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,0.0,1,0.0,1
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,0.0,1,0.0,1
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,0.0,3,0.0,3
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,0.0,1,0.0,1
workload,spec06,473.astar,473.astar,trace_equal_amean,2,0.0,2,0.0,2
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,0.0,1,0.0,1
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,0.0,1,0.0,1
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,0.0,5,0.0,5
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,0.0,2,0.0,2
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,0.0,3,0.0,3
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,0.0,1,0.0,1
workload,gap,bc,bc,trace_equal_amean,11,0.0,11,0.0,11
workload,gap,bfs,bfs,trace_equal_amean,18,0.0,18,0.0,18
workload,gap,cc,cc,trace_equal_amean,18,0.0,18,0.0,18
workload,gap,pr,pr,trace_equal_amean,8,0.0,8,0.0,8
workload,gap,sssp,sssp,trace_equal_amean,10,0.0,10,0.0,10
workload,gap,tc,tc,trace_equal_amean,6,0.0,6,0.0,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,0.0,1,0.0,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,0.0,1,0.0,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,0.0,1,0.0,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,0.0,1,0.0,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,0.0,1,0.0,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,0.0,1,0.0,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,0.0,3,0.0,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,0.0,3,0.0,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,0.0,3,0.0,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,0.0,3,0.0,3
workload,qmm,qmm_int,int,trace_equal_amean,8,0.0,7,0.0,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,0.0,10,0.0,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,0.0,6,0.0,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,0.0,2,0.0,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.0,4,0.0,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,0.0,1,0.0,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.0,2,0.0,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.0,1,0.0,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,0.0,1,0.0,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.0,3,0.0,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.0,7,0.0,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,0.0,1,0.0,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,0.0,2,0.0,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.0,3,0.0,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,0.0,1,0.0,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,0.0,16,0.0,17
benchmark,spec17,,amean_spec17,trace_equal_amean,12,0.0,12,0.0,12
benchmark,gap,,amean_gap,trace_equal_amean,71,0.0,71,0.0,71
benchmark,ligra,,amean_ligra,trace_equal_amean,15,0.0,15,0.0,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,0.0,20,0.0,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,0.0,6,0.0,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.0,28,0.0,28
all,all,,amean_all,trace_equal_amean,179,0.0,168,0.0,179
