level,dataset,workload,label,aggregation,num_traces,stlb_pollution_candidate_among_cross_fill_pct,stlb_pollution_candidate_among_cross_fill_pct_n,stlb_cross_pollution_evict,stlb_cross_pollution_evict_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,42.91804831833254,1,13590.0,1
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,63.930436780349986,4,1128.5,4
workload,spec06,433.milc,433.milc,trace_equal_amean,3,0.008967488800338893,3,19.0,3
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,81.04410201912859,1,6101.0,1
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,23.513911713039043,1,8299.0,1
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,15.568273318762225,3,8860.666666666666,3
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,27.949165506285667,1,42753.0,1
workload,spec06,473.astar,473.astar,trace_equal_amean,2,57.25092216231204,2,74281.5,2
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,89.69842540699227,1,3361.0,1
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,0.1136810077486981,1,136.0,1
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,47.05290209260967,5,6748.4,5
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,66.35926926885465,2,11993.5,2
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,76.94930496942038,3,3635.6666666666665,3
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,0.20901638132629322,1,707.0,1
workload,gap,bc,bc,trace_equal_amean,11,66.18885469170078,11,9852.0,11
workload,gap,bfs,bfs,trace_equal_amean,18,71.13829395421152,18,23000.055555555555,18
workload,gap,cc,cc,trace_equal_amean,18,56.12238735701804,18,21180.444444444445,18
workload,gap,pr,pr,trace_equal_amean,8,96.43723703384653,8,25768.25,8
workload,gap,sssp,sssp,trace_equal_amean,10,79.27768446456197,10,19287.3,10
workload,gap,tc,tc,trace_equal_amean,6,39.82008263970275,6,4361.333333333333,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,15.675134468065291,1,6732.0,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,12.035252979376294,1,3373.0,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,95.67215473145781,1,23941.0,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,35.95169082125604,1,3721.0,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,87.53492959289902,1,15976.0,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,58.85236628747408,1,9364.0,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,67.51108271130084,3,39578.0,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,48.15124542293227,3,5889.333333333333,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,77.34191193988845,3,17290.666666666668,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,30.386340608264067,3,18624.666666666668,3
workload,qmm,qmm_int,int,trace_equal_amean,8,40.126902753896495,8,9945.625,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,93.75771697140229,14,57.94736842105263,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,94.92757936842993,6,821.6666666666666,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,36.23324448072239,2,1098.0,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,81.26724719636337,4,1544.75,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,40.21469859620149,1,1948.0,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,43.55876707688834,2,1479.0,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,81.91881918819189,1,1554.0,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,38.798701298701296,1,1912.0,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,27.94959075287095,3,850.0,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,70.91468493001948,7,1464.0,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,55.72232645403376,1,2673.0,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,38.53914334159109,2,1418.5,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,69.22477793201723,3,1755.3333333333333,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,55.96157861766549,1,2680.0,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,40.12229216661705,17,14930.588235294117,17
benchmark,spec17,,amean_spec17,trace_equal_amean,12,49.92947177484114,12,5789.916666666667,12
benchmark,gap,,amean_gap,trace_equal_amean,71,67.91499861923168,71,18715.605633802817,71
benchmark,ligra,,amean_ligra,trace_equal_amean,15,58.98228327352622,15,16758.733333333334,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,68.99129125822385,25,4551.333333333333,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,94.92757936842993,6,821.6666666666666,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,57.93833297512329,28,1535.75,28
all,all,,amean_all,trace_equal_amean,179,62.66984402395721,174,11664.575418994413,179
