level,dataset,workload,label,aggregation,num_traces,vberti_end_to_end_accuracy_pct,vberti_end_to_end_accuracy_pct_n
workload,spec06,403.gcc,403.gcc,trace_equal_amean,1,,0
workload,spec06,429.mcf,429.mcf,trace_equal_amean,4,,0
workload,spec06,433.milc,433.milc,trace_equal_amean,3,,0
workload,spec06,436.cactusADM,436.cactusADM,trace_equal_amean,1,,0
workload,spec06,450.soplex,450.soplex,trace_equal_amean,1,,0
workload,spec06,459.GemsFDTD,459.GemsFDTD,trace_equal_amean,3,,0
workload,spec06,471.omnetpp,471.omnetpp,trace_equal_amean,1,,0
workload,spec06,473.astar,473.astar,trace_equal_amean,2,,0
workload,spec06,483.xalancbmk,483.xalancbmk,trace_equal_amean,1,,0
workload,spec17,602.gcc_s,602.gcc_s,trace_equal_amean,1,,0
workload,spec17,605.mcf_s,605.mcf_s,trace_equal_amean,5,,0
workload,spec17,620.omnetpp_s,620.omnetpp_s,trace_equal_amean,2,,0
workload,spec17,623.xalancbmk_s,623.xalancbmk_s,trace_equal_amean,3,,0
workload,spec17,649.fotonik3d_s,649.fotonik3d_s,trace_equal_amean,1,,0
workload,gap,bc,bc,trace_equal_amean,11,,0
workload,gap,bfs,bfs,trace_equal_amean,18,,0
workload,gap,cc,cc,trace_equal_amean,18,4.601081107966487,11
workload,gap,pr,pr,trace_equal_amean,8,1.2787829909424457,8
workload,gap,sssp,sssp,trace_equal_amean,10,1.3847535737539083,10
workload,gap,tc,tc,trace_equal_amean,6,1.5948361888882374,6
workload,ligra,ligra_BC,ligra_BC,trace_equal_amean,1,2.1604178631978748,1
workload,ligra,ligra_BFS,ligra_BFS,trace_equal_amean,1,1.1123372449531004,1
workload,ligra,ligra_BellmanFord,ligra_BellmanFord,trace_equal_amean,1,2.5239342091613133,1
workload,ligra,ligra_CF,ligra_CF,trace_equal_amean,1,2.439349499648123,1
workload,ligra,ligra_Components,ligra_Components,trace_equal_amean,1,2.618725223946005,1
workload,ligra,ligra_Components-Shortcut,ligra_Components-Shortcut,trace_equal_amean,1,2.538018877148987,1
workload,ligra,ligra_PageRank,ligra_PageRank,trace_equal_amean,3,2.232193760971861,3
workload,ligra,ligra_PageRankDelta,ligra_PageRankDelta,trace_equal_amean,3,3.318069517377154,3
workload,ligra,ligra_Radii,ligra_Radii,trace_equal_amean,3,1.4190953935339923,3
workload,qmm,qmm_fp,fp,trace_equal_amean,3,12.71468249924727,3
workload,qmm,qmm_int,int,trace_equal_amean,8,8.038907359360447,8
workload,qmm,qmm_srv,srv,trace_equal_amean,19,1.2294074104343538,19
workload,parsec,parsec_canneal,canneal,trace_equal_amean,6,2.7036173469880214,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,0.7911471947830288,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.011629555338417384,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,0.5939705059617584,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.8423975635237274,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.016806730364783688,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,0.5832498391004178,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.9026062746755551,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.09455471646825064,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,0.7695284161761785,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,0.9050806665737265,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.2635686174085958,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,0.7814359452946751,1
benchmark,spec06,,amean_spec06,trace_equal_amean,17,,0
benchmark,spec17,,amean_spec17,trace_equal_amean,12,,0
benchmark,gap,,amean_gap,trace_equal_amean,71,2.407391685315412,35
benchmark,ligra,,amean_ligra,trace_equal_amean,15,2.2867239289136285,15
benchmark,qmm,,amean_qmm,trace_equal_amean,30,4.193801572362604,30
benchmark,parsec,,amean_parsec,trace_equal_amean,6,2.7036173469880214,6
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.4296131499836663,28
all,all,,amean_all,trace_equal_amean,179,2.3914428716850247,114
