level,dataset,workload,label,aggregation,num_traces,stlb_accuracy_pct,stlb_accuracy_pct_n
workload,gap,bc,bc,trace_equal_amean,11,8.596343000000001,11
workload,gap,bfs,bfs,trace_equal_amean,18,5.3165402111111115,18
workload,gap,cc,cc,trace_equal_amean,18,8.611710944444447,18
workload,gap,pr,pr,trace_equal_amean,8,12.2789575,8
workload,gap,sssp,sssp,trace_equal_amean,10,3.2371806,10
workload,gap,tc,tc,trace_equal_amean,6,1.7122993333333334,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,12.9907,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,2.8466475,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,23.8947,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,12.751595,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,2.7162599999999997,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,23.3844,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,9.0642,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,6.245757142857143,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,27.161099999999998,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,14.766105,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,12.347770000000002,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,27.5561,1
benchmark,gap,,amean_gap,trace_equal_amean,71,6.8471205042253525,71
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,10.895434285714286,28
all,all,,amean_all,trace_equal_amean,99,7.9920981393939385,99
