level,dataset,workload,label,aggregation,num_traces,stlb_late_among_useful_pct,stlb_late_among_useful_pct_n,stlb_cross_late,stlb_cross_late_n
workload,gap,bc,bc,trace_equal_amean,11,0.0,11,0.0,11
workload,gap,bfs,bfs,trace_equal_amean,18,0.0,18,0.0,18
workload,gap,cc,cc,trace_equal_amean,18,0.0,18,0.0,18
workload,gap,pr,pr,trace_equal_amean,8,0.0,8,0.0,8
workload,gap,sssp,sssp,trace_equal_amean,10,0.0,10,0.0,10
workload,gap,tc,tc,trace_equal_amean,6,0.0,6,0.0,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,0.0,2,0.0,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.0,4,0.0,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,0.0,1,0.0,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.0,2,0.0,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.0,1,0.0,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,0.0,1,0.0,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.0,3,0.0,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.0,7,0.0,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,0.0,1,0.0,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,0.0,2,0.0,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.0,3,0.0,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,0.0,1,0.0,1
benchmark,gap,,amean_gap,trace_equal_amean,71,0.0,71,0.0,71
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.0,28,0.0,28
all,all,,amean_all,trace_equal_amean,99,0.0,99,0.0,99
