level,dataset,workload,label,aggregation,num_traces,stlb_pollution_candidate_among_cross_fill_pct,stlb_pollution_candidate_among_cross_fill_pct_n,stlb_cross_pollution_evict,stlb_cross_pollution_evict_n
workload,gap,bc,bc,trace_equal_amean,11,66.18885469170078,11,9852.0,11
workload,gap,bfs,bfs,trace_equal_amean,18,71.13829395421152,18,23000.055555555555,18
workload,gap,cc,cc,trace_equal_amean,18,56.12238735701804,18,21180.444444444445,18
workload,gap,pr,pr,trace_equal_amean,8,96.43723703384653,8,25768.25,8
workload,gap,sssp,sssp,trace_equal_amean,10,79.27768446456197,10,19287.3,10
workload,gap,tc,tc,trace_equal_amean,6,39.82008263970275,6,4361.333333333333,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,36.23324448072239,2,1098.0,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,81.26724719636337,4,1544.75,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,40.21469859620149,1,1948.0,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,43.55876707688834,2,1479.0,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,81.91881918819189,1,1554.0,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,38.798701298701296,1,1912.0,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,27.94959075287095,3,850.0,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,70.91468493001948,7,1464.0,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,55.72232645403376,1,2673.0,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,38.53914334159109,2,1418.5,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,69.22477793201723,3,1755.3333333333333,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,55.96157861766549,1,2680.0,1
benchmark,gap,,amean_gap,trace_equal_amean,71,67.91499861923168,71,18715.605633802817,71
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,57.93833297512329,28,1535.75,28
all,all,,amean_all,trace_equal_amean,99,65.09331540675657,99,13856.656565656565,99
