level,dataset,workload,label,aggregation,num_traces,vberti_end_to_end_accuracy_pct,vberti_end_to_end_accuracy_pct_n
workload,gap,bc,bc,trace_equal_amean,11,,0
workload,gap,bfs,bfs,trace_equal_amean,18,,0
workload,gap,cc,cc,trace_equal_amean,18,4.601081107966487,11
workload,gap,pr,pr,trace_equal_amean,8,1.2787829909424457,8
workload,gap,sssp,sssp,trace_equal_amean,10,1.3847535737539083,10
workload,gap,tc,tc,trace_equal_amean,6,1.5948361888882374,6
workload,xsbench,xsbench_XL100hash,XL100hash,trace_equal_amean,2,0.7911471947830288,2
workload,xsbench,xsbench_XL100nuclide,XL100nuclide,trace_equal_amean,4,0.011629555338417384,4
workload,xsbench,xsbench_XL100unionized,XL100unionized,trace_equal_amean,1,0.5939705059617584,1
workload,xsbench,xsbench_XL64hash,XL64hash,trace_equal_amean,2,0.8423975635237274,2
workload,xsbench,xsbench_XL64nuclide,XL64nuclide,trace_equal_amean,1,0.016806730364783688,1
workload,xsbench,xsbench_XL64unionized,XL64unionized,trace_equal_amean,1,0.5832498391004178,1
workload,xsbench,xsbench_XXL100hash,XXL100hash,trace_equal_amean,3,0.9026062746755551,3
workload,xsbench,xsbench_XXL100nuclide,XXL100nuclide,trace_equal_amean,7,0.09455471646825064,7
workload,xsbench,xsbench_XXL100unionized,XXL100unionized,trace_equal_amean,1,0.7695284161761785,1
workload,xsbench,xsbench_XXL64hash,XXL64hash,trace_equal_amean,2,0.9050806665737265,2
workload,xsbench,xsbench_XXL64nuclide,XXL64nuclide,trace_equal_amean,3,0.2635686174085958,3
workload,xsbench,xsbench_XXL64unionized,XXL64unionized,trace_equal_amean,1,0.7814359452946751,1
benchmark,gap,,amean_gap,trace_equal_amean,71,2.407391685315412,35
benchmark,xsbench,,amean_xsbench,trace_equal_amean,28,0.4296131499836663,28
all,all,,amean_all,trace_equal_amean,99,1.528379002945747,63
