trace_tag,missing_configs
403.gcc-17B,"Permit PGC,Discard PGC,No L1D Prefetch"
429.mcf-184B,"Permit PGC,Discard PGC,No L1D Prefetch"
429.mcf-192B,"Permit PGC,Discard PGC,No L1D Prefetch"
429.mcf-22B,"Permit PGC,Discard PGC,No L1D Prefetch"
429.mcf-51B,"Permit PGC,Discard PGC,No L1D Prefetch"
433.milc-127B,"Permit PGC,Discard PGC,No L1D Prefetch"
433.milc-274B,"Permit PGC,Discard PGC,No L1D Prefetch"
433.milc-337B,"Permit PGC,Discard PGC,No L1D Prefetch"
436.cactusADM-1804B,"Permit PGC,Discard PGC,No L1D Prefetch"
450.soplex-247B,"Permit PGC,Discard PGC,No L1D Prefetch"
459.GemsFDTD-1169B,"Permit PGC,Discard PGC,No L1D Prefetch"
459.GemsFDTD-1211B,"Permit PGC,Discard PGC,No L1D Prefetch"
459.GemsFDTD-765B,"Permit PGC,Discard PGC,No L1D Prefetch"
471.omnetpp-188B,"Permit PGC,Discard PGC,No L1D Prefetch"
473.astar-359B,"Permit PGC,Discard PGC,No L1D Prefetch"
473.astar-42B,"Permit PGC,Discard PGC,No L1D Prefetch"
483.xalancbmk-127B,"Permit PGC,Discard PGC,No L1D Prefetch"
602.gcc_s-2226B,"Permit PGC,Discard PGC,No L1D Prefetch"
605.mcf_s-1536B,"Permit PGC,Discard PGC,No L1D Prefetch"
605.mcf_s-1644B,"Permit PGC,Discard PGC,No L1D Prefetch"
605.mcf_s-472B,"Permit PGC,Discard PGC,No L1D Prefetch"
605.mcf_s-782B,"Permit PGC,Discard PGC,No L1D Prefetch"
605.mcf_s-994B,"Permit PGC,Discard PGC,No L1D Prefetch"
620.omnetpp_s-141B,"Permit PGC,Discard PGC,No L1D Prefetch"
620.omnetpp_s-874B,"Permit PGC,Discard PGC,No L1D Prefetch"
623.xalancbmk_s-10B,"Permit PGC,Discard PGC,No L1D Prefetch"
623.xalancbmk_s-592B,"Permit PGC,Discard PGC,No L1D Prefetch"
623.xalancbmk_s-700B,"Permit PGC,Discard PGC,No L1D Prefetch"
649.fotonik3d_s-10881B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.kron-2608B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.kron-5154B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.road-131B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.road-174B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.road-79B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.road-95B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.twitter-1658B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.twitter-2320B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.twitter-309B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.twitter-876B,"Permit PGC,Discard PGC,No L1D Prefetch"
bc.urand-3004B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.kron-128B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.kron-542B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.road-112B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.road-128B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.road-140B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.road-19B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.twitter-10B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.twitter-160B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.twitter-163B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.twitter-242B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.twitter-408B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.twitter-44B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.urand-118B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.urand-161B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.urand-356B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.urand-36B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.urand-410B,"Permit PGC,Discard PGC,No L1D Prefetch"
bfs.urand-60B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.kron-10B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.kron-17B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.kron-78B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.kron-82B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.kron-99B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.twitter-10B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.twitter-15B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.twitter-16B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.twitter-17B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.twitter-25B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.twitter-69B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.twitter-78B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.twitter-85B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.urand-353B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.web-101B,"Permit PGC,Discard PGC,No L1D Prefetch"
cc.web-13B,"Permit PGC,Discard PGC,No L1D Prefetch"
