Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.1212,0.1214,0.1215,-0.164744645799%,-0.246913580247%
Core_0_L1D_demand_MPKI,154.821,154.935,155.26,-0.0735792429083%,-0.28275151359%
Core_0_L2C_demand_MPKI,84.4638,84.4257,84.4331,0.0451284383784%,0.0363601478567%
Core_0_LLC_demand_MPKI,61.6844,61.595,61.5531,0.145141651108%,0.213311758465%
Core_0_L1D_prefetch_requested,1956070,1249185,0,56.5876951773%,
Core_0_L1D_prefetch_issued,1759847,1195114,0,47.2534837681%,
Core_0_L1D_prefetch_useful,15845,15561,0,1.82507550929%,
Core_0_L1D_prefetch_useless,26117,11708,0,123.069695934%,
Core_0_L1D_prefetch_late,649,472,0,37.5%,
Core_0_L1D_prefetch_accuracy,0.00900362,0.0130205,0,-30.850428171%,
Core_0_L1D_prefetch_coverage,0.00102239,0.00100335,0,1.8976428963%,
Core_0_vBerti_Requested,1956070,1249185,0,56.5876951773%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,656482,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,1299588,1249185,0,4.03487073572%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.335613,0,0,,
Core_0_vBerti_Issued,1759847,1195114,0,47.2534837681%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.315878,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.100315,0.043285,0,131.754649417%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.153218,0,0,,
Core_0_DTLB_demand_mpki,138.727,139.027,139.138,-0.215785422975%,-0.295390188159%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch,481113,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,367969,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,113144,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,26127,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.235171,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.13144,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,481113,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,481113,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,18926,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,68091,0,0,,
Core_0_DTLB_cross_page_prefetch_late,10,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.039338,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0013624,0,0,,
Core_0_STLB_demand_access,9905831,9912845,9912929,-0.0707566798432%,-0.0716034584733%
Core_0_STLB_demand_hit,8997270,9003935,9004024,-0.0740231909715%,-0.0750109062348%
Core_0_STLB_demand_miss,908561,908910,908905,-0.0383976411306%,-0.0378477398628%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.0917198,0.0916901,0.0916888,0.0323917194986%,0.0338100182356%
Core_0_STLB_demand_mpki,9.08561,9.0891,9.08905,-0.0383976411306%,-0.0378477398628%
Core_0_STLB_vberti_prefetch_access,87017,0,0,,
Core_0_STLB_vberti_prefetch_hit,86319,0,0,,
Core_0_STLB_vberti_prefetch_miss,698,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.00802142,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.00698,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,87017,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,86319,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,698,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.00802142,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.00698,0,0,,
Core_0_STLB_cross_page_prefetch_issued,87017,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,87017,0,0,,
Core_0_STLB_cross_page_prefetch_useful,434,0,0,,
Core_0_STLB_cross_page_prefetch_useless,264,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,110,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.416667,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,651,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.932665,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.00498753,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.00047745,0,0,,
DRAM_read_traffic_MPKI,65.7355,65.5322,65.4117,0.310229169782%,0.495018475288%
cache_demand.count,6168440,6159502,6155306,0.145109133823%,0.213376881669%
cache_prefetch.count,29395,19989,9990,47.0558807344%,194.244244244%
stlb_demand.count,375690,373733,375870,0.523635857684%,-0.0478888977572%
stlb_prefetch.count,23,0,0,,
stlb_miss_touch_dram.count,383009,380961,383645,0.537587837075%,-0.165778258546%
stlb_miss_touch_dram.share,42.12,41.91,42.21,0.50107372942%,-0.213219616205%
