Metric,Permit PGC,Discard PGC,No L1D Prefetch,Permit vs Discard Δ%,Permit vs No L1D Prefetch Δ%
CPU 0 cumulative IPC,0.6084,0.5929,0.4993,2.61426884804%,21.8505908272%
Core_0_L1D_demand_MPKI,42.1537,43.6664,68.1725,-3.46421962882%,-38.1661227034%
Core_0_L2C_demand_MPKI,22.5991,23.4168,30.5273,-3.49193741246%,-25.9708523191%
Core_0_LLC_demand_MPKI,13.7311,14.3998,19.2186,-4.64381449742%,-28.5530683817%
Core_0_L1D_prefetch_requested,165009748,146582023,0,12.5716132325%,
Core_0_L1D_prefetch_issued,16938321,16497138,0,2.67430023317%,
Core_0_L1D_prefetch_useful,1319215,1253444,0,5.2472228516%,
Core_0_L1D_prefetch_useless,305629,274137,0,11.4876868135%,
Core_0_L1D_prefetch_late,105818,90733,0,16.6257039886%,
Core_0_L1D_prefetch_accuracy,0.0778835,0.0759795,0,2.50593910199%,
Core_0_L1D_prefetch_coverage,0.238359,0.223029,0,6.87354559273%,
Core_0_vBerti_Requested,165009748,146582023,0,12.5716132325%,
Core_0_vBerti_Cross_page_prefetch_in_Requested,19612407,0,0,,
Core_0_vBerti_Same_page_prefetch_in_Requested,145397341,146582023,0,-0.808204154748%,
Core_0_vBerti_Cross_page_prefetch_of_Requested,0.118856,0,0,,
Core_0_vBerti_Issued,16938321,16497138,0,2.67430023317%,
Core_0_vBerti_Cross_page_prefetch_of_Issued,0.0837897,0,0,,
Core_0_vBerti_PQ_Drop_Rate,0.89735,0.887455,0,1.11498611197%,
Core_0_vBerti_Cross_page_PQ_Drop_rate,0.927635,0,0,,
Core_0_DTLB_demand_mpki,11.2499,12.3396,12.8606,-8.83091834419%,-12.5242990218%
Core_0_DTLB_vberti_same_page_prefetch_mpki,0.00209,0.00184,0,13.5869565217%,
Core_0_DTLB_vberti_cross_page_prefetch,1095067,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_hit,965058,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss,130009,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mshr_merge,66791,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_miss_rate,0.118722,0,0,,
Core_0_DTLB_vberti_cross_page_prefetch_mpki,1.30009,0,0,,
Core_0_DTLB_cross_page_prefetch_issued,1095067,0,0,,
Core_0_DTLB_cross_page_prefetch_lookups,1095067,0,0,,
Core_0_DTLB_cross_page_prefetch_useful,47613,0,0,,
Core_0_DTLB_cross_page_prefetch_useless,15605,0,0,,
Core_0_DTLB_cross_page_prefetch_late,1298,0,0,,
Core_0_DTLB_cross_page_prefetch_accuracy,0.0434795,0,0,,
Core_0_DTLB_cross_page_prefetch_coverage,0.0406045,0,0,,
Core_0_STLB_demand_access,741851,780938,780903,-5.00513485065%,-5.00087718961%
Core_0_STLB_demand_hit,665127,674951,674923,-1.45551306687%,-1.4514248292%
Core_0_STLB_demand_miss,76724,105987,105980,-27.6099899044%,-27.6052085299%
Core_0_STLB_demand_mshr_merge,0,0,0,,
Core_0_STLB_demand_miss_rate,0.103422,0.135718,0.135715,-23.7964013616%,-23.7947168699%
Core_0_STLB_demand_mpki,0.76724,1.05987,1.0598,-27.6099899044%,-27.6052085299%
Core_0_STLB_vberti_prefetch_access,63347,109,0,58016.5137615%,
Core_0_STLB_vberti_prefetch_hit,28053,109,0,25636.6972477%,
Core_0_STLB_vberti_prefetch_miss,35294,0,0,,
Core_0_STLB_vberti_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_prefetch_miss_rate,0.557153,0,0,,
Core_0_STLB_vberti_prefetch_mpki,0.35294,0,0,,
Core_0_STLB_vberti_same_page_prefetch_mpki,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch,63218,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_hit,27924,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss,35294,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mshr_merge,0,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_miss_rate,0.55829,0,0,,
Core_0_STLB_vberti_cross_page_prefetch_mpki,0.35294,0,0,,
Core_0_STLB_cross_page_prefetch_issued,63218,0,0,,
Core_0_STLB_cross_page_prefetch_lookups,63218,0,0,,
Core_0_STLB_cross_page_prefetch_useful,6815,0,0,,
Core_0_STLB_cross_page_prefetch_useless,28479,0,0,,
Core_0_STLB_cross_page_prefetch_late,0,0,0,,
Core_0_STLB_cross_page_prefetch_too_early,4280,0,0,,
Core_0_STLB_cross_page_prefetch_too_early_among_useless,0.150286,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_evict,8299,0,0,,
Core_0_STLB_cross_page_prefetch_pollution_among_prefetch_fill,0.235139,0,0,,
Core_0_STLB_cross_page_prefetch_accuracy,0.107802,0,0,,
Core_0_STLB_cross_page_prefetch_coverage,0.0815787,0,0,,
DRAM_read_traffic_MPKI,34.4764,33.4697,28.5824,3.0077951102%,20.6210815047%
cache_demand.count,1364454,1432103,1919073,-4.72375241166%,-28.9003597049%
cache_prefetch.count,2062439,1894980,919772,8.83697980981%,124.23372314%
stlb_demand.count,16298,19889,19398,-18.0552063955%,-15.9810289721%
stlb_prefetch.count,4450,0,0,,
stlb_miss_touch_dram.count,20535,19676,19198,4.3657247408%,6.96426711116%
stlb_miss_touch_dram.share,18.33,18.56,18.11,-1.23922413793%,1.21479845389%
